"Hours since thread went live","Mahouka Koukou no Rettousei Season 3 • The Irregular at Magic High School Season 3 - Episode 4 discussion"
0,2
0.08333333333333333,5
0.16666666666666666,8
0.25,12
0.3333333333333333,15
0.4166666666666667,21
0.5,24
0.5833333333333334,29
0.6666666666666666,33
0.75,39
0.8333333333333334,40
0.9166666666666666,43
1,51
1.0833333333333333,57
1.1666666666666667,62
1.25,67
1.3333333333333333,70
1.4166666666666667,75
1.5,78
1.5833333333333333,80
1.6666666666666667,87
1.75,91
1.8333333333333333,89
1.9166666666666667,92
2,92
2.0833333333333335,100
2.1666666666666665,108
2.25,111
2.3333333333333335,116
2.4166666666666665,125
2.5,125
2.5833333333333335,130
2.6666666666666665,134
2.75,132
2.8333333333333335,137
2.9166666666666665,142
3,142
3.0833333333333335,143
3.1666666666666665,149
3.25,152
3.3333333333333335,157
3.4166666666666665,159
3.5,161
3.5833333333333335,159
3.6666666666666665,166
3.75,165
3.8333333333333335,174
3.9166666666666665,173
4,177
4.083333333333333,181
4.166666666666667,184
4.25,186
4.333333333333333,191
4.416666666666667,190
4.5,195
4.583333333333333,200
4.666666666666667,198
4.75,196
4.833333333333333,199
4.916666666666667,198
5,203
5.083333333333333,207
5.166666666666667,215
5.25,212
5.333333333333333,219
5.416666666666667,218
5.5,224
5.583333333333333,224
5.666666666666667,233
5.75,230
5.833333333333333,234
5.916666666666667,243
6,248
6.083333333333333,250
6.166666666666667,254
6.25,256
6.333333333333333,256
6.416666666666667,258
6.5,262
6.583333333333333,262
6.666666666666667,267
6.75,273
6.833333333333333,269
6.916666666666667,272
7,276
7.083333333333333,275
7.166666666666667,277
7.25,278
7.333333333333333,280
7.416666666666667,283
7.5,281
7.583333333333333,292
7.666666666666667,288
7.75,288
7.833333333333333,290
7.916666666666667,294
8,295
8.083333333333334,297
8.166666666666666,295
8.25,296
8.333333333333334,301
8.416666666666666,299
8.5,295
8.583333333333334,296
8.666666666666666,299
8.75,300
8.833333333333334,302
8.916666666666666,302
9,299
9.083333333333334,302
9.166666666666666,305
9.25,314
9.333333333333334,312
9.416666666666666,316
9.5,313
9.583333333333334,317
9.666666666666666,316
9.75,324
9.833333333333334,320
9.916666666666666,324
10,325
10.083333333333334,326
10.166666666666666,323
10.25,326
10.333333333333334,332
10.416666666666666,327
10.5,330
10.583333333333334,343
10.666666666666666,343
10.75,343
10.833333333333334,343
10.916666666666666,345
11,341
11.083333333333334,347
11.166666666666666,346
11.25,343
11.333333333333334,341
11.416666666666666,346
11.5,347
11.583333333333334,349
11.666666666666666,349
11.75,355
11.833333333333334,357
11.916666666666666,355
12,360
12.083333333333334,360
12.166666666666666,355
12.25,357
12.333333333333334,353
12.416666666666666,353
12.5,358
12.583333333333334,363
12.666666666666666,362
12.75,363
12.833333333333334,366
12.916666666666666,365
13,364
13.083333333333334,373
13.166666666666666,369
13.25,371
13.333333333333334,379
13.416666666666666,379
13.5,378
13.583333333333334,376
13.666666666666666,379
13.75,378
13.833333333333334,382
13.916666666666666,383
14,385
14.083333333333334,383
14.166666666666666,388
14.25,387
14.333333333333334,389
14.416666666666666,391
14.5,386
14.583333333333334,387
14.666666666666666,386
14.75,391
14.833333333333334,392
14.916666666666666,393
15,387
15.083333333333334,400
15.166666666666666,398
15.25,396
15.333333333333334,399
15.416666666666666,399
15.5,394
15.583333333333334,398
15.666666666666666,397
15.75,398
15.833333333333334,396
15.916666666666666,404
16,397
16.083333333333332,399
16.166666666666668,400
16.25,401
16.333333333333332,403
16.416666666666668,402
16.5,406
16.583333333333332,408
16.666666666666668,405
16.75,407
16.833333333333332,411
16.916666666666668,409
17,415
17.083333333333332,415
17.166666666666668,416
17.25,413
17.333333333333332,422
17.416666666666668,418
17.5,425
17.583333333333332,424
17.666666666666668,416
17.75,420
17.833333333333332,422
17.916666666666668,434
18,431
