"Hours since thread went live","Zom 100: Zombie ni Naru made ni Shitai 100 no Koto • Zom 100: Bucket List of the Dead - Episode 6 discussion"
0,1
0.08333333333333333,3
0.16666666666666666,6
0.25,7
0.3333333333333333,11
0.4166666666666667,16
0.5,20
0.5833333333333334,26
0.6666666666666666,34
0.75,42
0.8333333333333334,43
0.9166666666666666,49
1,58
1.0833333333333333,65
1.1666666666666667,83
1.25,88
1.3333333333333333,100
1.4166666666666667,104
1.5,119
1.5833333333333333,128
1.6666666666666667,148
1.75,163
1.8333333333333333,181
1.9166666666666667,203
2,210
2.0833333333333335,230
2.1666666666666665,246
2.25,269
2.3333333333333335,278
2.4166666666666665,291
2.5,303
2.5833333333333335,308
2.6666666666666665,318
2.75,330
2.8333333333333335,347
2.9166666666666665,365
3,374
3.0833333333333335,385
3.1666666666666665,395
3.25,408
3.3333333333333335,421
3.4166666666666665,436
3.5,455
3.5833333333333335,461
3.6666666666666665,477
3.75,498
3.8333333333333335,511
3.9166666666666665,516
4,537
4.083333333333333,552
4.166666666666667,561
4.25,573
4.333333333333333,583
4.416666666666667,597
4.5,609
4.583333333333333,625
4.666666666666667,645
4.75,653
4.833333333333333,664
4.916666666666667,678
5,687
5.083333333333333,701
5.166666666666667,717
5.25,732
5.333333333333333,742
5.416666666666667,760
5.5,771
5.583333333333333,773
5.666666666666667,783
5.75,794
5.833333333333333,803
5.916666666666667,811
6,826
6.083333333333333,839
6.166666666666667,848
6.25,857
6.333333333333333,868
6.416666666666667,878
6.5,895
6.583333333333333,910
6.666666666666667,912
6.75,925
6.833333333333333,936
6.916666666666667,939
7,949
7.083333333333333,968
7.166666666666667,967
7.25,975
7.333333333333333,990
7.416666666666667,1003
7.5,1014
7.583333333333333,1017
7.666666666666667,1035
7.75,1044
7.833333333333333,1054
7.916666666666667,1060
8,1068
8.083333333333334,1086
8.166666666666666,1087
8.25,1110
8.333333333333334,1121
8.416666666666666,1130
8.5,1140
8.583333333333334,1142
8.666666666666666,1151
8.75,1150
8.833333333333334,1162
8.916666666666666,1171
9,1180
9.083333333333334,1185
9.166666666666666,1193
9.25,1208
9.333333333333334,1216
9.416666666666666,1217
9.5,1225
9.583333333333334,1229
9.666666666666666,1233
9.75,1243
9.833333333333334,1251
9.916666666666666,1269
10,1276
10.083333333333334,1291
10.166666666666666,1296
10.25,1298
10.333333333333334,1312
10.416666666666666,1316
10.5,1328
10.583333333333334,1339
10.666666666666666,1352
10.75,1350
10.833333333333334,1358
10.916666666666666,1368
11,1374
11.083333333333334,1384
11.166666666666666,1396
11.25,1397
11.333333333333334,1398
11.416666666666666,1399
11.5,1412
11.583333333333334,1420
11.666666666666666,1426
11.75,1438
11.833333333333334,1444
11.916666666666666,1452
12,1456
12.083333333333334,1463
12.166666666666666,1471
12.25,1480
12.333333333333334,1488
12.416666666666666,1491
12.5,1495
12.583333333333334,1502
12.666666666666666,1511
12.75,1519
12.833333333333334,1521
12.916666666666666,1524
13,1540
13.083333333333334,1546
13.166666666666666,1554
13.25,1558
13.333333333333334,1557
13.416666666666666,1561
13.5,1571
13.583333333333334,1575
13.666666666666666,1580
13.75,1586
13.833333333333334,1587
13.916666666666666,1598
14,1598
14.083333333333334,1612
14.166666666666666,1617
14.25,1619
14.333333333333334,1627
14.416666666666666,1634
14.5,1642
14.583333333333334,1646
14.666666666666666,1646
14.75,1655
14.833333333333334,1663
14.916666666666666,1665
15,1662
15.083333333333334,1666
15.166666666666666,1672
15.25,1681
15.333333333333334,1678
15.416666666666666,1695
15.5,1693
15.583333333333334,1695
15.666666666666666,1700
15.75,1704
15.833333333333334,1711
15.916666666666666,1724
16,1723
16.083333333333332,1723
16.166666666666668,1726
16.25,1737
16.333333333333332,1738
16.416666666666668,1742
16.5,1746
16.583333333333332,1757
16.666666666666668,1750
16.75,1762
16.833333333333332,1764
16.916666666666668,1766
17,1778
17.083333333333332,1773
17.166666666666668,1783
17.25,1785
17.333333333333332,1793
17.416666666666668,1794
17.5,1800
17.583333333333332,1802
17.666666666666668,1805
17.75,1808
17.833333333333332,1809
17.916666666666668,1817
18,1821
18.083333333333332,1824
18.166666666666668,1831
18.25,1839
18.333333333333332,1841
18.416666666666668,1850
18.5,1851
18.583333333333332,1860
18.666666666666668,1861
18.75,1871
18.833333333333332,1869
18.916666666666668,1870
19,1875
19.083333333333332,1874
19.166666666666668,1885
19.25,1887
19.333333333333332,1885
19.416666666666668,1894
19.5,1897
19.583333333333332,1899
19.666666666666668,1908
19.75,1901
19.833333333333332,1912
19.916666666666668,1916
20,1922
20.083333333333332,1913
20.166666666666668,1916
20.25,1925
20.333333333333332,1927
20.416666666666668,1931
20.5,1933
20.583333333333332,1934
20.666666666666668,1933
20.75,1939
20.833333333333332,1940
20.916666666666668,1941
21,1949
21.083333333333332,1949
21.166666666666668,1945
21.25,1954
21.333333333333332,1945
