"Hours since thread went live","Henjin no Salad Bowl • A Salad Bowl of Eccentrics - Episode 5 discussion"
33.916666666666664,360
34,361
34.083333333333336,360
34.166666666666664,363
34.25,365
34.333333333333336,359
34.416666666666664,368
34.5,360
34.583333333333336,357
34.666666666666664,363
34.75,361
34.833333333333336,361
34.916666666666664,360
35,362
35.083333333333336,358
35.166666666666664,363
35.25,366
35.333333333333336,361
35.416666666666664,363
35.5,357
35.583333333333336,362
35.666666666666664,361
35.75,367
35.833333333333336,367
35.916666666666664,360
36,365
36.083333333333336,365
36.166666666666664,363
36.25,363
36.333333333333336,361
36.416666666666664,362
36.5,364
36.583333333333336,361
36.666666666666664,366
36.75,363
36.833333333333336,364
36.916666666666664,364
37,361
37.083333333333336,360
37.166666666666664,361
37.25,365
37.333333333333336,365
37.416666666666664,360
37.5,358
37.583333333333336,365
37.666666666666664,361
37.75,366
37.833333333333336,363
37.916666666666664,360
38,360
38.083333333333336,365
38.166666666666664,360
38.25,364
38.333333333333336,366
38.416666666666664,365
38.5,365
38.583333333333336,367
38.666666666666664,366
38.75,365
38.833333333333336,369
38.916666666666664,364
39,367
39.083333333333336,365
39.166666666666664,362
39.25,363
39.333333333333336,366
39.416666666666664,367
39.5,367
39.583333333333336,361
39.666666666666664,367
39.75,366
39.833333333333336,366
39.916666666666664,367
40,362
40.083333333333336,369
40.166666666666664,363
40.25,363
40.333333333333336,364
40.416666666666664,367
40.5,365
40.583333333333336,369
40.666666666666664,368
40.75,366
40.833333333333336,367
40.916666666666664,362
41,366
41.083333333333336,369
41.166666666666664,362
41.25,369
41.333333333333336,368
41.416666666666664,369
41.5,366
41.583333333333336,372
41.666666666666664,367
41.75,368
41.833333333333336,366
41.916666666666664,367
42,367
42.083333333333336,365
42.166666666666664,370
42.25,366
42.333333333333336,366
42.416666666666664,369
42.5,372
42.583333333333336,372
42.666666666666664,369
42.75,369
42.833333333333336,367
42.916666666666664,373
43,365
43.083333333333336,368
43.166666666666664,364
43.25,364
43.333333333333336,365
43.416666666666664,367
43.5,370
43.583333333333336,365
43.666666666666664,368
43.75,365
43.833333333333336,366
43.916666666666664,368
44,369
44.083333333333336,365
44.166666666666664,368
44.25,368
44.333333333333336,369
44.416666666666664,367
44.5,367
44.583333333333336,365
44.666666666666664,370
44.75,368
44.833333333333336,374
44.916666666666664,375
45,369
45.083333333333336,375
45.166666666666664,373
45.25,370
45.333333333333336,371
45.416666666666664,369
45.5,364
45.583333333333336,371
45.666666666666664,372
