"Hours since thread went live","Yuuki Bakuhatsu Bang Bravern • Brave Bang Bravern! - Episode 11 discussion"
39,280
39.083333333333336,277
39.166666666666664,278
39.25,279
39.333333333333336,276
39.416666666666664,279
39.5,275
39.583333333333336,279
39.666666666666664,281
39.75,279
39.833333333333336,279
39.916666666666664,278
40,277
40.083333333333336,278
40.166666666666664,275
40.25,279
40.333333333333336,275
40.416666666666664,281
40.5,279
40.583333333333336,279
40.666666666666664,282
40.75,279
40.833333333333336,280
40.916666666666664,280
41,280
41.083333333333336,280
41.166666666666664,282
41.25,282
41.333333333333336,280
41.416666666666664,279
41.5,278
41.583333333333336,280
41.666666666666664,280
41.75,281
41.833333333333336,280
41.916666666666664,285
42,283
42.083333333333336,282
42.166666666666664,280
42.25,278
42.333333333333336,284
42.416666666666664,277
42.5,281
42.583333333333336,277
42.666666666666664,280
42.75,281
42.833333333333336,281
42.916666666666664,282
43,285
43.083333333333336,279
43.166666666666664,282
43.25,283
43.333333333333336,283
43.416666666666664,284
43.5,285
43.583333333333336,282
43.666666666666664,281
43.75,281
43.833333333333336,283
43.916666666666664,280
44,283
44.083333333333336,281
44.166666666666664,282
44.25,282
44.333333333333336,287
44.416666666666664,285
44.5,283
44.583333333333336,287
44.666666666666664,283
44.75,288
44.833333333333336,284
44.916666666666664,280
45,284
45.083333333333336,282
45.166666666666664,283
45.25,287
45.333333333333336,284
45.416666666666664,286
45.5,285
45.583333333333336,283
45.666666666666664,282
45.75,286
45.833333333333336,286
45.916666666666664,286
46,286
46.083333333333336,287
46.166666666666664,287
46.25,285
46.333333333333336,284
46.416666666666664,285
46.5,289
46.583333333333336,283
46.666666666666664,286
46.75,285
46.833333333333336,284
46.916666666666664,287
47,287
47.083333333333336,285
47.166666666666664,286
47.25,286
47.333333333333336,284
47.416666666666664,285
47.5,282
47.583333333333336,285
47.666666666666664,286
47.75,286
47.833333333333336,285
47.916666666666664,287
