"Hours since thread went live","Oi! Tonbo • Tonbo! - Episode 7 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,2
0.3333333333333333,2
0.4166666666666667,2
0.5,3
0.5833333333333334,3
0.6666666666666666,3
0.75,5
0.8333333333333334,5
0.9166666666666666,5
1,5
1.0833333333333333,8
1.1666666666666667,8
1.25,9
1.3333333333333333,9
1.4166666666666667,10
1.5,9
1.5833333333333333,11
1.6666666666666667,10
1.75,12
1.8333333333333333,13
1.9166666666666667,13
2,14
2.0833333333333335,14
2.1666666666666665,14
2.25,13
2.3333333333333335,17
2.4166666666666665,17
2.5,15
2.5833333333333335,17
2.6666666666666665,15
2.75,19
2.8333333333333335,21
2.9166666666666665,19
3,20
3.0833333333333335,19
3.1666666666666665,17
3.25,18
3.3333333333333335,17
3.4166666666666665,18
3.5,18
3.5833333333333335,23
3.6666666666666665,20
3.75,21
3.8333333333333335,24
3.9166666666666665,23
4,24
4.083333333333333,22
4.166666666666667,24
4.25,22
4.333333333333333,25
4.416666666666667,27
4.5,25
4.583333333333333,26
4.666666666666667,26
4.75,26
4.833333333333333,28
4.916666666666667,26
5,27
5.083333333333333,28
5.166666666666667,25
5.25,30
5.333333333333333,29
5.416666666666667,29
5.5,31
5.583333333333333,32
5.666666666666667,29
5.75,29
5.833333333333333,30
5.916666666666667,33
6,31
6.083333333333333,29
6.166666666666667,32
6.25,33
6.333333333333333,32
6.416666666666667,31
6.5,31
6.583333333333333,33
6.666666666666667,31
6.75,31
6.833333333333333,30
6.916666666666667,32
7,34
7.083333333333333,33
7.166666666666667,35
7.25,35
7.333333333333333,33
7.416666666666667,32
7.5,37
7.583333333333333,32
7.666666666666667,34
7.75,31
7.833333333333333,34
7.916666666666667,31
8,37
8.083333333333334,36
8.166666666666666,36
8.25,38
8.333333333333334,38
8.416666666666666,39
8.5,39
8.583333333333334,40
8.666666666666666,37
8.75,37
8.833333333333334,38
8.916666666666666,39
9,37
9.083333333333334,40
9.166666666666666,35
9.25,37
9.333333333333334,39
9.416666666666666,39
9.5,35
9.583333333333334,41
9.666666666666666,35
9.75,41
9.833333333333334,41
9.916666666666666,41
10,41
10.083333333333334,38
10.166666666666666,40
10.25,38
10.333333333333334,37
10.416666666666666,41
10.5,39
10.583333333333334,39
10.666666666666666,42
10.75,44
10.833333333333334,45
10.916666666666666,40
11,44
11.083333333333334,47
11.166666666666666,45
11.25,49
11.333333333333334,48
11.416666666666666,42
11.5,43
11.583333333333334,46
11.666666666666666,43
11.75,45
11.833333333333334,45
11.916666666666666,46
12,48
12.083333333333334,46
12.166666666666666,48
12.25,48
12.333333333333334,49
12.416666666666666,46
12.5,50
12.583333333333334,52
12.666666666666666,48
12.75,51
12.833333333333334,50
12.916666666666666,49
13,52
13.083333333333334,51
13.166666666666666,51
13.25,47
13.333333333333334,51
13.416666666666666,51
13.5,53
13.583333333333334,53
13.666666666666666,50
13.75,51
13.833333333333334,47
13.916666666666666,49
14,47
14.083333333333334,47
14.166666666666666,52
14.25,51
14.333333333333334,51
14.416666666666666,48
14.5,51
14.583333333333334,51
14.666666666666666,50
14.75,52
14.833333333333334,54
14.916666666666666,53
15,49
15.083333333333334,51
15.166666666666666,55
15.25,53
15.333333333333334,51
15.416666666666666,55
15.5,53
15.583333333333334,55
15.666666666666666,54
15.75,57
15.833333333333334,55
15.916666666666666,54
16,56
16.083333333333332,59
16.166666666666668,54
16.25,56
16.333333333333332,55
16.416666666666668,59
16.5,56
16.583333333333332,58
16.666666666666668,53
16.75,59
16.833333333333332,55
16.916666666666668,57
17,54
17.083333333333332,59
17.166666666666668,57
17.25,61
17.333333333333332,55
17.416666666666668,56
17.5,58
17.583333333333332,56
17.666666666666668,56
17.75,56
17.833333333333332,59
17.916666666666668,56
18,53
18.083333333333332,60
18.166666666666668,60
18.25,57
18.333333333333332,59
18.416666666666668,57
18.5,58
18.583333333333332,56
18.666666666666668,58
18.75,61
18.833333333333332,55
18.916666666666668,59
19,62
19.083333333333332,60
19.166666666666668,62
19.25,61
19.333333333333332,58
19.416666666666668,62
19.5,56
19.583333333333332,61
19.666666666666668,63
19.75,57
19.833333333333332,60
19.916666666666668,57
20,61
20.083333333333332,62
20.166666666666668,61
20.25,59
20.333333333333332,61
20.416666666666668,61
20.5,62
20.583333333333332,64
20.666666666666668,62
20.75,63
20.833333333333332,63
20.916666666666668,63
21,62
21.083333333333332,63
21.166666666666668,63
21.25,63
21.333333333333332,62
21.416666666666668,61
21.5,58
21.583333333333332,58
21.666666666666668,62
21.75,61
