"Hours since thread went live","Sengoku Youko - Episode 10 discussion"
0,2
0,3
0.08333333333333333,6
0.16666666666666666,6
0.25,8
0.3333333333333333,11
0.4166666666666667,13
0.5,20
0.5833333333333334,21
0.6666666666666666,23
0.75,26
0.8333333333333334,27
0.9166666666666666,28
1,30
1.0833333333333333,36
1.1666666666666667,40
1.25,45
1.3333333333333333,49
1.4166666666666667,51
1.5,55
1.5833333333333333,61
1.6666666666666667,64
1.75,62
1.8333333333333333,65
1.9166666666666667,64
2,67
2.0833333333333335,69
2.1666666666666665,69
2.25,71
2.3333333333333335,70
2.4166666666666665,75
2.5,73
2.5833333333333335,77
2.6666666666666665,77
2.75,81
2.8333333333333335,80
2.9166666666666665,88
3,85
3.0833333333333335,91
3.1666666666666665,90
3.25,90
3.3333333333333335,98
3.4166666666666665,95
3.5,101
3.5833333333333335,106
3.6666666666666665,104
3.75,105
3.8333333333333335,107
3.9166666666666665,107
4,109
4.083333333333333,110
4.166666666666667,112
4.25,120
4.333333333333333,119
4.416666666666667,122
4.5,127
4.583333333333333,126
4.666666666666667,130
4.75,133
4.833333333333333,130
4.916666666666667,136
5,132
5.083333333333333,134
5.166666666666667,138
5.25,141
5.333333333333333,141
5.416666666666667,140
5.5,141
5.583333333333333,143
5.666666666666667,145
5.75,145
5.833333333333333,146
5.916666666666667,147
6,147
6.083333333333333,153
6.166666666666667,152
6.25,157
6.333333333333333,155
6.416666666666667,157
6.5,158
6.583333333333333,161
6.666666666666667,161
6.75,165
6.833333333333333,163
6.916666666666667,165
7,168
7.083333333333333,167
7.166666666666667,172
7.25,177
7.333333333333333,176
7.416666666666667,180
7.5,180
7.583333333333333,180
7.666666666666667,181
7.75,184
7.833333333333333,182
7.916666666666667,181
8,181
8.083333333333334,188
8.166666666666666,192
8.25,191
8.333333333333334,188
8.416666666666666,191
8.5,194
8.583333333333334,197
8.666666666666666,198
8.75,197
8.833333333333334,200
8.916666666666666,197
9,196
9.083333333333334,203
9.166666666666666,204
9.25,200
9.333333333333334,203
9.416666666666666,202
9.5,207
9.583333333333334,205
9.666666666666666,209
9.75,208
9.833333333333334,209
9.916666666666666,207
10,207
10.083333333333334,211
10.166666666666666,211
10.25,208
10.333333333333334,210
10.416666666666666,213
10.5,213
10.583333333333334,210
10.666666666666666,217
10.75,209
10.833333333333334,216
10.916666666666666,215
11,219
11.083333333333334,216
11.166666666666666,216
11.25,214
11.333333333333334,213
11.416666666666666,216
11.5,222
11.583333333333334,223
11.666666666666666,217
11.75,217
11.833333333333334,224
11.916666666666666,222
12,226
12.083333333333334,223
12.166666666666666,221
12.25,222
12.333333333333334,227
12.416666666666666,222
12.5,227
12.583333333333334,224
12.666666666666666,231
12.75,229
12.833333333333334,232
12.916666666666666,230
13,228
13.083333333333334,232
13.166666666666666,229
13.25,232
13.333333333333334,233
13.416666666666666,229
13.5,238
13.583333333333334,232
13.666666666666666,233
13.75,239
13.833333333333334,234
13.916666666666666,233
14,234
14.083333333333334,240
14.166666666666666,235
14.25,237
14.333333333333334,241
14.416666666666666,241
14.5,244
14.583333333333334,239
14.666666666666666,240
14.75,242
14.833333333333334,245
14.916666666666666,244
15,246
15.083333333333334,245
15.166666666666666,248
15.25,248
15.333333333333334,245
15.416666666666666,245
15.5,245
15.583333333333334,245
15.666666666666666,246
15.75,244
15.833333333333334,247
15.916666666666666,245
16,250
16.083333333333332,247
16.166666666666668,246
16.25,246
16.333333333333332,247
16.416666666666668,253
16.5,252
16.583333333333332,251
16.666666666666668,257
16.75,253
