"Hours since thread went live","Shinigami Bocchan to Kuro Maid Season 3 • The Duke of Death and His Maid Season 3 - Episode 7 discussion"
35.333333333333336,155
35.416666666666664,155
35.5,159
35.583333333333336,157
35.666666666666664,157
35.75,159
35.833333333333336,155
35.916666666666664,157
36,156
36.083333333333336,157
36.166666666666664,158
36.25,159
36.333333333333336,159
36.416666666666664,160
36.5,158
36.583333333333336,156
36.666666666666664,161
36.75,157
36.833333333333336,159
36.916666666666664,159
37,155
37.083333333333336,159
37.166666666666664,157
37.25,158
37.333333333333336,157
37.416666666666664,158
37.5,158
37.583333333333336,156
37.666666666666664,156
37.75,159
37.833333333333336,161
37.916666666666664,159
38,157
38.083333333333336,160
38.166666666666664,161
38.25,155
38.333333333333336,156
38.416666666666664,158
38.5,162
38.583333333333336,162
38.666666666666664,162
38.75,160
38.833333333333336,157
38.916666666666664,162
39,159
39.083333333333336,157
39.166666666666664,159
39.25,157
39.333333333333336,161
39.416666666666664,160
39.5,159
39.583333333333336,159
39.666666666666664,161
39.75,162
39.833333333333336,160
39.916666666666664,159
40,156
40.083333333333336,158
40.166666666666664,163
40.25,157
40.333333333333336,159
40.416666666666664,161
40.5,159
40.583333333333336,158
40.666666666666664,160
40.75,159
40.833333333333336,158
40.916666666666664,158
41,159
41.083333333333336,159
41.166666666666664,158
41.25,160
41.333333333333336,158
41.416666666666664,160
41.5,157
41.583333333333336,161
41.666666666666664,156
41.75,156
41.833333333333336,160
41.916666666666664,160
42,158
42.083333333333336,158
42.166666666666664,155
42.25,161
42.333333333333336,159
42.416666666666664,159
42.5,159
42.583333333333336,155
42.666666666666664,158
42.75,161
42.833333333333336,161
42.916666666666664,159
43,163
43.083333333333336,156
43.166666666666664,160
43.25,160
43.333333333333336,158
43.416666666666664,158
43.5,160
43.583333333333336,156
43.666666666666664,156
43.75,159
43.833333333333336,159
43.916666666666664,161
44,159
44.083333333333336,163
44.166666666666664,158
44.25,160
44.333333333333336,157
44.416666666666664,160
44.5,164
44.583333333333336,157
44.666666666666664,158
44.75,157
44.833333333333336,157
44.916666666666664,160
45,165
45.083333333333336,158
45.166666666666664,160
45.25,160
45.333333333333336,160
45.416666666666664,160
45.5,160
45.583333333333336,157
45.666666666666664,160
45.75,160
45.833333333333336,163
45.916666666666664,162
46,163
46.083333333333336,158
46.166666666666664,162
46.25,160
46.333333333333336,163
46.416666666666664,161
46.5,164
46.583333333333336,162
46.666666666666664,160
46.75,165
46.833333333333336,159
46.916666666666664,164
47,163
47.083333333333336,162
47.166666666666664,161
47.25,165
47.333333333333336,161
47.416666666666664,161
47.5,164
47.583333333333336,167
47.666666666666664,163
47.75,164
47.833333333333336,162
47.916666666666664,164
