"Hours since thread went live","Kyuujitsu no Warumono-san • Mr. Villain's Day Off - Episode 9 discussion"
0,0
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,2
0.3333333333333333,3
0.4166666666666667,4
0.5,5
0.5833333333333334,7
0.6666666666666666,7
0.75,8
0.8333333333333334,9
0.9166666666666666,12
1,10
1.0833333333333333,11
1.1666666666666667,14
1.25,13
1.3333333333333333,15
1.4166666666666667,16
1.5,17
1.5833333333333333,19
1.6666666666666667,18
1.75,17
1.8333333333333333,18
1.9166666666666667,17
2,18
2.0833333333333335,20
2.1666666666666665,22
2.25,24
2.3333333333333335,25
2.4166666666666665,23
2.5,24
2.5833333333333335,24
2.6666666666666665,25
2.75,27
2.8333333333333335,27
2.9166666666666665,28
3,29
3.0833333333333335,31
3.1666666666666665,30
3.25,33
3.3333333333333335,36
3.4166666666666665,38
3.5,41
3.5833333333333335,43
3.6666666666666665,43
3.75,40
3.8333333333333335,43
3.9166666666666665,45
4,45
4.083333333333333,43
4.166666666666667,46
4.25,49
4.333333333333333,44
4.416666666666667,50
4.5,47
4.583333333333333,47
4.666666666666667,45
4.75,48
4.833333333333333,46
4.916666666666667,47
5,52
5.083333333333333,52
5.166666666666667,55
5.25,50
5.333333333333333,51
5.416666666666667,51
5.5,55
5.583333333333333,54
5.666666666666667,53
5.75,51
5.833333333333333,50
5.916666666666667,50
6,57
6.083333333333333,56
6.166666666666667,54
6.25,54
6.333333333333333,55
6.416666666666667,58
6.5,57
6.583333333333333,58
6.666666666666667,55
6.75,56
6.833333333333333,55
6.916666666666667,57
7,56
7.083333333333333,59
7.166666666666667,62
7.25,60
7.333333333333333,61
7.416666666666667,57
7.5,63
7.583333333333333,60
7.666666666666667,61
7.75,59
7.833333333333333,62
7.916666666666667,63
8,63
8.083333333333334,66
8.166666666666666,64
8.25,67
8.333333333333334,67
8.416666666666666,68
8.5,62
8.583333333333334,66
8.666666666666666,65
8.75,65
8.833333333333334,69
8.916666666666666,69
9,74
9.083333333333334,71
9.166666666666666,73
9.25,76
9.333333333333334,73
9.416666666666666,74
9.5,73
9.583333333333334,75
9.666666666666666,72
9.75,74
9.833333333333334,77
9.916666666666666,75
10,74
10.083333333333334,75
10.166666666666666,77
10.25,75
10.333333333333334,75
10.416666666666666,73
10.5,74
10.583333333333334,76
10.666666666666666,75
10.75,77
10.833333333333334,76
10.916666666666666,72
11,78
11.083333333333334,75
11.166666666666666,75
11.25,80
11.333333333333334,74
11.416666666666666,78
11.5,79
11.583333333333334,80
11.666666666666666,78
11.75,78
11.833333333333334,81
11.916666666666666,79
12,82
12.083333333333334,80
12.166666666666666,83
12.25,80
12.333333333333334,82
12.416666666666666,84
12.5,79
12.583333333333334,81
12.666666666666666,82
12.75,78
12.833333333333334,80
12.916666666666666,80
13,81
13.083333333333334,86
13.166666666666666,83
13.25,83
13.333333333333334,87
13.416666666666666,84
13.5,82
13.583333333333334,87
13.666666666666666,87
13.75,88
13.833333333333334,86
13.916666666666666,83
14,80
14.083333333333334,86
14.166666666666666,86
14.25,86
14.333333333333334,89
14.416666666666666,86
14.5,88
14.583333333333334,85
14.666666666666666,87
14.75,87
14.833333333333334,89
14.916666666666666,85
15,86
15.083333333333334,91
15.166666666666666,93
15.25,86
15.333333333333334,87
15.416666666666666,90
15.5,93
15.583333333333334,89
15.666666666666666,89
15.75,88
15.833333333333334,90
15.916666666666666,92
16,90
16.083333333333332,91
16.166666666666668,94
16.25,90
16.333333333333332,93
16.416666666666668,93
16.5,89
16.583333333333332,94
16.666666666666668,93
16.75,95
16.833333333333332,94
16.916666666666668,90
17,94
17.083333333333332,92
17.166666666666668,91
17.25,91
17.333333333333332,93
17.416666666666668,97
17.5,95
17.583333333333332,94
17.666666666666668,97
17.75,97
17.833333333333332,93
17.916666666666668,96
18,99
18.083333333333332,93
18.166666666666668,96
18.25,95
18.333333333333332,96
18.416666666666668,95
18.5,99
18.583333333333332,97
18.666666666666668,99
18.75,95
18.833333333333332,94
18.916666666666668,99
19,100
19.083333333333332,99
19.166666666666668,99
19.25,102
19.333333333333332,99
19.416666666666668,102
19.5,100
19.583333333333332,103
19.666666666666668,105
19.75,98
19.833333333333332,98
19.916666666666668,103
20,104
20.083333333333332,101
20.166666666666668,99
20.25,102
20.333333333333332,105
20.416666666666668,99
20.5,106
20.583333333333332,103
