"Hours since thread went live","Zom 100: Zombie ni Naru made ni Shitai 100 no Koto - Episode 1 discussion"
30.583333333333332,3277
30.666666666666668,3289
30.75,3282
30.833333333333332,3286
30.916666666666668,3292
31,3296
31.083333333333332,3299
31.166666666666668,3302
31.25,3306
31.333333333333332,3313
31.416666666666668,3314
31.5,3322
31.583333333333332,3313
31.666666666666668,3323
31.75,3325
31.833333333333332,3333
31.916666666666668,3340
32,3340
32.083333333333336,3347
32.166666666666664,3354
32.25,3362
32.333333333333336,3358
32.416666666666664,3371
32.5,3368
32.583333333333336,3361
32.666666666666664,3371
32.75,3374
32.833333333333336,3377
32.916666666666664,3378
33,3376
33.083333333333336,3385
33.166666666666664,3383
33.25,3391
33.333333333333336,3388
33.416666666666664,3398
33.5,3396
33.583333333333336,3406
33.666666666666664,3409
33.75,3411
33.833333333333336,3416
33.916666666666664,3413
34,3422
34.083333333333336,3428
34.166666666666664,3423
34.25,3429
34.333333333333336,3432
34.416666666666664,3428
34.5,3434
34.583333333333336,3439
34.666666666666664,3438
34.75,3445
34.833333333333336,3441
34.916666666666664,3441
35,3442
35.083333333333336,3444
35.166666666666664,3452
35.25,3453
35.333333333333336,3457
35.416666666666664,3452
35.5,3452
35.583333333333336,3461
35.666666666666664,3454
35.75,3460
35.833333333333336,3463
35.916666666666664,3464
36,3466
36.083333333333336,3469
36.166666666666664,3472
36.25,3468
36.333333333333336,3478
36.416666666666664,3474
36.5,3471
36.583333333333336,3486
36.666666666666664,3479
36.75,3488
36.833333333333336,3482
36.916666666666664,3493
37,3494
37.083333333333336,3503
37.166666666666664,3499
37.25,3507
37.333333333333336,3506
37.416666666666664,3514
37.5,3508
37.583333333333336,3512
37.666666666666664,3522
37.75,3513
37.833333333333336,3518
37.916666666666664,3523
38,3517
38.083333333333336,3525
38.166666666666664,3534
38.25,3535
38.333333333333336,3536
38.416666666666664,3536
38.5,3533
38.583333333333336,3542
38.666666666666664,3547
38.75,3544
38.833333333333336,3554
38.916666666666664,3550
39,3550
39.083333333333336,3557
39.166666666666664,3555
39.25,3556
39.333333333333336,3561
39.416666666666664,3561
39.5,3561
39.583333333333336,3571
39.666666666666664,3570
39.75,3566
39.833333333333336,3571
39.916666666666664,3566
40,3567
40.083333333333336,3577
40.166666666666664,3576
40.25,3578
40.333333333333336,3579
40.416666666666664,3588
40.5,3577
40.583333333333336,3583
40.666666666666664,3582
40.75,3586
40.833333333333336,3588
40.916666666666664,3589
41,3583
41.083333333333336,3588
41.166666666666664,3596
41.25,3592
41.333333333333336,3605
41.416666666666664,3599
41.5,3600
41.583333333333336,3601
41.666666666666664,3606
41.75,3615
41.833333333333336,3609
41.916666666666664,3609
42,3613
42.083333333333336,3620
42.166666666666664,3620
42.25,3620
42.333333333333336,3621
42.416666666666664,3627
42.5,3630
42.583333333333336,3622
42.666666666666664,3632
42.75,3635
42.833333333333336,3636
42.916666666666664,3628
43,3633
43.083333333333336,3626
43.166666666666664,3629
43.25,3640
43.333333333333336,3638
43.416666666666664,3636
43.5,3642
43.583333333333336,3642
43.666666666666664,3649
43.75,3645
43.833333333333336,3655
43.916666666666664,3653
44,3651
44.083333333333336,3657
44.166666666666664,3650
44.25,3652
44.333333333333336,3649
44.416666666666664,3657
44.5,3648
44.583333333333336,3657
44.666666666666664,3662
44.75,3658
44.833333333333336,3657
44.916666666666664,3667
45,3658
45.083333333333336,3665
45.166666666666664,3665
45.25,3664
45.333333333333336,3665
45.416666666666664,3675
45.5,3668
45.583333333333336,3671
45.666666666666664,3668
45.75,3679
45.833333333333336,3672
45.916666666666664,3677
46,3680
46.083333333333336,3680
46.166666666666664,3670
46.25,3682
46.333333333333336,3678
46.416666666666664,3684
46.5,3690
46.583333333333336,3682
46.666666666666664,3687
46.75,3688
46.833333333333336,3686
46.916666666666664,3687
47,3693
47.083333333333336,3695
47.166666666666664,3685
47.25,3696
47.333333333333336,3696
47.416666666666664,3694
47.5,3698
47.583333333333336,3694
47.666666666666664,3700
47.75,3696
47.833333333333336,3700
47.916666666666664,3702
