"Hours since thread went live","Ore dake Level Up na Ken • Solo Leveling - Episode 9 discussion"
0,5
0.08333333333333333,14
0.16666666666666666,34
0.25,44
0.3333333333333333,58
0.4166666666666667,84
0.5,109
0.5833333333333334,132
0.6666666666666666,161
0.75,181
0.8333333333333334,208
0.9166666666666666,232
1,244
1.0833333333333333,274
1.1666666666666667,301
1.25,325
1.3333333333333333,340
1.4166666666666667,373
1.5,388
1.5833333333333333,416
1.6666666666666667,440
1.75,459
1.8333333333333333,484
1.9166666666666667,503
2,516
2.0833333333333335,534
2.1666666666666665,549
2.25,566
2.3333333333333335,578
2.4166666666666665,591
2.5,594
2.5833333333333335,614
2.6666666666666665,627
2.75,637
2.8333333333333335,654
2.9166666666666665,669
3,682
3.0833333333333335,693
3.1666666666666665,707
3.25,722
3.3333333333333335,736
3.4166666666666665,746
3.5,769
3.5833333333333335,789
3.6666666666666665,801
3.75,819
3.8333333333333335,834
3.9166666666666665,851
4,862
4.083333333333333,884
4.166666666666667,893
4.25,909
4.333333333333333,927
4.416666666666667,942
4.5,951
4.583333333333333,964
4.666666666666667,982
4.75,999
4.833333333333333,1020
4.916666666666667,1037
5,1036
5.083333333333333,1054
5.166666666666667,1055
5.25,1065
5.333333333333333,1074
5.416666666666667,1084
5.5,1087
5.583333333333333,1100
5.666666666666667,1109
5.75,1124
5.833333333333333,1130
5.916666666666667,1139
6,1152
6.083333333333333,1169
6.166666666666667,1181
6.25,1190
6.333333333333333,1206
6.416666666666667,1207
6.5,1210
6.583333333333333,1224
6.666666666666667,1236
6.75,1243
6.833333333333333,1255
6.916666666666667,1271
7,1279
7.083333333333333,1295
7.166666666666667,1296
7.25,1300
7.333333333333333,1312
7.416666666666667,1322
7.5,1329
7.583333333333333,1332
7.666666666666667,1346
7.75,1361
7.833333333333333,1364
7.916666666666667,1378
8,1381
8.083333333333334,1392
8.166666666666666,1389
8.25,1396
8.333333333333334,1402
8.416666666666666,1413
8.5,1423
8.583333333333334,1436
8.666666666666666,1442
8.75,1447
8.833333333333334,1460
8.916666666666666,1459
9,1471
9.083333333333334,1481
9.166666666666666,1492
9.25,1499
9.333333333333334,1498
9.416666666666666,1510
9.5,1519
9.583333333333334,1516
9.666666666666666,1521
9.75,1531
9.833333333333334,1533
9.916666666666666,1545
10,1545
10.083333333333334,1558
10.166666666666666,1561
10.25,1562
10.333333333333334,1569
10.416666666666666,1575
10.5,1582
10.583333333333334,1591
10.666666666666666,1592
10.75,1591
10.833333333333334,1602
10.916666666666666,1604
11,1613
11.083333333333334,1623
11.166666666666666,1627
11.25,1632
11.333333333333334,1641
11.416666666666666,1638
11.5,1643
11.583333333333334,1659
11.666666666666666,1658
11.75,1665
11.833333333333334,1670
11.916666666666666,1680
12,1684
12.083333333333334,1687
12.166666666666666,1689
12.25,1693
12.333333333333334,1696
12.416666666666666,1707
12.5,1714
12.583333333333334,1721
12.666666666666666,1727
12.75,1720
12.833333333333334,1732
12.916666666666666,1740
13,1741
13.083333333333334,1742
13.166666666666666,1747
13.25,1753
13.333333333333334,1755
13.416666666666666,1759
13.5,1761
13.583333333333334,1764
13.666666666666666,1772
13.75,1784
13.833333333333334,1784
13.916666666666666,1787
14,1795
14.083333333333334,1794
14.166666666666666,1807
14.25,1814
14.333333333333334,1818
14.416666666666666,1822
14.5,1829
14.583333333333334,1831
14.666666666666666,1839
14.75,1843
14.833333333333334,1852
14.916666666666666,1851
15,1855
15.083333333333334,1860
15.166666666666666,1860
15.25,1868
15.333333333333334,1868
15.416666666666666,1866
15.5,1870
15.583333333333334,1878
15.666666666666666,1876
15.75,1880
15.833333333333334,1885
15.916666666666666,1890
16,1894
16.083333333333332,1895
16.166666666666668,1903
16.25,1897
16.333333333333332,1903
16.416666666666668,1905
16.5,1912
16.583333333333332,1918
16.666666666666668,1915
16.75,1914
16.833333333333332,1919
16.916666666666668,1919
17,1924
17.083333333333332,1925
17.166666666666668,1932
17.25,1932
17.333333333333332,1933
17.416666666666668,1932
17.5,1937
17.583333333333332,1943
17.666666666666668,1946
17.75,1945
17.833333333333332,1949
17.916666666666668,1950
18,1951
18.083333333333332,1956
18.166666666666668,1963
18.25,1958
18.333333333333332,1964
18.416666666666668,1965
18.5,1973
18.583333333333332,1969
18.666666666666668,1976
18.75,1978
18.833333333333332,1991
18.916666666666668,1988
19,1992
19.083333333333332,1991
19.166666666666668,1998
19.25,1997
19.333333333333332,1992
19.416666666666668,2003
19.5,2008
19.583333333333332,2008
19.666666666666668,2008
19.75,2013
19.833333333333332,2014
19.916666666666668,2019
20,2029
20.083333333333332,2027
20.166666666666668,2032
20.25,2025
20.333333333333332,2032
20.416666666666668,2032
20.5,2032
20.583333333333332,2033
20.666666666666668,2033
20.75,2035
20.833333333333332,2040
20.916666666666668,2050
21,2059
21.083333333333332,2068
21.166666666666668,2066
21.25,2073
21.333333333333332,2075
21.416666666666668,2079
21.5,2079
21.583333333333332,2081
21.666666666666668,2085
21.75,2090
21.833333333333332,2086
21.916666666666668,2094
22,2096
22.083333333333332,2093
22.166666666666668,2099
22.25,2102
22.333333333333332,2102
22.416666666666668,2111
22.5,2115
22.583333333333332,2109
22.666666666666668,2111
22.75,2118
22.833333333333332,2115
22.916666666666668,2119
23,2121
23.083333333333332,2114
23.166666666666668,2127
23.25,2127
23.333333333333332,2124
23.416666666666668,2134
23.5,2133
23.583333333333332,2137
23.666666666666668,2134
23.75,2137
23.833333333333332,2140
23.916666666666668,2144
24,2143
24.083333333333332,2148
24.166666666666668,2145
24.25,2148
24.333333333333332,2147
24.416666666666668,2151
24.5,2151
24.583333333333332,2154
24.666666666666668,2155
24.75,2155
24.833333333333332,2159
24.916666666666668,2158
25,2156
25.083333333333332,2162
25.166666666666668,2163
25.25,2160
25.333333333333332,2157
25.416666666666668,2159
25.5,2159
25.583333333333332,2157
25.666666666666668,2159
25.75,2161
25.833333333333332,2163
25.916666666666668,2162
26,2167
26.083333333333332,2163
26.166666666666668,2169
26.25,2170
26.333333333333332,2170
26.416666666666668,2174
26.5,2176
26.583333333333332,2174
26.666666666666668,2182
26.75,2176
26.833333333333332,2184
26.916666666666668,2185
27,2182
27.083333333333332,2186
27.166666666666668,2194
27.25,2192
27.333333333333332,2195
27.416666666666668,2194
27.5,2192
27.583333333333332,2196
27.666666666666668,2205
27.75,2206
27.833333333333332,2210
27.916666666666668,2211
28,2211
28.083333333333332,2218
28.166666666666668,2222
28.25,2220
28.333333333333332,2219
28.416666666666668,2226
28.5,2222
28.583333333333332,2223
28.666666666666668,2231
28.75,2228
28.833333333333332,2230
28.916666666666668,2233
29,2230
29.083333333333332,2236
29.166666666666668,2229
29.25,2235
29.333333333333332,2231
29.416666666666668,2233
29.5,2234
29.583333333333332,2240
29.666666666666668,2236
29.75,2235
29.833333333333332,2237
29.916666666666668,2240
30,2244
30.083333333333332,2241
30.166666666666668,2242
30.25,2243
30.333333333333332,2243
30.416666666666668,2246
30.5,2245
30.583333333333332,2246
30.666666666666668,2247
30.75,2248
30.833333333333332,2249
30.916666666666668,2251
31,2255
31.083333333333332,2254
31.166666666666668,2250
31.25,2256
31.333333333333332,2257
31.416666666666668,2259
31.5,2257
31.583333333333332,2264
31.666666666666668,2260
31.75,2261
31.833333333333332,2259
31.916666666666668,2261
32,2260
32.083333333333336,2263
32.166666666666664,2265
32.25,2265
32.333333333333336,2264
32.416666666666664,2261
32.5,2263
32.583333333333336,2268
32.666666666666664,2269
32.75,2264
32.833333333333336,2269
32.916666666666664,2274
33,2270
33.083333333333336,2272
33.166666666666664,2272
33.25,2272
33.333333333333336,2267
33.416666666666664,2268
33.5,2270
33.583333333333336,2277
33.666666666666664,2279
33.75,2282
33.833333333333336,2280
33.916666666666664,2281
34,2283
34.083333333333336,2285
34.166666666666664,2281
34.25,2283
34.333333333333336,2284
34.416666666666664,2284
34.5,2292
34.583333333333336,2290
34.666666666666664,2286
34.75,2288
34.833333333333336,2285
34.916666666666664,2292
35,2290
35.083333333333336,2291
35.166666666666664,2290
35.25,2296
35.333333333333336,2295
35.416666666666664,2294
35.5,2296
35.583333333333336,2292
35.666666666666664,2293
35.75,2297
35.833333333333336,2303
35.916666666666664,2297
36,2296
36.083333333333336,2304
36.166666666666664,2297
36.25,2307
36.333333333333336,2305
36.416666666666664,2309
36.5,2312
36.583333333333336,2313
36.666666666666664,2312
36.75,2314
36.833333333333336,2313
36.916666666666664,2313
37,2309
37.083333333333336,2312
37.166666666666664,2315
37.25,2309
37.333333333333336,2316
37.416666666666664,2317
37.5,2313
37.583333333333336,2314
37.666666666666664,2319
37.75,2317
37.833333333333336,2315
37.916666666666664,2318
38,2317
38.083333333333336,2322
38.166666666666664,2322
38.25,2325
38.333333333333336,2322
38.416666666666664,2323
38.5,2329
38.583333333333336,2323
38.666666666666664,2331
38.75,2322
38.833333333333336,2324
38.916666666666664,2323
39,2325
39.083333333333336,2323
39.166666666666664,2329
39.25,2331
39.333333333333336,2327
39.416666666666664,2332
39.5,2324
39.583333333333336,2329
39.666666666666664,2323
39.75,2330
39.833333333333336,2327
39.916666666666664,2323
40,2322
40.083333333333336,2329
40.166666666666664,2323
40.25,2329
40.333333333333336,2330
40.416666666666664,2336
40.5,2331
40.583333333333336,2333
40.666666666666664,2331
40.75,2334
