"Hours since thread went live","Chainsaw Man - Episode 8 discussion"
0,20
0.08333333333333333,100
0.16666666666666666,171
0.25,257
0.3333333333333333,381
0.4166666666666667,493
0.5,577
0.5833333333333334,678
0.6666666666666666,777
0.75,877
0.8333333333333334,985
0.9166666666666666,1113
1,1205
1.0833333333333333,1299
1.1666666666666667,1405
1.25,1509
1.3333333333333333,1633
1.4166666666666667,1764
1.5,1938
1.5833333333333333,2094
1.6666666666666667,2252
1.75,2397
1.8333333333333333,2539
1.9166666666666667,2685
2,2827
2.0833333333333335,2958
2.1666666666666665,3081
2.25,3235
2.3333333333333335,3387
2.4166666666666665,3525
2.5,3649
2.5833333333333335,3767
2.6666666666666665,3891
2.75,4002
2.8333333333333335,4118
2.9166666666666665,4214
3,4310
3.0833333333333335,4408
3.1666666666666665,4491
3.25,4600
3.3333333333333335,4696
3.4166666666666665,4801
3.5,4903
3.5833333333333335,4979
3.6666666666666665,5070
3.75,5139
3.8333333333333335,5230
3.9166666666666665,5331
4,5427
4.083333333333333,5504
4.166666666666667,5567
4.25,5637
4.333333333333333,5711
4.416666666666667,5780
4.5,5867
4.583333333333333,5948
4.666666666666667,6003
4.75,6077
4.833333333333333,6146
4.916666666666667,6207
5,6297
5.083333333333333,6351
5.166666666666667,6418
5.25,6483
5.333333333333333,6565
5.416666666666667,6644
5.5,6711
5.583333333333333,6785
5.666666666666667,6841
5.75,6907
5.833333333333333,6980
5.916666666666667,7051
6,7107
6.083333333333333,7162
6.166666666666667,7239
6.25,7299
6.333333333333333,7377
6.416666666666667,7433
6.5,7499
6.583333333333333,7558
6.666666666666667,7633
6.75,7675
6.833333333333333,7754
6.916666666666667,7824
7,7878
7.083333333333333,7937
7.166666666666667,7990
7.25,8054
7.333333333333333,8110
7.416666666666667,8170
7.5,8219
7.583333333333333,8277
7.666666666666667,8334
7.75,8391
7.833333333333333,8458
7.916666666666667,8516
8,8573
8.083333333333334,8608
8.166666666666666,8653
8.25,8701
8.333333333333334,8745
8.416666666666666,8807
8.5,8867
8.583333333333334,8907
8.666666666666666,8958
8.75,9005
8.833333333333334,9057
8.916666666666666,9106
9,9161
9.083333333333334,9197
9.166666666666666,9247
9.25,9302
9.333333333333334,9353
9.416666666666666,9392
9.5,9429
9.583333333333334,9468
9.666666666666666,9524
9.75,9569
9.833333333333334,9598
9.916666666666666,9649
10,9678
10.083333333333334,9721
10.166666666666666,9775
10.25,9814
10.333333333333334,9861
10.416666666666666,9907
10.5,9966
10.583333333333334,10022
10.666666666666666,10062
10.75,10100
10.833333333333334,10135
10.916666666666666,10166
11,10201
11.083333333333334,10245
11.166666666666666,10287
11.25,10330
11.333333333333334,10364
11.416666666666666,10410
11.5,10463
11.583333333333334,10498
11.666666666666666,10548
11.75,10588
11.833333333333334,10633
11.916666666666666,10669
12,10710
12.083333333333334,10743
12.166666666666666,10775
12.25,10814
12.333333333333334,10856
12.416666666666666,10877
12.5,10920
12.583333333333334,10959
12.666666666666666,10994
12.75,11022
12.833333333333334,11055
12.916666666666666,11103
13,11132
13.083333333333334,11176
13.166666666666666,11203
13.25,11233
13.333333333333334,11279
13.416666666666666,11312
13.5,11356
13.583333333333334,11399
13.666666666666666,11425
13.75,11456
13.833333333333334,11488
13.916666666666666,11524
14,11554
14.083333333333334,11581
14.166666666666666,11611
14.25,11649
14.333333333333334,11672
14.416666666666666,11703
14.5,11730
14.583333333333334,11767
14.666666666666666,11803
14.75,11825
14.833333333333334,11854
14.916666666666666,11871
15,11891
15.083333333333334,11921
15.166666666666666,11937
15.25,11960
15.333333333333334,11987
15.416666666666666,11998
15.5,12019
15.583333333333334,12049
15.666666666666666,12073
15.75,12085
15.833333333333334,12100
15.916666666666666,12117
16,12142
16.083333333333332,12163
16.166666666666668,12199
16.25,12222
16.333333333333332,12249
16.416666666666668,12277
16.5,12289
16.583333333333332,12305
16.666666666666668,12334
16.75,12350
16.833333333333332,12374
16.916666666666668,12396
17,12421
17.083333333333332,12431
17.166666666666668,12453
17.25,12468
17.333333333333332,12494
17.416666666666668,12512
17.5,12531
17.583333333333332,12546
17.666666666666668,12564
17.75,12584
17.833333333333332,12596
17.916666666666668,12615
18,12644
18.083333333333332,12660
18.166666666666668,12677
18.25,12697
18.333333333333332,12715
18.416666666666668,12739
18.5,12748
18.583333333333332,12754
18.666666666666668,12774
18.75,12784
18.833333333333332,12796
18.916666666666668,12802
19,12824
19.083333333333332,12834
19.166666666666668,12841
19.25,12856
19.333333333333332,12879
19.416666666666668,12888
19.5,12906
19.583333333333332,12936
19.666666666666668,12943
19.75,12955
19.833333333333332,12966
19.916666666666668,12990
20,13013
20.083333333333332,13032
20.166666666666668,13048
20.25,13052
20.333333333333332,13071
20.416666666666668,13082
20.5,13102
20.583333333333332,13115
20.666666666666668,13131
20.75,13157
20.833333333333332,13171
20.916666666666668,13180
21,13206
21.083333333333332,13212
21.166666666666668,13228
21.25,13254
21.333333333333332,13263
21.416666666666668,13282
21.5,13284
21.583333333333332,13306
21.666666666666668,13326
21.75,13342
21.833333333333332,13362
21.916666666666668,13374
22,13386
22.083333333333332,13400
22.166666666666668,13414
22.25,13429
22.333333333333332,13458
22.416666666666668,13469
22.5,13495
22.583333333333332,13501
22.666666666666668,13523
22.75,13546
22.833333333333332,13549
22.916666666666668,13571
23,13584
23.083333333333332,13601
23.166666666666668,13613
23.25,13631
23.333333333333332,13631
23.416666666666668,13652
23.5,13675
23.583333333333332,13694
23.666666666666668,13699
23.75,13714
23.833333333333332,13722
23.916666666666668,13728
24,13741
24.083333333333332,13744
24.166666666666668,13749
24.25,13759
24.333333333333332,13763
24.416666666666668,13781
24.5,13786
24.583333333333332,13787
24.666666666666668,13794
24.75,13795
24.833333333333332,13799
24.916666666666668,13823
25,13820
25.083333333333332,13830
25.166666666666668,13836
25.25,13852
25.333333333333332,13860
25.416666666666668,13872
25.5,13877
25.583333333333332,13875
25.666666666666668,13895
25.75,13898
25.833333333333332,13905
25.916666666666668,13900
26,13909
26.083333333333332,13913
26.166666666666668,13934
26.25,13930
26.333333333333332,13938
26.416666666666668,13948
26.5,13945
26.583333333333332,13949
26.666666666666668,13958
26.75,13965
26.833333333333332,13969
26.916666666666668,13974
27,13980
27.083333333333332,13993
27.166666666666668,13992
27.25,14006
27.333333333333332,14012
27.416666666666668,14012
27.5,14018
27.583333333333332,14026
27.666666666666668,14026
27.75,14039
27.833333333333332,14043
27.916666666666668,14055
28,14053
28.083333333333332,14071
28.166666666666668,14066
28.25,14072
28.333333333333332,14082
28.416666666666668,14083
28.5,14089
28.583333333333332,14097
28.666666666666668,14102
28.75,14110
28.833333333333332,14121
28.916666666666668,14126
29,14133
29.083333333333332,14140
29.166666666666668,14137
29.25,14142
29.333333333333332,14153
29.416666666666668,14155
29.5,14164
29.583333333333332,14164
29.666666666666668,14167
29.75,14172
29.833333333333332,14172
29.916666666666668,14178
30,14184
30.083333333333332,14188
30.166666666666668,14190
30.25,14197
30.333333333333332,14201
30.416666666666668,14216
30.5,14222
30.583333333333332,14231
30.666666666666668,14230
30.75,14237
30.833333333333332,14248
30.916666666666668,14246
31,14261
31.083333333333332,14269
31.166666666666668,14268
31.25,14280
31.333333333333332,14283
31.416666666666668,14291
31.5,14292
31.583333333333332,14292
31.666666666666668,14296
31.75,14307
31.833333333333332,14303
31.916666666666668,14313
32,14322
32.083333333333336,14319
32.166666666666664,14334
32.25,14329
32.333333333333336,14340
32.416666666666664,14329
32.5,14337
32.583333333333336,14338
32.666666666666664,14352
32.75,14358
32.833333333333336,14367
32.916666666666664,14365
33,14369
33.083333333333336,14385
33.166666666666664,14382
33.25,14387
33.333333333333336,14393
33.416666666666664,14398
33.5,14402
33.583333333333336,14416
33.666666666666664,14414
33.75,14417
33.833333333333336,14426
33.916666666666664,14423
34,14425
34.083333333333336,14436
34.166666666666664,14434
34.25,14448
34.333333333333336,14454
34.416666666666664,14465
34.5,14463
34.583333333333336,14474
34.666666666666664,14477
34.75,14472
34.833333333333336,14479
34.916666666666664,14492
35,14491
35.083333333333336,14499
35.166666666666664,14506
35.25,14508
35.333333333333336,14515
35.416666666666664,14521
35.5,14522
35.583333333333336,14527
35.666666666666664,14524
35.75,14535
35.833333333333336,14536
35.916666666666664,14539
36,14548
36.083333333333336,14554
36.166666666666664,14553
36.25,14557
36.333333333333336,14567
36.416666666666664,14570
36.5,14569
36.583333333333336,14580
36.666666666666664,14587
36.75,14595
36.833333333333336,14594
36.916666666666664,14593
37,14607
37.083333333333336,14607
37.166666666666664,14620
37.25,14614
37.333333333333336,14620
37.416666666666664,14622
37.5,14630
37.583333333333336,14627
37.666666666666664,14631
37.75,14629
37.833333333333336,14641
37.916666666666664,14651
38,14654
38.083333333333336,14654
38.166666666666664,14657
38.25,14655
38.333333333333336,14667
38.416666666666664,14671
38.5,14677
38.583333333333336,14674
38.666666666666664,14680
38.75,14683
38.833333333333336,14681
38.916666666666664,14681
39,14682
39.083333333333336,14693
39.166666666666664,14693
39.25,14694
39.333333333333336,14697
39.416666666666664,14699
39.5,14701
39.583333333333336,14712
39.666666666666664,14717
39.75,14716
39.833333333333336,14726
39.916666666666664,14723
40,14733
40.083333333333336,14730
40.166666666666664,14732
40.25,14734
40.333333333333336,14743
40.416666666666664,14733
40.5,14741
40.583333333333336,14743
40.666666666666664,14740
40.75,14747
40.833333333333336,14749
40.916666666666664,14748
41,14758
41.083333333333336,14745
41.166666666666664,14753
41.25,14762
41.333333333333336,14755
41.416666666666664,14763
41.5,14759
41.583333333333336,14757
41.666666666666664,14761
41.75,14765
41.833333333333336,14764
41.916666666666664,14759
42,14762
42.083333333333336,14762
42.166666666666664,14765
42.25,14767
42.333333333333336,14772
42.416666666666664,14768
42.5,14766
42.583333333333336,14773
42.666666666666664,14776
42.75,14783
42.833333333333336,14788
42.916666666666664,14780
43,14782
43.083333333333336,14781
43.166666666666664,14788
43.25,14785
43.333333333333336,14792
43.416666666666664,14792
43.5,14792
43.583333333333336,14793
43.666666666666664,14796
43.75,14800
43.833333333333336,14804
43.916666666666664,14796
44,14795
44.083333333333336,14806
44.166666666666664,14799
44.25,14802
44.333333333333336,14806
44.416666666666664,14805
44.5,14812
44.583333333333336,14806
44.666666666666664,14806
44.75,14810
44.833333333333336,14818
44.916666666666664,14815
45,14812
45.083333333333336,14819
45.166666666666664,14820
45.25,14821
45.333333333333336,14818
45.416666666666664,14827
45.5,14823
45.583333333333336,14829
45.666666666666664,14818
45.75,14831
45.833333333333336,14827
45.916666666666664,14830
46,14830
46.083333333333336,14838
46.166666666666664,14833
46.25,14837
46.333333333333336,14847
46.416666666666664,14847
46.5,14837
46.583333333333336,14841
46.666666666666664,14844
46.75,14850
46.833333333333336,14852
46.916666666666664,14859
47,14853
47.083333333333336,14853
47.166666666666664,14861
47.25,14860
47.333333333333336,14858
47.416666666666664,14867
47.5,14864
47.583333333333336,14870
47.666666666666664,14865
47.75,14865
47.833333333333336,14875
47.916666666666664,14876
