"Hours since thread went live","Mashle: Magic and Muscles Season 2 - Episode 7 discussion"
0,1
0,4
0.08333333333333333,7
0.16666666666666666,13
0.25,20
0.3333333333333333,29
0.4166666666666667,38
0.5,45
0.5833333333333334,55
0.6666666666666666,64
0.75,73
0.8333333333333334,88
0.9166666666666666,102
1,116
1.0833333333333333,124
1.1666666666666667,134
1.25,148
1.3333333333333333,159
1.4166666666666667,172
1.5,182
1.5833333333333333,193
1.6666666666666667,195
1.75,200
1.8333333333333333,210
1.9166666666666667,218
2,227
2.0833333333333335,234
2.1666666666666665,244
2.25,247
2.3333333333333335,251
2.4166666666666665,262
2.5,266
2.5833333333333335,271
2.6666666666666665,281
2.75,288
2.8333333333333335,295
2.9166666666666665,307
3,313
3.0833333333333335,319
3.1666666666666665,332
3.25,341
3.3333333333333335,343
3.4166666666666665,359
3.5,367
3.5833333333333335,368
3.6666666666666665,372
3.75,376
3.8333333333333335,387
3.9166666666666665,393
4,392
4.083333333333333,401
4.166666666666667,407
4.25,412
4.333333333333333,414
4.416666666666667,426
4.5,437
4.583333333333333,444
4.666666666666667,448
4.75,455
4.833333333333333,459
4.916666666666667,465
5,464
5.083333333333333,473
5.166666666666667,475
5.25,479
5.333333333333333,485
5.416666666666667,490
5.5,495
5.583333333333333,500
5.666666666666667,509
5.75,509
5.833333333333333,528
5.916666666666667,528
6,528
6.083333333333333,529
6.166666666666667,535
6.25,536
6.333333333333333,549
6.416666666666667,546
6.5,557
6.583333333333333,561
6.666666666666667,561
6.75,560
6.833333333333333,574
6.916666666666667,580
7,579
7.083333333333333,588
7.166666666666667,596
7.25,599
7.333333333333333,601
7.416666666666667,604
7.5,606
7.583333333333333,611
7.666666666666667,618
7.75,613
7.833333333333333,621
7.916666666666667,635
8,633
8.083333333333334,635
8.166666666666666,641
8.25,643
8.333333333333334,643
8.416666666666666,650
8.5,659
8.583333333333334,660
8.666666666666666,668
8.75,666
8.833333333333334,666
8.916666666666666,674
9,674
9.083333333333334,677
9.166666666666666,672
9.25,681
9.333333333333334,685
9.416666666666666,684
9.5,692
9.583333333333334,689
9.666666666666666,698
9.75,696
9.833333333333334,701
9.916666666666666,701
10,712
10.083333333333334,710
10.166666666666666,712
10.25,719
10.333333333333334,721
10.416666666666666,728
10.5,728
10.583333333333334,726
10.666666666666666,731
10.75,736
10.833333333333334,738
10.916666666666666,743
11,743
11.083333333333334,744
11.166666666666666,751
11.25,755
11.333333333333334,754
11.416666666666666,756
11.5,754
11.583333333333334,760
11.666666666666666,765
11.75,767
11.833333333333334,770
11.916666666666666,773
12,772
12.083333333333334,782
12.166666666666666,781
12.25,787
12.333333333333334,782
12.416666666666666,789
12.5,792
12.583333333333334,790
12.666666666666666,798
12.75,801
12.833333333333334,797
12.916666666666666,806
13,801
13.083333333333334,808
13.166666666666666,813
13.25,807
13.333333333333334,809
13.416666666666666,813
13.5,822
13.583333333333334,826
13.666666666666666,826
13.75,832
13.833333333333334,837
13.916666666666666,835
14,835
14.083333333333334,837
14.166666666666666,839
14.25,849
14.333333333333334,845
14.416666666666666,843
14.5,845
14.583333333333334,851
14.666666666666666,851
14.75,853
14.833333333333334,856
14.916666666666666,852
15,853
15.083333333333334,860
15.166666666666666,864
15.25,864
15.333333333333334,868
15.416666666666666,869
15.5,866
15.583333333333334,866
15.666666666666666,869
15.75,875
15.833333333333334,871
15.916666666666666,877
16,877
16.083333333333332,880
16.166666666666668,885
16.25,887
16.333333333333332,884
16.416666666666668,884
16.5,883
16.583333333333332,887
16.666666666666668,888
16.75,895
16.833333333333332,889
16.916666666666668,896
17,895
17.083333333333332,896
17.166666666666668,894
17.25,900
17.333333333333332,903
17.416666666666668,902
17.5,902
17.583333333333332,904
17.666666666666668,901
17.75,903
17.833333333333332,907
17.916666666666668,911
18,910
18.083333333333332,915
18.166666666666668,910
18.25,908
18.333333333333332,917
18.416666666666668,912
18.5,924
18.583333333333332,921
18.666666666666668,926
18.75,926
18.833333333333332,921
18.916666666666668,930
19,932
19.083333333333332,929
19.166666666666668,927
19.25,939
19.333333333333332,934
19.416666666666668,936
19.5,939
19.583333333333332,938
19.666666666666668,935
19.75,940
19.833333333333332,940
19.916666666666668,946
20,948
20.083333333333332,948
20.166666666666668,946
20.25,949
20.333333333333332,951
20.416666666666668,953
20.5,952
20.583333333333332,956
20.666666666666668,954
20.75,952
20.833333333333332,954
20.916666666666668,954
21,955
21.083333333333332,955
21.166666666666668,961
21.25,967
21.333333333333332,964
21.416666666666668,959
21.5,962
21.583333333333332,970
21.666666666666668,971
21.75,966
21.833333333333332,968
21.916666666666668,972
22,968
22.083333333333332,975
22.166666666666668,975
22.25,969
22.333333333333332,979
22.416666666666668,976
22.5,975
22.583333333333332,978
22.666666666666668,980
22.75,978
22.833333333333332,983
22.916666666666668,978
23,985
23.083333333333332,983
23.166666666666668,983
23.25,982
23.333333333333332,987
23.416666666666668,987
