"Hours since thread went live","Astro Note - Episode 8 discussion"
35.666666666666664,165
35.75,162
35.833333333333336,166
35.916666666666664,163
36,164
36.083333333333336,167
36.166666666666664,165
36.25,164
36.333333333333336,163
36.416666666666664,161
36.5,166
36.583333333333336,163
36.666666666666664,168
36.75,163
36.833333333333336,165
36.916666666666664,164
37,161
37.083333333333336,167
37.166666666666664,161
37.25,161
37.333333333333336,166
37.416666666666664,163
37.5,163
37.583333333333336,164
37.666666666666664,160
37.75,163
37.833333333333336,161
37.916666666666664,166
38,164
38.083333333333336,168
38.166666666666664,162
38.25,165
38.333333333333336,163
38.416666666666664,163
38.5,166
38.583333333333336,166
38.666666666666664,164
38.75,165
38.833333333333336,162
38.916666666666664,168
39,167
39.083333333333336,160
39.166666666666664,164
39.25,162
39.333333333333336,166
39.416666666666664,163
39.5,162
39.583333333333336,166
39.666666666666664,161
39.75,164
39.833333333333336,161
39.916666666666664,160
40,165
40.083333333333336,168
40.166666666666664,160
40.25,165
40.333333333333336,166
40.416666666666664,162
40.5,163
40.583333333333336,165
40.666666666666664,164
40.75,168
40.833333333333336,162
40.916666666666664,163
41,164
41.083333333333336,162
41.166666666666664,166
41.25,165
41.333333333333336,162
41.416666666666664,162
41.5,165
41.583333333333336,163
41.666666666666664,164
41.75,167
41.833333333333336,161
41.916666666666664,165
42,165
42.083333333333336,165
42.166666666666664,162
42.25,168
42.333333333333336,166
42.416666666666664,165
42.5,164
42.583333333333336,163
42.666666666666664,166
42.75,164
42.833333333333336,166
42.916666666666664,166
43,164
43.083333333333336,167
43.166666666666664,162
43.25,166
43.333333333333336,163
43.416666666666664,166
43.5,161
43.583333333333336,163
43.666666666666664,163
43.75,164
43.833333333333336,161
43.916666666666664,167
44,163
44.083333333333336,162
44.166666666666664,163
44.25,168
44.333333333333336,162
44.416666666666664,167
44.5,168
44.583333333333336,164
44.666666666666664,167
44.75,167
44.833333333333336,166
44.916666666666664,166
45,166
45.083333333333336,165
45.166666666666664,164
45.25,165
45.333333333333336,166
45.416666666666664,166
45.5,165
45.583333333333336,168
45.666666666666664,165
45.75,167
45.833333333333336,167
45.916666666666664,169
46,166
46.083333333333336,165
46.166666666666664,163
46.25,169
46.333333333333336,164
46.416666666666664,166
46.5,169
46.583333333333336,169
46.666666666666664,165
46.75,163
46.833333333333336,166
46.916666666666664,165
47,163
47.083333333333336,164
47.166666666666664,168
47.25,167
47.333333333333336,167
47.416666666666664,163
47.5,166
47.583333333333336,166
47.666666666666664,168
47.75,168
47.833333333333336,167
47.916666666666664,165
