"Hours since thread went live","Yoru no Kurage wa Oyogenai • Jellyfish Can't Swim in the Night - Episode 9 discussion"
24.333333333333332,1680
24.416666666666668,1683
24.5,1682
24.583333333333332,1682
24.666666666666668,1684
24.75,1680
24.833333333333332,1686
24.916666666666668,1683
25,1687
25.083333333333332,1688
25.166666666666668,1688
25.25,1688
25.333333333333332,1687
25.416666666666668,1693
25.5,1695
25.583333333333332,1689
25.666666666666668,1693
25.75,1694
25.833333333333332,1699
25.916666666666668,1698
26,1698
26.083333333333332,1698
26.166666666666668,1703
26.25,1705
26.333333333333332,1704
26.416666666666668,1707
26.5,1713
26.583333333333332,1712
26.666666666666668,1705
26.75,1708
26.833333333333332,1709
26.916666666666668,1711
27,1709
27.083333333333332,1714
27.166666666666668,1711
27.25,1708
27.333333333333332,1712
27.416666666666668,1716
27.5,1719
27.583333333333332,1714
27.666666666666668,1717
27.75,1724
27.833333333333332,1718
27.916666666666668,1719
28,1729
28.083333333333332,1725
28.166666666666668,1721
28.25,1728
28.333333333333332,1730
28.416666666666668,1726
28.5,1728
28.583333333333332,1732
28.666666666666668,1731
28.75,1726
28.833333333333332,1728
28.916666666666668,1725
29,1732
29.083333333333332,1735
29.166666666666668,1733
29.25,1737
29.333333333333332,1735
29.416666666666668,1738
29.5,1738
29.583333333333332,1742
29.666666666666668,1743
29.75,1748
29.833333333333332,1747
29.916666666666668,1745
30,1750
30.083333333333332,1750
30.166666666666668,1750
30.25,1753
30.333333333333332,1749
30.416666666666668,1758
30.5,1756
30.583333333333332,1750
30.666666666666668,1752
30.75,1754
30.833333333333332,1753
30.916666666666668,1754
31,1754
31.083333333333332,1757
31.166666666666668,1757
31.25,1761
31.333333333333332,1754
31.416666666666668,1760
31.5,1760
31.583333333333332,1760
31.666666666666668,1764
31.75,1760
31.833333333333332,1762
31.916666666666668,1759
32.083333333333336,1763
32.166666666666664,1764
32.25,1757
32.333333333333336,1760
32.416666666666664,1766
