"Hours since thread went live","Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita Season 2 • Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside Season 2 - Episode 8 discussion"
0,5
0.08333333333333333,6
0.16666666666666666,8
0.25,11
0.3333333333333333,13
0.4166666666666667,14
0.5,15
0.5833333333333334,17
0.6666666666666666,20
0.75,24
0.8333333333333334,27
0.9166666666666666,29
1,31
1.0833333333333333,32
1.1666666666666667,36
1.25,39
1.3333333333333333,43
1.4166666666666667,48
1.5,48
1.5833333333333333,56
1.6666666666666667,58
1.75,59
1.8333333333333333,65
1.9166666666666667,66
2,70
2.0833333333333335,69
2.1666666666666665,75
2.25,78
2.3333333333333335,82
2.4166666666666665,81
2.5,85
2.5833333333333335,89
2.6666666666666665,92
2.75,94
2.8333333333333335,99
2.9166666666666665,105
3,106
3.0833333333333335,110
3.1666666666666665,111
3.25,117
3.3333333333333335,118
3.4166666666666665,122
3.5,122
3.5833333333333335,128
3.6666666666666665,130
3.75,133
3.8333333333333335,133
3.9166666666666665,134
4,141
4.083333333333333,140
4.166666666666667,145
4.25,153
4.333333333333333,154
4.416666666666667,153
4.5,156
4.583333333333333,155
4.666666666666667,160
4.75,156
4.833333333333333,161
4.916666666666667,165
5,164
5.083333333333333,171
5.166666666666667,177
5.25,176
5.333333333333333,178
5.416666666666667,183
5.5,181
5.583333333333333,184
5.666666666666667,187
5.75,185
5.833333333333333,191
5.916666666666667,183
6,189
6.083333333333333,194
6.166666666666667,189
6.25,197
6.333333333333333,194
6.416666666666667,200
6.5,196
6.583333333333333,202
6.666666666666667,203
6.75,205
6.833333333333333,205
6.916666666666667,203
7,204
7.083333333333333,207
7.166666666666667,207
7.25,208
7.333333333333333,211
7.416666666666667,209
7.5,208
7.583333333333333,211
7.666666666666667,216
7.75,215
7.833333333333333,219
7.916666666666667,220
8,223
8.083333333333334,222
8.166666666666666,222
8.25,226
8.333333333333334,226
8.416666666666666,230
8.5,228
8.583333333333334,228
8.666666666666666,232
8.75,234
8.833333333333334,236
8.916666666666666,231
9,233
9.083333333333334,233
9.166666666666666,237
9.25,241
9.333333333333334,240
9.416666666666666,244
9.5,245
9.583333333333334,245
9.666666666666666,250
9.75,251
9.833333333333334,252
9.916666666666666,250
10,254
10.083333333333334,256
10.166666666666666,258
10.25,259
10.333333333333334,260
10.416666666666666,262
10.5,262
10.583333333333334,263
10.666666666666666,266
10.75,264
10.833333333333334,267
10.916666666666666,266
11,264
11.083333333333334,265
11.166666666666666,268
11.25,269
11.333333333333334,271
11.416666666666666,269
11.5,275
11.583333333333334,275
11.666666666666666,276
11.75,281
11.833333333333334,275
11.916666666666666,276
12,282
12.083333333333334,286
12.166666666666666,286
12.25,282
12.333333333333334,288
12.416666666666666,287
12.5,289
12.583333333333334,285
12.666666666666666,285
12.75,286
12.833333333333334,286
12.916666666666666,290
13,286
13.083333333333334,289
13.166666666666666,294
13.25,288
13.333333333333334,291
13.416666666666666,293
13.5,294
13.583333333333334,294
13.666666666666666,304
13.75,299
13.833333333333334,305
13.916666666666666,303
14,302
14.083333333333334,300
14.166666666666666,302
14.25,303
14.333333333333334,303
14.416666666666666,312
14.5,310
14.583333333333334,314
14.666666666666666,314
14.75,318
14.833333333333334,314
14.916666666666666,308
15,309
15.083333333333334,311
15.166666666666666,322
15.25,319
15.333333333333334,320
15.416666666666666,314
15.5,312
15.583333333333334,319
15.666666666666666,316
15.75,318
15.833333333333334,316
15.916666666666666,318
16,319
16.083333333333332,321
16.166666666666668,318
16.25,326
16.333333333333332,321
16.416666666666668,319
16.5,318
16.583333333333332,319
16.666666666666668,323
16.75,324
16.833333333333332,324
16.916666666666668,325
17,325
17.083333333333332,327
17.166666666666668,326
17.25,321
17.333333333333332,322
17.416666666666668,329
17.5,330
17.583333333333332,325
17.666666666666668,326
17.75,324
17.833333333333332,329
17.916666666666668,328
18,330
18.083333333333332,328
18.166666666666668,326
18.25,330
18.333333333333332,333
18.416666666666668,326
18.5,328
18.583333333333332,334
18.666666666666668,334
18.75,327
18.833333333333332,330
18.916666666666668,330
19,326
19.083333333333332,329
19.166666666666668,330
19.25,330
19.333333333333332,330
19.416666666666668,328
19.5,334
19.583333333333332,333
19.666666666666668,331
19.75,333
19.833333333333332,335
19.916666666666668,338
20,334
20.083333333333332,335
20.166666666666668,337
20.25,337
20.333333333333332,336
20.416666666666668,338
20.5,344
20.583333333333332,340
20.666666666666668,340
20.75,340
20.833333333333332,341
20.916666666666668,342
21,344
21.083333333333332,340
21.166666666666668,334
21.25,339
21.333333333333332,342
21.416666666666668,345
21.5,340
21.583333333333332,342
21.666666666666668,341
21.75,347
21.833333333333332,341
21.916666666666668,346
22,341
22.083333333333332,342
22.166666666666668,341
22.25,340
22.333333333333332,341
22.416666666666668,345
22.5,345
22.583333333333332,341
22.666666666666668,351
22.75,348
22.833333333333332,350
22.916666666666668,351
23,350
23.083333333333332,353
23.166666666666668,355
23.25,353
23.333333333333332,350
23.416666666666668,352
23.5,353
23.583333333333332,354
23.666666666666668,349
23.75,358
23.833333333333332,354
23.916666666666668,347
24,350
24.083333333333332,348
24.166666666666668,352
24.25,355
24.333333333333332,353
24.416666666666668,353
24.5,358
24.583333333333332,354
24.666666666666668,354
24.75,354
24.833333333333332,354
24.916666666666668,354
25,350
25.083333333333332,351
25.166666666666668,349
25.25,356
25.333333333333332,353
25.416666666666668,357
25.5,359
25.583333333333332,355
25.666666666666668,358
25.75,351
25.833333333333332,363
25.916666666666668,360
26,353
26.083333333333332,356
26.166666666666668,359
26.25,356
26.333333333333332,352
26.416666666666668,361
26.5,361
26.583333333333332,351
26.666666666666668,356
26.75,360
26.833333333333332,353
26.916666666666668,354
27,364
27.083333333333332,357
27.166666666666668,358
27.25,357
27.333333333333332,359
27.416666666666668,355
27.5,365
27.583333333333332,364
27.666666666666668,360
27.833333333333332,361
27.916666666666668,363
28,361
28.083333333333332,360
28.166666666666668,361
28.25,364
28.333333333333332,361
28.416666666666668,361
28.5,365
28.583333333333332,364
28.666666666666668,359
28.75,365
28.833333333333332,361
28.916666666666668,362
29,367
29.083333333333332,361
29.166666666666668,364
29.25,363
29.333333333333332,366
29.416666666666668,366
29.5,365
29.583333333333332,361
29.666666666666668,367
29.75,366
29.833333333333332,369
29.916666666666668,366
30,363
30.083333333333332,367
30.166666666666668,370
30.25,365
30.333333333333332,368
30.416666666666668,369
30.5,366
30.583333333333332,362
30.666666666666668,365
30.75,369
30.833333333333332,365
30.916666666666668,367
31,366
31.083333333333332,367
31.166666666666668,369
31.25,368
31.333333333333332,363
31.416666666666668,366
31.5,373
31.583333333333332,368
31.666666666666668,371
31.75,371
31.833333333333332,370
31.916666666666668,373
32,373
32.083333333333336,373
32.166666666666664,376
32.25,370
32.333333333333336,369
32.416666666666664,369
32.5,367
32.583333333333336,370
32.666666666666664,370
32.75,372
32.833333333333336,368
32.916666666666664,373
33,368
33.083333333333336,377
33.166666666666664,371
33.25,371
33.333333333333336,373
33.416666666666664,374
33.5,371
33.583333333333336,370
33.666666666666664,371
33.75,378
33.833333333333336,372
33.916666666666664,373
34,373
34.083333333333336,375
34.166666666666664,377
34.25,374
34.333333333333336,369
34.416666666666664,375
34.5,376
34.583333333333336,376
34.666666666666664,375
34.75,373
34.833333333333336,370
34.916666666666664,374
35,370
35.083333333333336,377
35.166666666666664,373
35.25,371
35.333333333333336,379
35.416666666666664,370
35.5,370
35.583333333333336,376
35.666666666666664,374
35.75,379
35.833333333333336,376
35.916666666666664,374
36,370
36.083333333333336,368
36.166666666666664,371
36.25,379
36.333333333333336,373
36.416666666666664,378
36.5,368
36.583333333333336,375
36.666666666666664,374
36.75,377
36.833333333333336,372
36.916666666666664,373
37,370
37.083333333333336,378
37.166666666666664,375
37.25,375
37.333333333333336,376
37.416666666666664,371
37.5,379
37.583333333333336,373
37.666666666666664,374
37.75,374
37.833333333333336,375
37.916666666666664,377
38,377
38.083333333333336,374
38.166666666666664,374
38.25,373
38.333333333333336,371
38.416666666666664,375
38.5,377
38.583333333333336,376
38.666666666666664,378
38.75,374
38.833333333333336,373
38.916666666666664,371
39,373
39.083333333333336,379
39.166666666666664,380
39.25,373
39.333333333333336,373
39.416666666666664,372
39.5,369
39.583333333333336,374
39.666666666666664,369
39.75,375
39.833333333333336,375
39.916666666666664,378
40,372
40.083333333333336,374
40.166666666666664,374
40.25,373
40.333333333333336,374
40.416666666666664,376
40.5,374
40.583333333333336,379
40.666666666666664,371
40.75,371
40.833333333333336,376
40.916666666666664,376
41,371
41.083333333333336,376
41.166666666666664,380
41.25,376
41.333333333333336,375
41.416666666666664,377
41.5,372
41.583333333333336,378
41.666666666666664,373
41.75,373
41.833333333333336,373
41.916666666666664,377
42,376
42.083333333333336,373
42.166666666666664,376
42.25,378
42.333333333333336,378
42.416666666666664,370
42.5,377
42.583333333333336,380
42.666666666666664,378
42.75,379
42.833333333333336,375
42.916666666666664,376
43,375
43.083333333333336,372
43.166666666666664,374
43.25,375
43.333333333333336,375
43.416666666666664,376
43.5,374
43.583333333333336,376
43.666666666666664,376
43.75,376
43.833333333333336,378
43.916666666666664,380
44,377
44.083333333333336,377
44.166666666666664,375
44.25,374
44.333333333333336,373
44.416666666666664,377
44.5,377
44.583333333333336,374
44.666666666666664,371
44.75,380
44.833333333333336,375
44.916666666666664,374
45,375
45.083333333333336,376
45.166666666666664,376
45.25,378
45.333333333333336,377
45.416666666666664,377
45.5,382
45.583333333333336,374
45.666666666666664,374
45.75,377
45.833333333333336,377
45.916666666666664,379
46,370
46.083333333333336,376
46.166666666666664,380
46.25,371
46.333333333333336,371
46.416666666666664,377
46.5,379
46.583333333333336,380
46.666666666666664,378
46.75,379
46.833333333333336,377
46.916666666666664,373
47,375
47.083333333333336,380
47.166666666666664,380
47.25,374
47.333333333333336,378
47.416666666666664,381
47.5,373
47.583333333333336,378
47.666666666666664,374
47.75,377
47.833333333333336,381
47.916666666666664,376
