"Hours since thread went live","Sentai Daishikkaku • Go! Go! Loser Ranger! - Episode 8 discussion"
0,2
0,4
0.08333333333333333,5
0.16666666666666666,6
0.25,7
0.3333333333333333,11
0.4166666666666667,15
0.5,20
0.5833333333333334,24
0.6666666666666666,28
0.75,31
0.8333333333333334,36
0.9166666666666666,39
1,45
1.0833333333333333,52
1.1666666666666667,56
1.25,62
1.3333333333333333,70
1.4166666666666667,77
1.5,78
1.5833333333333333,82
1.6666666666666667,92
1.75,95
1.8333333333333333,100
1.9166666666666667,105
2,105
2.0833333333333335,112
2.1666666666666665,115
2.25,119
2.3333333333333335,120
2.4166666666666665,121
2.5,121
2.5833333333333335,125
2.6666666666666665,128
2.75,131
2.8333333333333335,132
2.9166666666666665,141
3,145
3.0833333333333335,152
3.1666666666666665,156
3.25,156
3.3333333333333335,160
3.4166666666666665,164
3.5,168
3.5833333333333335,178
3.6666666666666665,185
3.75,191
3.8333333333333335,190
3.9166666666666665,195
4,202
4.083333333333333,204
4.166666666666667,211
4.25,219
4.333333333333333,220
4.416666666666667,222
4.5,228
4.583333333333333,235
4.666666666666667,232
4.75,235
4.833333333333333,240
4.916666666666667,251
5,256
5.083333333333333,261
5.166666666666667,270
5.25,277
5.333333333333333,283
5.416666666666667,286
5.5,288
5.583333333333333,294
5.666666666666667,307
5.75,305
5.833333333333333,308
5.916666666666667,307
6,313
6.083333333333333,313
6.166666666666667,320
6.25,319
6.333333333333333,323
6.416666666666667,333
6.5,337
6.583333333333333,341
6.666666666666667,349
6.75,354
6.833333333333333,360
6.916666666666667,370
7,372
7.083333333333333,379
7.166666666666667,382
7.25,389
7.333333333333333,387
7.416666666666667,397
7.5,403
7.583333333333333,403
7.666666666666667,407
7.75,410
7.833333333333333,416
7.916666666666667,424
8,428
8.083333333333334,433
8.166666666666666,439
8.25,445
8.333333333333334,453
8.416666666666666,454
8.5,459
8.583333333333334,462
8.666666666666666,464
8.75,463
8.833333333333334,469
8.916666666666666,475
9,484
9.083333333333334,487
9.166666666666666,487
9.25,494
9.333333333333334,490
9.416666666666666,493
9.5,501
9.583333333333334,499
9.666666666666666,503
9.75,509
9.833333333333334,510
9.916666666666666,515
10,520
10.083333333333334,535
10.166666666666666,533
10.25,532
10.333333333333334,541
10.416666666666666,537
10.5,542
10.583333333333334,549
10.666666666666666,553
10.75,553
10.833333333333334,565
10.916666666666666,561
11,566
11.083333333333334,569
11.166666666666666,577
11.25,576
11.333333333333334,583
11.416666666666666,578
11.5,597
11.583333333333334,594
11.666666666666666,595
11.75,600
11.833333333333334,602
11.916666666666666,608
12,605
12.083333333333334,609
12.166666666666666,612
12.25,612
12.333333333333334,613
12.416666666666666,617
12.5,619
12.583333333333334,620
12.666666666666666,626
12.75,622
12.833333333333334,631
12.916666666666666,633
13,635
13.083333333333334,639
13.166666666666666,641
13.25,644
13.333333333333334,644
13.416666666666666,649
13.5,658
13.583333333333334,655
13.666666666666666,659
13.75,661
13.833333333333334,662
13.916666666666666,662
14,669
14.083333333333334,673
14.166666666666666,673
14.25,680
14.333333333333334,678
14.416666666666666,682
14.5,685
14.583333333333334,689
14.666666666666666,695
14.75,701
14.833333333333334,698
14.916666666666666,696
15,698
15.083333333333334,703
15.166666666666666,708
15.25,707
15.333333333333334,716
15.416666666666666,716
15.5,725
15.583333333333334,722
15.666666666666666,724
15.75,728
15.833333333333334,727
15.916666666666666,729
16,735
16.083333333333332,734
16.166666666666668,735
16.25,733
16.333333333333332,743
16.416666666666668,743
16.583333333333332,749
16.666666666666668,744
16.75,747
16.833333333333332,743
