"Hours since thread went live","Re:Monster - Episode 9 discussion"
24.333333333333332,106
24.416666666666668,102
24.5,103
24.583333333333332,106
24.666666666666668,107
24.75,104
24.833333333333332,109
24.916666666666668,106
25,105
25.083333333333332,103
25.166666666666668,106
25.25,105
25.333333333333332,106
25.416666666666668,108
25.5,107
25.583333333333332,105
25.666666666666668,107
25.75,110
25.833333333333332,108
25.916666666666668,104
26,108
26.083333333333332,108
26.166666666666668,108
26.25,111
26.333333333333332,110
26.416666666666668,108
26.5,105
26.583333333333332,107
26.666666666666668,107
26.75,107
26.833333333333332,108
26.916666666666668,112
27,104
27.083333333333332,110
27.166666666666668,109
27.25,108
27.333333333333332,110
27.416666666666668,108
27.5,108
27.583333333333332,109
27.666666666666668,108
27.75,108
27.833333333333332,111
27.916666666666668,106
28,109
28.083333333333332,109
28.166666666666668,109
28.25,113
28.333333333333332,112
28.416666666666668,106
28.5,107
28.583333333333332,107
28.666666666666668,108
28.75,113
28.833333333333332,108
28.916666666666668,111
29,109
29.083333333333332,109
29.166666666666668,107
29.25,105
29.333333333333332,106
29.416666666666668,106
29.5,110
29.583333333333332,109
29.666666666666668,105
29.75,108
29.833333333333332,105
29.916666666666668,108
30,110
30.083333333333332,105
30.166666666666668,110
30.25,108
30.333333333333332,108
30.416666666666668,106
30.5,109
30.583333333333332,111
30.666666666666668,107
30.75,111
30.833333333333332,109
30.916666666666668,110
31,106
31.083333333333332,105
31.166666666666668,104
31.25,107
31.333333333333332,112
31.416666666666668,106
31.5,104
31.583333333333332,105
31.666666666666668,106
31.75,105
31.833333333333332,108
31.916666666666668,108
32,105
32.083333333333336,106
32.166666666666664,106
32.25,107
32.333333333333336,105
32.416666666666664,107
32.5,108
32.583333333333336,108
32.666666666666664,106
32.75,103
32.833333333333336,106
32.916666666666664,108
33,104
33.083333333333336,109
33.166666666666664,107
33.25,102
33.333333333333336,108
33.416666666666664,109
33.5,109
33.583333333333336,108
33.666666666666664,107
33.75,103
33.833333333333336,106
33.916666666666664,109
34,108
34.083333333333336,104
34.166666666666664,108
34.25,112
34.333333333333336,109
34.416666666666664,108
34.5,108
34.583333333333336,107
34.666666666666664,112
34.75,112
34.833333333333336,112
34.916666666666664,109
35,113
35.083333333333336,109
35.166666666666664,112
35.25,109
35.333333333333336,108
35.416666666666664,109
35.5,107
35.583333333333336,108
35.666666666666664,109
35.75,109
35.833333333333336,110
35.916666666666664,110
36,110
36.083333333333336,111
36.166666666666664,111
36.25,112
36.333333333333336,109
36.416666666666664,112
36.5,106
36.583333333333336,109
36.666666666666664,112
36.75,107
36.833333333333336,112
36.916666666666664,111
37,108
37.083333333333336,112
37.166666666666664,111
37.25,113
37.333333333333336,112
37.416666666666664,113
37.5,109
37.583333333333336,107
37.666666666666664,106
37.75,107
37.833333333333336,110
37.916666666666664,113
38,113
38.083333333333336,110
38.166666666666664,110
38.25,111
38.333333333333336,108
38.416666666666664,110
38.5,110
38.583333333333336,110
38.666666666666664,110
38.75,113
38.833333333333336,108
38.916666666666664,111
39,109
39.083333333333336,108
39.166666666666664,112
39.25,106
39.333333333333336,110
39.416666666666664,109
39.5,110
39.583333333333336,110
39.666666666666664,111
39.75,111
39.833333333333336,108
39.916666666666664,110
40,107
40.083333333333336,109
40.166666666666664,110
40.25,110
40.333333333333336,114
40.416666666666664,110
40.5,110
40.583333333333336,110
40.666666666666664,114
40.75,110
40.833333333333336,112
40.916666666666664,111
41,109
41.083333333333336,109
41.166666666666664,111
41.25,113
41.333333333333336,110
41.416666666666664,109
41.5,115
41.583333333333336,113
41.666666666666664,113
41.75,111
41.833333333333336,113
41.916666666666664,114
42,110
42.083333333333336,112
42.166666666666664,113
42.25,114
42.333333333333336,114
42.416666666666664,110
42.5,112
42.583333333333336,113
42.666666666666664,113
42.75,111
42.833333333333336,112
42.916666666666664,113
43,110
43.083333333333336,111
43.166666666666664,114
43.25,118
43.333333333333336,114
43.416666666666664,117
43.5,113
43.583333333333336,117
43.666666666666664,116
43.75,116
43.833333333333336,119
43.916666666666664,115
44,115
44.083333333333336,113
44.166666666666664,112
44.25,115
44.333333333333336,116
44.416666666666664,116
44.5,114
44.583333333333336,113
44.666666666666664,113
44.75,118
44.833333333333336,116
44.916666666666664,115
45,114
45.083333333333336,112
45.166666666666664,111
45.25,117
45.333333333333336,116
45.416666666666664,111
45.5,112
45.583333333333336,112
45.666666666666664,117
45.75,118
45.833333333333336,115
45.916666666666664,113
46,113
46.083333333333336,115
46.166666666666664,113
46.25,115
46.333333333333336,113
46.416666666666664,115
46.5,115
46.583333333333336,115
46.666666666666664,114
46.75,112
46.833333333333336,112
46.916666666666664,116
47,114
47.083333333333336,111
47.166666666666664,118
47.25,115
47.333333333333336,114
47.416666666666664,114
47.5,118
47.583333333333336,112
47.666666666666664,116
47.75,115
47.833333333333336,116
47.916666666666664,115
