"Hours since thread went live","Mato Seihei no Slave • Chained Soldier - Episode 10 discussion"
0,1
0,4
0.08333333333333333,5
0.16666666666666666,11
0.25,15
0.3333333333333333,17
0.4166666666666667,19
0.5,21
0.5833333333333334,29
0.6666666666666666,29
0.75,34
0.8333333333333334,35
0.9166666666666666,37
1,41
1.0833333333333333,45
1.1666666666666667,44
1.25,46
1.3333333333333333,45
1.4166666666666667,51
1.5,52
1.5833333333333333,50
1.6666666666666667,56
1.75,61
1.8333333333333333,62
1.9166666666666667,65
2,74
2.0833333333333335,72
2.1666666666666665,76
2.25,78
2.3333333333333335,80
2.4166666666666665,85
2.5,85
2.5833333333333335,89
2.6666666666666665,92
2.75,94
2.8333333333333335,95
2.9166666666666665,97
3,103
3.0833333333333335,104
3.1666666666666665,105
3.25,107
3.3333333333333335,113
3.4166666666666665,112
3.5,114
3.5833333333333335,116
3.6666666666666665,120
3.75,121
3.8333333333333335,122
3.9166666666666665,125
4,129
4.083333333333333,129
4.166666666666667,129
4.25,134
4.333333333333333,137
4.416666666666667,136
4.5,136
4.583333333333333,138
4.666666666666667,138
4.75,140
4.833333333333333,142
4.916666666666667,141
5,145
5.083333333333333,148
5.166666666666667,148
5.25,152
5.333333333333333,152
5.416666666666667,154
5.5,152
5.583333333333333,157
5.666666666666667,161
5.75,166
5.833333333333333,165
5.916666666666667,166
6,167
6.083333333333333,174
6.166666666666667,176
6.25,177
6.333333333333333,174
6.416666666666667,182
6.5,181
6.583333333333333,182
6.666666666666667,188
6.75,189
6.833333333333333,188
6.916666666666667,191
7,198
7.083333333333333,193
7.166666666666667,199
7.25,199
7.333333333333333,202
7.416666666666667,204
7.5,204
7.583333333333333,207
7.666666666666667,210
7.75,215
7.833333333333333,219
7.916666666666667,223
8,221
8.083333333333334,220
8.166666666666666,224
8.25,225
8.333333333333334,226
8.416666666666666,229
8.5,229
8.583333333333334,235
8.666666666666666,238
8.75,240
8.833333333333334,241
8.916666666666666,241
9,244
9.083333333333334,244
9.166666666666666,246
9.25,252
9.333333333333334,252
9.416666666666666,252
9.5,249
9.583333333333334,252
9.666666666666666,253
9.75,256
9.833333333333334,253
9.916666666666666,254
10,256
10.083333333333334,256
10.166666666666666,255
10.25,258
10.333333333333334,260
10.416666666666666,264
10.5,259
10.583333333333334,266
10.666666666666666,263
10.75,262
10.833333333333334,264
10.916666666666666,270
11,274
11.083333333333334,278
11.166666666666666,281
11.25,285
11.333333333333334,281
11.416666666666666,287
11.5,288
11.583333333333334,288
11.666666666666666,296
11.75,296
11.833333333333334,298
11.916666666666666,302
12,295
12.083333333333334,305
12.166666666666666,305
12.25,301
12.333333333333334,306
12.416666666666666,307
12.5,307
12.583333333333334,307
12.666666666666666,305
12.75,311
12.833333333333334,310
12.916666666666666,312
13,318
13.083333333333334,310
13.166666666666666,312
13.25,312
13.333333333333334,315
13.416666666666666,321
13.5,321
13.583333333333334,322
13.666666666666666,325
13.75,324
13.833333333333334,324
13.916666666666666,325
14,318
14.083333333333334,321
14.166666666666666,324
14.25,321
14.333333333333334,324
14.416666666666666,321
14.5,329
14.583333333333334,325
14.666666666666666,333
14.75,335
14.833333333333334,325
14.916666666666666,333
15,337
15.083333333333334,330
15.166666666666666,330
15.25,332
15.333333333333334,332
15.416666666666666,335
15.5,333
15.583333333333334,333
15.666666666666666,334
15.75,342
15.833333333333334,342
15.916666666666666,339
16,340
16.083333333333332,345
16.166666666666668,352
16.25,349
16.333333333333332,344
16.416666666666668,346
16.5,353
16.583333333333332,349
16.666666666666668,350
16.75,353
16.833333333333332,356
16.916666666666668,353
17,353
17.083333333333332,355
17.166666666666668,355
17.25,354
17.333333333333332,355
17.416666666666668,353
17.5,363
17.583333333333332,362
17.666666666666668,366
17.75,360
17.833333333333332,365
17.916666666666668,369
18,363
18.083333333333332,363
18.166666666666668,369
18.25,364
18.333333333333332,370
18.416666666666668,369
18.5,375
18.583333333333332,374
18.666666666666668,372
18.75,374
18.833333333333332,376
18.916666666666668,369
19,367
19.083333333333332,373
19.166666666666668,377
19.25,372
19.333333333333332,371
19.416666666666668,374
19.5,375
19.583333333333332,367
19.666666666666668,372
19.75,376
19.833333333333332,374
19.916666666666668,375
20,371
20.083333333333332,380
20.166666666666668,377
20.25,376
20.333333333333332,379
20.416666666666668,376
20.5,372
20.583333333333332,371
20.666666666666668,378
20.75,378
20.833333333333332,370
20.916666666666668,373
21,379
21.083333333333332,378
21.166666666666668,376
21.25,375
21.333333333333332,377
21.416666666666668,376
21.5,381
21.583333333333332,381
21.666666666666668,376
21.75,382
21.833333333333332,381
21.916666666666668,382
22,381
22.083333333333332,380
22.166666666666668,383
22.25,383
22.333333333333332,385
22.416666666666668,379
22.5,385
22.583333333333332,380
22.666666666666668,385
22.75,389
22.833333333333332,384
22.916666666666668,384
23,389
23.083333333333332,394
23.166666666666668,386
23.25,394
23.333333333333332,390
23.416666666666668,392
