"Hours since thread went live","The Fable - Episode 1 discussion"
33.75,420
33.833333333333336,411
33.916666666666664,415
34,414
34.083333333333336,412
34.166666666666664,412
34.25,418
34.333333333333336,415
34.416666666666664,421
34.5,414
34.583333333333336,418
34.666666666666664,411
34.75,413
34.833333333333336,417
34.916666666666664,414
35,414
35.083333333333336,413
35.166666666666664,421
35.25,413
35.333333333333336,420
35.416666666666664,420
35.5,414
35.583333333333336,415
35.666666666666664,420
35.75,415
35.833333333333336,414
35.916666666666664,416
36,414
36.083333333333336,418
36.166666666666664,415
36.25,417
36.333333333333336,416
36.416666666666664,422
36.5,418
36.583333333333336,423
36.666666666666664,422
36.75,420
36.833333333333336,423
36.916666666666664,416
37,421
37.083333333333336,417
37.166666666666664,418
37.25,417
37.333333333333336,421
37.416666666666664,420
37.5,418
37.583333333333336,415
37.666666666666664,415
37.75,419
37.833333333333336,420
37.916666666666664,421
38,414
38.083333333333336,420
38.166666666666664,422
38.25,417
38.333333333333336,422
38.416666666666664,417
38.5,423
38.583333333333336,418
38.666666666666664,422
38.75,415
38.833333333333336,418
38.916666666666664,420
39,419
39.083333333333336,420
39.166666666666664,421
39.25,417
39.333333333333336,416
39.416666666666664,415
39.5,416
39.583333333333336,418
39.666666666666664,419
39.75,421
39.833333333333336,414
39.916666666666664,416
40,421
40.083333333333336,419
40.166666666666664,422
40.25,422
40.333333333333336,419
40.416666666666664,421
40.5,417
40.583333333333336,421
40.666666666666664,423
40.75,423
40.833333333333336,418
40.916666666666664,422
41,420
41.083333333333336,420
41.166666666666664,421
41.25,422
41.333333333333336,420
41.416666666666664,420
41.5,426
41.583333333333336,418
41.666666666666664,422
41.75,421
41.833333333333336,420
41.916666666666664,423
42,419
42.083333333333336,419
42.166666666666664,422
42.25,429
42.333333333333336,425
42.416666666666664,427
42.5,424
42.583333333333336,427
42.666666666666664,425
42.75,421
42.833333333333336,425
42.916666666666664,418
43,427
43.083333333333336,423
43.166666666666664,425
43.25,424
43.333333333333336,420
43.416666666666664,423
43.5,423
43.583333333333336,429
43.666666666666664,426
43.75,426
43.833333333333336,423
43.916666666666664,420
44,423
44.083333333333336,422
44.166666666666664,421
44.25,424
44.333333333333336,426
44.416666666666664,426
44.5,425
44.583333333333336,426
44.666666666666664,424
44.75,418
44.833333333333336,423
44.916666666666664,422
45,429
45.083333333333336,426
45.166666666666664,426
45.25,423
45.333333333333336,424
45.416666666666664,424
45.5,419
45.583333333333336,427
45.666666666666664,423
45.75,424
45.833333333333336,427
45.916666666666664,424
46,424
46.083333333333336,427
46.166666666666664,427
46.25,426
46.333333333333336,423
46.416666666666664,418
46.5,423
46.583333333333336,422
46.666666666666664,429
46.75,424
46.833333333333336,423
46.916666666666664,421
47,421
47.083333333333336,419
47.166666666666664,427
47.25,419
47.333333333333336,420
47.416666666666664,419
47.5,427
47.583333333333336,418
47.666666666666664,421
47.75,425
47.833333333333336,423
47.916666666666664,424
