"Hours since thread went live","Blue Archive The Animation - Episode 6 discussion"
24.333333333333332,173
24.416666666666668,178
24.5,175
24.583333333333332,175
24.666666666666668,180
24.75,180
24.833333333333332,177
24.916666666666668,177
25,179
25.083333333333332,176
25.166666666666668,176
25.25,175
25.333333333333332,179
25.416666666666668,181
25.5,182
25.583333333333332,178
25.666666666666668,180
25.75,178
25.833333333333332,183
25.916666666666668,181
26,178
26.083333333333332,183
26.166666666666668,180
26.25,180
26.333333333333332,179
26.416666666666668,179
26.5,178
26.583333333333332,178
26.666666666666668,177
26.75,178
26.833333333333332,181
26.916666666666668,180
27,181
27.083333333333332,178
27.166666666666668,179
27.25,183
27.333333333333332,180
27.416666666666668,178
27.5,182
27.583333333333332,178
27.666666666666668,179
27.75,180
27.833333333333332,183
27.916666666666668,182
28,183
28.083333333333332,180
28.166666666666668,182
28.25,182
28.333333333333332,180
28.416666666666668,181
28.5,181
28.583333333333332,179
28.666666666666668,179
28.75,183
28.833333333333332,183
28.916666666666668,178
29,182
29.083333333333332,180
29.166666666666668,181
29.25,182
29.333333333333332,182
29.416666666666668,181
29.5,181
29.583333333333332,179
29.666666666666668,183
29.75,180
29.833333333333332,181
29.916666666666668,179
30,178
30.083333333333332,179
30.166666666666668,178
30.25,180
30.333333333333332,183
30.416666666666668,182
30.5,182
30.583333333333332,181
30.666666666666668,180
30.75,179
30.833333333333332,182
30.916666666666668,182
31,181
31.083333333333332,182
31.166666666666668,181
31.25,177
31.333333333333332,184
31.416666666666668,182
31.5,181
31.583333333333332,179
31.666666666666668,184
31.75,184
31.833333333333332,180
31.916666666666668,181
32,177
32.083333333333336,181
32.166666666666664,180
32.25,182
32.333333333333336,182
32.416666666666664,181
32.5,182
32.583333333333336,180
32.666666666666664,178
32.75,180
32.833333333333336,185
32.916666666666664,180
33,178
33.083333333333336,183
33.166666666666664,181
33.25,180
33.333333333333336,178
33.416666666666664,184
33.5,182
33.583333333333336,182
33.666666666666664,180
33.75,179
33.833333333333336,184
33.916666666666664,180
34,181
34.083333333333336,180
34.166666666666664,180
34.25,182
34.333333333333336,180
34.416666666666664,182
34.5,180
34.583333333333336,179
34.666666666666664,184
34.75,181
34.833333333333336,184
34.916666666666664,182
35,180
35.083333333333336,182
35.166666666666664,186
35.25,184
35.333333333333336,182
35.416666666666664,182
35.5,181
35.583333333333336,182
35.666666666666664,184
35.75,180
35.833333333333336,184
35.916666666666664,184
36,180
36.083333333333336,183
36.166666666666664,184
36.25,182
36.333333333333336,182
36.416666666666664,183
36.5,184
36.583333333333336,182
36.666666666666664,185
36.75,180
36.833333333333336,186
36.916666666666664,186
37,182
37.083333333333336,180
37.166666666666664,185
37.25,184
37.333333333333336,187
37.416666666666664,183
