"Hours since thread went live","Sasayaku You ni Koi wo Utau • Whisper Me a Love Song - Episode 1 discussion"
0,8
0.08333333333333333,18
0.16666666666666666,25
0.25,37
0.3333333333333333,43
0.4166666666666667,56
0.5,69
0.5833333333333334,86
0.6666666666666666,98
0.75,111
0.8333333333333334,119
0.9166666666666666,127
1,141
1.0833333333333333,156
1.1666666666666667,161
1.25,172
1.3333333333333333,180
1.4166666666666667,189
1.5,194
1.5833333333333333,200
1.6666666666666667,212
1.75,219
1.8333333333333333,232
1.9166666666666667,243
2,255
2.0833333333333335,264
2.1666666666666665,275
2.25,279
2.3333333333333335,293
2.4166666666666665,298
2.5,306
2.5833333333333335,315
2.6666666666666665,317
2.75,326
2.8333333333333335,344
2.9166666666666665,350
3,358
3.0833333333333335,362
3.1666666666666665,372
3.25,377
3.3333333333333335,388
3.4166666666666665,392
3.5,395
3.5833333333333335,406
3.6666666666666665,403
3.75,412
3.8333333333333335,424
3.9166666666666665,426
4,434
4.083333333333333,443
4.166666666666667,451
4.25,460
4.333333333333333,464
4.416666666666667,476
4.5,480
4.583333333333333,488
4.666666666666667,493
4.75,500
4.833333333333333,506
4.916666666666667,517
5,524
5.083333333333333,528
5.166666666666667,529
5.25,535
5.333333333333333,537
5.416666666666667,547
5.5,550
5.583333333333333,557
5.666666666666667,569
5.75,568
5.833333333333333,578
5.916666666666667,586
6,583
6.083333333333333,590
6.166666666666667,592
6.25,593
6.333333333333333,598
6.416666666666667,603
6.5,608
6.583333333333333,616
6.666666666666667,619
6.75,630
6.833333333333333,633
6.916666666666667,635
7,638
7.083333333333333,646
7.166666666666667,645
7.25,645
7.333333333333333,649
7.416666666666667,646
7.5,653
7.583333333333333,655
7.666666666666667,659
7.75,664
7.833333333333333,664
7.916666666666667,669
8,670
8.083333333333334,679
8.166666666666666,679
8.25,684
8.333333333333334,691
8.416666666666666,692
8.5,696
8.583333333333334,706
8.666666666666666,710
8.75,713
8.833333333333334,716
8.916666666666666,723
9,718
9.083333333333334,729
9.166666666666666,733
9.25,730
9.333333333333334,725
9.416666666666666,739
9.5,745
9.583333333333334,742
9.666666666666666,744
9.75,742
9.833333333333334,742
9.916666666666666,754
10,752
10.083333333333334,764
10.166666666666666,773
10.25,775
10.333333333333334,771
10.416666666666666,778
10.5,783
10.583333333333334,787
10.666666666666666,786
10.75,788
10.833333333333334,793
10.916666666666666,798
11,791
11.083333333333334,793
11.166666666666666,798
11.25,797
11.333333333333334,800
11.416666666666666,799
11.5,811
11.583333333333334,815
11.666666666666666,815
11.75,816
11.833333333333334,817
11.916666666666666,820
12,823
12.083333333333334,828
12.166666666666666,836
12.25,836
12.333333333333334,839
12.416666666666666,836
12.5,840
12.583333333333334,841
12.666666666666666,847
12.75,857
12.833333333333334,852
12.916666666666666,856
13,862
13.083333333333334,857
13.166666666666666,860
13.25,860
13.333333333333334,866
13.416666666666666,867
13.5,869
13.583333333333334,867
13.666666666666666,878
13.75,875
13.833333333333334,881
13.916666666666666,885
14,885
14.083333333333334,888
14.166666666666666,881
14.25,886
14.333333333333334,890
14.416666666666666,886
14.5,895
14.583333333333334,891
14.666666666666666,898
14.75,901
14.833333333333334,901
14.916666666666666,898
15,902
15.083333333333334,910
15.166666666666666,910
15.25,919
15.333333333333334,917
15.416666666666666,922
15.5,917
15.583333333333334,925
15.666666666666666,925
15.75,934
15.833333333333334,933
15.916666666666666,938
16,933
16.083333333333332,937
16.166666666666668,935
16.25,940
16.333333333333332,936
16.416666666666668,941
16.5,940
16.583333333333332,943
16.666666666666668,951
16.75,949
16.833333333333332,946
16.916666666666668,951
17,958
17.083333333333332,952
17.166666666666668,948
17.25,954
17.333333333333332,955
17.416666666666668,959
17.5,953
17.583333333333332,958
17.666666666666668,956
17.75,956
17.833333333333332,958
17.916666666666668,960
18,958
18.083333333333332,960
18.166666666666668,964
18.25,967
18.333333333333332,966
18.416666666666668,962
18.5,970
18.583333333333332,969
18.666666666666668,968
18.75,973
18.833333333333332,977
18.916666666666668,974
19,979
19.083333333333332,983
19.166666666666668,985
19.25,983
19.333333333333332,987
19.416666666666668,992
19.5,986
19.583333333333332,995
19.666666666666668,991
19.75,993
19.833333333333332,993
19.916666666666668,992
20,987
20.083333333333332,996
20.166666666666668,999
20.25,995
20.333333333333332,1003
20.416666666666668,1001
20.5,998
20.583333333333332,1001
20.666666666666668,999
20.75,1004
20.833333333333332,1005
20.916666666666668,1012
21,1008
21.083333333333332,1011
21.166666666666668,1008
21.25,1011
21.333333333333332,1013
21.416666666666668,1016
21.5,1013
21.583333333333332,1022
21.666666666666668,1024
21.75,1021
21.833333333333332,1020
21.916666666666668,1025
22,1028
22.083333333333332,1037
22.166666666666668,1027
22.25,1037
