"Hours since thread went live","Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Part 2 • The Misfit of Demon King Academy II Part 2 - Episode 7 discussion"
33,274
33.083333333333336,272
33.166666666666664,271
33.25,268
33.333333333333336,274
33.416666666666664,273
33.5,274
33.583333333333336,269
33.666666666666664,269
33.75,266
33.833333333333336,267
33.916666666666664,269
34,273
34.083333333333336,271
34.166666666666664,267
34.25,270
34.333333333333336,270
34.416666666666664,270
34.5,274
34.583333333333336,268
34.666666666666664,270
34.75,270
34.833333333333336,267
34.916666666666664,273
35,267
35.083333333333336,271
35.166666666666664,271
35.25,268
35.333333333333336,272
35.416666666666664,273
35.5,272
35.583333333333336,270
35.666666666666664,273
35.75,275
35.833333333333336,274
35.916666666666664,272
36,272
36.083333333333336,272
36.166666666666664,268
36.25,270
36.333333333333336,269
36.416666666666664,271
36.5,272
36.583333333333336,274
36.666666666666664,275
36.75,276
36.833333333333336,273
36.916666666666664,274
37,273
37.083333333333336,272
37.166666666666664,272
37.25,271
37.333333333333336,273
37.416666666666664,274
37.5,274
37.583333333333336,272
37.666666666666664,274
37.75,276
37.833333333333336,273
37.916666666666664,273
38,271
38.083333333333336,274
38.166666666666664,271
38.25,272
38.333333333333336,270
38.416666666666664,275
38.5,272
38.583333333333336,275
38.666666666666664,273
38.75,272
38.833333333333336,274
38.916666666666664,273
39,275
39.083333333333336,275
39.166666666666664,274
39.25,274
39.333333333333336,271
39.416666666666664,278
39.5,275
39.583333333333336,275
39.666666666666664,278
39.75,277
39.833333333333336,279
39.916666666666664,275
40,273
40.083333333333336,276
40.166666666666664,275
40.25,275
40.333333333333336,277
40.416666666666664,275
40.5,274
40.583333333333336,272
40.666666666666664,279
40.75,273
40.833333333333336,278
40.916666666666664,276
41,276
41.083333333333336,272
41.166666666666664,279
41.25,276
41.333333333333336,276
41.416666666666664,275
41.5,275
41.583333333333336,276
41.666666666666664,279
41.75,273
41.833333333333336,275
41.916666666666664,277
42,275
42.083333333333336,279
42.166666666666664,276
42.25,277
42.333333333333336,273
42.416666666666664,273
42.5,279
42.583333333333336,274
42.666666666666664,273
42.75,272
42.833333333333336,274
42.916666666666664,275
43,274
43.083333333333336,276
43.166666666666664,274
43.25,277
43.333333333333336,275
43.416666666666664,275
43.5,275
43.583333333333336,278
43.666666666666664,274
43.75,275
43.833333333333336,277
43.916666666666664,276
44,275
44.083333333333336,274
44.166666666666664,274
44.25,275
44.333333333333336,275
44.416666666666664,274
44.5,278
44.583333333333336,273
44.666666666666664,276
44.75,279
44.833333333333336,278
44.916666666666664,273
45,278
45.083333333333336,277
45.166666666666664,279
45.25,275
45.333333333333336,273
45.416666666666664,279
45.5,273
45.583333333333336,271
45.666666666666664,276
45.75,279
45.833333333333336,274
45.916666666666664,273
46,272
46.083333333333336,276
46.166666666666664,274
46.25,276
46.333333333333336,279
46.416666666666664,278
46.5,280
46.583333333333336,278
46.666666666666664,276
46.75,281
46.833333333333336,278
46.916666666666664,274
47,277
47.083333333333336,274
47.166666666666664,277
47.25,280
47.333333333333336,278
47.416666666666664,281
47.5,275
47.583333333333336,278
47.666666666666664,274
47.75,275
47.833333333333336,280
47.916666666666664,280
