"Hours since thread went live","Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen • Villainess Level 99: I May Be the Hidden Boss but I'm Not the Demon Lord - Episode 9 discussion"
0,2
0,1
0.08333333333333333,3
0.16666666666666666,6
0.25,9
0.3333333333333333,17
0.4166666666666667,25
0.5,31
0.5833333333333334,38
0.6666666666666666,48
0.75,55
0.8333333333333334,65
0.9166666666666666,73
1,89
1.0833333333333333,94
1.1666666666666667,108
1.25,113
1.3333333333333333,121
1.4166666666666667,132
1.5,137
1.5833333333333333,146
1.6666666666666667,151
1.75,161
1.8333333333333333,170
1.9166666666666667,178
2,186
2.0833333333333335,192
2.1666666666666665,200
2.25,201
2.3333333333333335,211
2.4166666666666665,224
2.5,228
2.5833333333333335,237
2.6666666666666665,243
2.75,252
2.8333333333333335,250
2.9166666666666665,257
3,266
3.0833333333333335,272
3.1666666666666665,271
3.25,282
3.3333333333333335,287
3.4166666666666665,291
3.5,293
3.5833333333333335,301
3.6666666666666665,297
3.75,304
3.8333333333333335,317
3.9166666666666665,326
4,325
4.083333333333333,330
4.166666666666667,339
4.25,344
4.333333333333333,347
4.416666666666667,354
4.5,353
4.583333333333333,362
4.666666666666667,367
4.75,374
4.833333333333333,383
4.916666666666667,390
5,387
5.083333333333333,394
5.166666666666667,402
5.25,409
5.333333333333333,409
5.416666666666667,416
5.5,423
5.583333333333333,432
5.666666666666667,429
5.75,438
5.833333333333333,450
5.916666666666667,453
6,453
6.083333333333333,459
6.166666666666667,460
6.25,468
6.333333333333333,474
6.416666666666667,481
6.5,479
6.583333333333333,488
6.666666666666667,493
6.75,498
6.833333333333333,508
6.916666666666667,506
7,508
7.083333333333333,514
7.166666666666667,514
7.25,520
7.333333333333333,522
7.416666666666667,523
7.5,528
7.583333333333333,533
7.666666666666667,530
7.75,536
7.833333333333333,548
7.916666666666667,548
8,545
8.083333333333334,548
8.166666666666666,550
8.25,555
8.333333333333334,558
8.416666666666666,569
8.5,567
8.583333333333334,574
8.666666666666666,571
8.75,583
8.833333333333334,587
8.916666666666666,582
9,589
9.083333333333334,590
9.166666666666666,589
9.25,592
9.333333333333334,598
9.416666666666666,598
9.5,601
9.583333333333334,603
9.666666666666666,602
9.75,606
9.833333333333334,607
9.916666666666666,617
10,609
10.083333333333334,615
10.166666666666666,621
10.25,618
10.333333333333334,619
10.416666666666666,625
10.5,621
10.583333333333334,621
10.666666666666666,627
10.75,629
10.833333333333334,634
10.916666666666666,631
11,634
11.083333333333334,636
11.166666666666666,635
11.25,642
11.333333333333334,645
11.416666666666666,648
11.5,641
11.583333333333334,639
11.666666666666666,653
11.75,653
11.833333333333334,658
11.916666666666666,659
12,659
12.083333333333334,666
12.166666666666666,669
12.25,663
12.333333333333334,669
12.416666666666666,672
12.5,676
12.583333333333334,668
12.666666666666666,674
12.75,679
12.833333333333334,678
12.916666666666666,684
13,681
13.083333333333334,679
13.166666666666666,684
13.25,685
13.333333333333334,687
13.416666666666666,691
13.5,688
13.583333333333334,697
13.666666666666666,690
13.75,699
13.833333333333334,702
13.916666666666666,700
14,701
14.083333333333334,718
14.166666666666666,718
14.25,717
14.333333333333334,715
14.416666666666666,716
14.5,714
14.583333333333334,724
14.666666666666666,722
14.75,725
14.833333333333334,715
14.916666666666666,724
15,727
15.083333333333334,727
15.166666666666666,731
15.25,731
15.333333333333334,731
15.416666666666666,730
15.5,730
15.583333333333334,727
15.666666666666666,729
15.75,734
15.833333333333334,736
15.916666666666666,733
16,736
16.083333333333332,733
16.166666666666668,735
16.25,736
16.333333333333332,741
16.416666666666668,740
16.5,743
16.583333333333332,743
16.666666666666668,741
16.75,739
16.833333333333332,740
16.916666666666668,739
17,740
17.083333333333332,746
17.166666666666668,742
17.25,742
17.333333333333332,744
17.416666666666668,745
17.5,746
17.583333333333332,746
17.666666666666668,743
17.75,749
17.833333333333332,749
17.916666666666668,752
18,753
18.083333333333332,745
18.166666666666668,751
18.25,750
18.333333333333332,745
18.416666666666668,746
18.5,749
18.583333333333332,746
