"Hours since thread went live","Yozakura-san Chi no Daisakusen • Mission: Yozakura Family - Episode 1 discussion"
35.416666666666664,695
35.5,695
35.583333333333336,689
35.75,694
35.833333333333336,695
35.916666666666664,692
36,690
36.083333333333336,687
36.166666666666664,695
36.25,693
36.333333333333336,695
36.416666666666664,693
36.5,696
36.583333333333336,692
36.666666666666664,694
36.75,689
36.833333333333336,697
36.916666666666664,692
37,693
37.083333333333336,702
37.166666666666664,692
37.25,702
37.333333333333336,693
37.416666666666664,699
37.5,704
37.583333333333336,705
37.666666666666664,704
37.75,700
37.833333333333336,701
37.916666666666664,702
38,698
38.083333333333336,705
38.166666666666664,702
38.25,703
38.333333333333336,701
38.416666666666664,706
38.5,701
38.583333333333336,699
38.666666666666664,708
38.75,707
38.833333333333336,703
38.916666666666664,710
39,706
39.083333333333336,704
39.166666666666664,706
39.25,701
39.333333333333336,711
39.416666666666664,709
39.5,707
39.583333333333336,705
39.666666666666664,706
39.75,712
39.833333333333336,709
39.916666666666664,701
40,705
40.083333333333336,708
40.166666666666664,712
40.25,704
40.333333333333336,711
40.416666666666664,708
40.5,713
40.583333333333336,709
40.666666666666664,705
40.75,705
40.833333333333336,705
40.916666666666664,704
41,708
41.083333333333336,707
41.166666666666664,710
41.25,711
41.333333333333336,706
41.416666666666664,707
41.5,714
41.583333333333336,710
41.666666666666664,706
41.75,705
41.833333333333336,710
41.916666666666664,711
42,710
42.083333333333336,713
42.166666666666664,713
42.25,709
42.333333333333336,706
42.416666666666664,712
42.5,710
42.583333333333336,707
42.666666666666664,712
42.75,713
42.833333333333336,709
42.916666666666664,712
43,714
43.083333333333336,713
43.166666666666664,713
43.25,717
43.333333333333336,714
43.416666666666664,711
43.5,716
43.583333333333336,710
43.666666666666664,715
43.75,711
43.833333333333336,711
43.916666666666664,718
44,715
44.083333333333336,719
44.166666666666664,717
44.25,715
44.333333333333336,712
44.416666666666664,714
44.5,721
44.583333333333336,717
44.666666666666664,717
44.75,718
44.833333333333336,717
44.916666666666664,717
45,714
45.083333333333336,718
45.166666666666664,719
45.25,720
45.333333333333336,719
45.416666666666664,717
45.5,718
45.583333333333336,720
45.666666666666664,715
45.75,716
45.833333333333336,716
45.916666666666664,719
46,716
46.083333333333336,720
46.166666666666664,716
46.25,716
46.333333333333336,716
46.416666666666664,720
46.5,722
46.583333333333336,716
46.666666666666664,721
46.75,721
46.833333333333336,721
46.916666666666664,720
47,718
47.083333333333336,717
47.166666666666664,716
47.25,714
47.333333333333336,718
47.416666666666664,715
47.5,720
47.583333333333336,721
47.666666666666664,723
47.75,720
47.833333333333336,723
47.916666666666664,719
