"Hours since thread went live","Shingeki no Kyojin: The Final Season Part 2 - Episode 77 discussion"
21.416666666666668,10314
21.5,10333
21.583333333333332,10345
21.666666666666668,10361
21.75,10367
21.833333333333332,10369
21.916666666666668,10379
22,10393
22.083333333333332,10399
22.166666666666668,10405
22.25,10416
22.333333333333332,10426
22.416666666666668,10437
22.5,10452
22.583333333333332,10456
22.666666666666668,10464
22.75,10476
22.833333333333332,10483
22.916666666666668,10491
23,10491
23.083333333333332,10504
23.166666666666668,10495
23.25,10516
23.333333333333332,10517
23.416666666666668,10535
23.5,10545
23.583333333333332,10544
23.666666666666668,10552
23.75,10565
23.833333333333332,10583
23.916666666666668,10594
24,10595
24.083333333333332,10596
24.166666666666668,10603
24.25,10604
24.333333333333332,10614
24.416666666666668,10612
24.5,10616
24.583333333333332,10619
24.666666666666668,10626
24.75,10618
24.833333333333332,10631
24.916666666666668,10628
25,10633
25.083333333333332,10640
25.166666666666668,10642
25.25,10647
25.333333333333332,10648
25.416666666666668,10658
25.5,10655
25.583333333333332,10667
25.666666666666668,10666
25.75,10667
25.833333333333332,10668
25.916666666666668,10672
26,10673
26.083333333333332,10675
26.166666666666668,10682
26.25,10686
26.333333333333332,10692
26.416666666666668,10698
26.5,10701
26.583333333333332,10703
26.666666666666668,10708
26.75,10712
26.833333333333332,10709
26.916666666666668,10712
27,10721
27.083333333333332,10723
27.166666666666668,10722
27.25,10732
27.333333333333332,10730
27.416666666666668,10733
27.5,10739
27.583333333333332,10742
27.666666666666668,10744
27.75,10745
27.833333333333332,10753
27.916666666666668,10754
28,10761
28.083333333333332,10763
28.166666666666668,10760
28.25,10761
28.333333333333332,10765
28.416666666666668,10765
28.5,10763
28.583333333333332,10767
28.666666666666668,10771
28.75,10776
28.833333333333332,10778
28.916666666666668,10779
29,10782
29.083333333333332,10785
29.166666666666668,10780
29.25,10787
29.333333333333332,10782
29.416666666666668,10789
29.5,10795
29.583333333333332,10797
29.666666666666668,10799
29.75,10803
29.833333333333332,10802
29.916666666666668,10811
30,10818
30.083333333333332,10826
30.166666666666668,10827
30.25,10831
30.333333333333332,10833
30.416666666666668,10830
30.5,10843
30.583333333333332,10844
30.666666666666668,10844
30.75,10855
30.833333333333332,10846
30.916666666666668,10848
31,10859
31.083333333333332,10849
31.166666666666668,10861
31.25,10863
31.333333333333332,10864
31.416666666666668,10868
31.5,10869
31.583333333333332,10878
31.666666666666668,10878
31.75,10880
31.833333333333332,10888
31.916666666666668,10889
32,10889
32.083333333333336,10887
32.166666666666664,10889
32.25,10893
32.333333333333336,10889
32.416666666666664,10895
32.5,10895
32.583333333333336,10902
32.666666666666664,10907
32.75,10908
32.833333333333336,10915
32.916666666666664,10915
33,10912
33.083333333333336,10916
33.166666666666664,10921
33.25,10916
33.333333333333336,10914
33.416666666666664,10915
33.5,10931
33.583333333333336,10930
33.666666666666664,10930
33.75,10927
33.833333333333336,10933
33.916666666666664,10928
34,10945
34.083333333333336,10936
34.166666666666664,10940
34.25,10942
34.333333333333336,10939
34.416666666666664,10943
34.5,10950
34.583333333333336,10952
34.666666666666664,10950
34.75,10948
34.833333333333336,10951
34.916666666666664,10947
35,10947
35.083333333333336,10958
35.166666666666664,10954
35.25,10952
35.333333333333336,10964
35.416666666666664,10964
35.5,10964
35.583333333333336,10961
35.666666666666664,10964
35.75,10967
35.833333333333336,10970
35.916666666666664,10973
36,10979
36.083333333333336,10976
36.166666666666664,10974
36.25,10975
36.333333333333336,10976
36.416666666666664,10974
36.5,10974
36.583333333333336,10979
36.666666666666664,10979
36.75,10977
36.833333333333336,10978
36.916666666666664,10985
37,10978
37.083333333333336,10987
37.166666666666664,10993
37.25,10989
37.333333333333336,10987
37.416666666666664,10985
37.5,10996
37.583333333333336,11000
37.666666666666664,10990
37.75,10989
37.833333333333336,10997
37.916666666666664,10995
38,11004
38.083333333333336,11000
38.166666666666664,11005
38.25,10996
38.333333333333336,11002
38.416666666666664,11001
38.5,11010
38.583333333333336,11006
38.666666666666664,11013
38.75,11002
38.833333333333336,11012
38.916666666666664,11008
39,11015
39.083333333333336,11010
39.166666666666664,11015
39.25,11014
39.333333333333336,11013
39.416666666666664,11014
39.5,11015
39.583333333333336,11021
39.666666666666664,11018
39.75,11015
39.833333333333336,11021
39.916666666666664,11016
40,11022
40.083333333333336,11021
40.166666666666664,11018
40.25,11023
40.333333333333336,11019
40.416666666666664,11025
40.5,11033
40.583333333333336,11027
40.666666666666664,11024
40.75,11027
40.833333333333336,11033
40.916666666666664,11027
41,11031
41.083333333333336,11038
41.166666666666664,11043
41.25,11042
41.333333333333336,11035
41.416666666666664,11034
41.5,11044
41.583333333333336,11041
41.666666666666664,11052
41.75,11047
41.833333333333336,11053
41.916666666666664,11053
42,11059
42.083333333333336,11056
42.166666666666664,11056
42.25,11048
42.333333333333336,11061
42.416666666666664,11051
42.5,11052
42.583333333333336,11055
42.666666666666664,11063
42.75,11056
42.833333333333336,11058
42.916666666666664,11056
43,11065
43.083333333333336,11060
43.166666666666664,11061
43.25,11070
43.333333333333336,11065
43.416666666666664,11070
43.5,11064
43.583333333333336,11064
43.666666666666664,11071
43.75,11073
43.833333333333336,11077
43.916666666666664,11077
44,11071
44.083333333333336,11075
44.166666666666664,11075
44.25,11072
44.333333333333336,11078
44.416666666666664,11070
44.5,11081
44.583333333333336,11078
44.666666666666664,11090
44.75,11084
44.833333333333336,11092
44.916666666666664,11084
45,11081
45.083333333333336,11089
45.166666666666664,11087
45.25,11090
45.333333333333336,11097
45.416666666666664,11098
45.5,11092
45.583333333333336,11099
45.666666666666664,11090
45.75,11091
45.833333333333336,11093
45.916666666666664,11101
46,11104
46.083333333333336,11102
46.166666666666664,11106
46.25,11105
46.333333333333336,11104
46.416666666666664,11101
46.5,11112
46.583333333333336,11101
46.666666666666664,11103
46.75,11108
46.833333333333336,11109
46.916666666666664,11114
47,11119
47.083333333333336,11121
47.166666666666664,11121
47.333333333333336,11119
47.416666666666664,11121
47.5,11114
47.583333333333336,11124
47.666666666666664,11123
47.75,11127
47.833333333333336,11121
47.916666666666664,11133
