"Hours since thread went live","Mato Seihei no Slave • Chained Soldier - Episode 11 discussion"
13.083333333333334,353
13.166666666666666,359
13.25,362
13.333333333333334,357
13.416666666666666,360
13.5,364
13.583333333333334,371
13.666666666666666,364
13.75,367
13.833333333333334,367
13.916666666666666,366
14,362
14.083333333333334,367
14.166666666666666,369
14.25,372
14.333333333333334,367
14.416666666666666,371
14.5,377
14.583333333333334,377
14.666666666666666,376
14.75,377
14.833333333333334,376
14.916666666666666,374
15,380
15.083333333333334,380
15.166666666666666,378
15.25,372
15.333333333333334,374
15.416666666666666,381
15.5,372
15.583333333333334,379
15.666666666666666,374
15.75,380
15.833333333333334,378
15.916666666666666,382
16,382
16.083333333333332,383
16.166666666666668,388
16.25,385
16.333333333333332,389
16.416666666666668,381
16.5,387
16.583333333333332,393
16.666666666666668,390
16.75,393
16.833333333333332,388
16.916666666666668,388
17,391
17.083333333333332,388
17.166666666666668,386
17.25,388
17.333333333333332,386
17.416666666666668,395
17.5,398
17.583333333333332,395
17.666666666666668,397
17.75,394
17.833333333333332,393
17.916666666666668,391
18,394
18.083333333333332,399
18.166666666666668,400
18.25,390
18.333333333333332,394
18.416666666666668,398
18.5,395
18.583333333333332,397
18.666666666666668,395
18.75,396
18.833333333333332,397
18.916666666666668,396
19,394
19.083333333333332,401
19.166666666666668,397
19.25,397
19.333333333333332,398
19.416666666666668,400
19.5,408
19.583333333333332,399
19.666666666666668,402
19.75,411
19.833333333333332,409
19.916666666666668,405
20,413
20.083333333333332,406
20.166666666666668,411
20.25,405
20.333333333333332,415
20.416666666666668,412
20.5,410
20.583333333333332,409
20.666666666666668,410
20.75,419
20.833333333333332,415
20.916666666666668,416
21,412
21.083333333333332,414
21.166666666666668,419
21.25,417
21.333333333333332,416
21.416666666666668,419
21.5,416
21.583333333333332,418
21.666666666666668,413
21.75,415
21.833333333333332,415
21.916666666666668,423
22,425
22.083333333333332,418
22.166666666666668,418
22.25,421
22.333333333333332,417
22.416666666666668,421
22.5,418
22.583333333333332,420
22.666666666666668,425
22.75,419
22.833333333333332,417
22.916666666666668,426
23,419
23.083333333333332,430
23.166666666666668,422
23.25,423
23.333333333333332,424
23.416666666666668,421
23.5,429
23.583333333333332,421
23.666666666666668,423
23.75,424
23.833333333333332,426
23.916666666666668,429
24,425
24.083333333333332,429
24.166666666666668,423
24.25,422
24.333333333333332,422
24.416666666666668,420
24.5,423
24.583333333333332,429
24.666666666666668,426
24.75,424
24.833333333333332,421
24.916666666666668,426
25,427
25.083333333333332,425
25.166666666666668,424
25.25,420
25.333333333333332,424
25.416666666666668,425
25.5,422
25.583333333333332,427
25.666666666666668,424
25.75,426
25.833333333333332,424
25.916666666666668,430
26,432
26.083333333333332,424
26.166666666666668,425
26.25,425
26.333333333333332,429
26.416666666666668,431
26.5,424
26.583333333333332,425
26.666666666666668,430
26.75,425
26.833333333333332,430
26.916666666666668,426
27,431
27.083333333333332,425
27.166666666666668,429
27.25,430
27.333333333333332,436
27.416666666666668,433
27.5,429
27.583333333333332,429
27.666666666666668,426
27.75,431
27.833333333333332,427
27.916666666666668,425
28,434
28.083333333333332,434
28.166666666666668,425
28.25,434
28.333333333333332,432
28.416666666666668,431
28.5,431
28.583333333333332,431
28.666666666666668,429
28.75,430
28.833333333333332,433
28.916666666666668,429
29,435
29.083333333333332,436
29.166666666666668,430
29.25,440
29.333333333333332,435
29.416666666666668,438
29.5,434
29.583333333333332,430
29.666666666666668,437
29.75,437
29.833333333333332,433
29.916666666666668,436
30,431
30.083333333333332,437
30.166666666666668,435
30.25,436
30.333333333333332,436
30.416666666666668,443
30.5,433
30.583333333333332,436
30.666666666666668,440
30.75,437
30.833333333333332,441
30.916666666666668,442
31,434
31.083333333333332,434
31.166666666666668,443
31.25,440
31.333333333333332,439
31.416666666666668,436
31.5,438
31.583333333333332,436
31.666666666666668,438
31.75,442
31.833333333333332,439
31.916666666666668,436
32,438
32.083333333333336,436
32.166666666666664,440
32.25,437
32.333333333333336,444
32.416666666666664,437
32.5,433
32.583333333333336,436
32.666666666666664,442
32.75,437
32.833333333333336,436
32.916666666666664,433
33,437
33.083333333333336,438
33.166666666666664,434
33.25,438
33.333333333333336,436
33.416666666666664,437
33.5,444
33.583333333333336,435
33.666666666666664,442
33.75,443
33.833333333333336,440
33.916666666666664,436
34,446
34.083333333333336,440
34.166666666666664,446
34.25,437
34.333333333333336,441
34.416666666666664,444
34.5,437
34.583333333333336,441
34.666666666666664,439
34.75,446
34.833333333333336,443
34.916666666666664,439
35,438
35.083333333333336,441
35.166666666666664,441
35.25,440
35.333333333333336,440
35.416666666666664,439
35.5,440
35.583333333333336,441
35.666666666666664,445
35.75,443
35.833333333333336,443
35.916666666666664,443
36,436
36.083333333333336,444
36.166666666666664,442
36.25,438
36.333333333333336,447
36.416666666666664,440
36.5,438
36.583333333333336,437
36.666666666666664,442
36.75,438
36.833333333333336,445
36.916666666666664,445
37,443
37.083333333333336,443
37.166666666666664,440
37.25,439
37.333333333333336,444
37.416666666666664,447
37.5,446
37.583333333333336,447
37.666666666666664,447
37.75,440
37.833333333333336,439
37.916666666666664,438
38,445
38.083333333333336,449
38.166666666666664,441
38.25,444
38.333333333333336,441
38.416666666666664,443
38.5,441
38.583333333333336,443
38.666666666666664,444
38.75,446
38.833333333333336,445
38.916666666666664,439
39,444
39.083333333333336,440
39.166666666666664,443
39.25,443
39.333333333333336,442
39.416666666666664,442
39.5,446
39.583333333333336,445
39.666666666666664,443
39.75,441
39.833333333333336,442
39.916666666666664,442
40,447
40.083333333333336,447
40.166666666666664,445
40.25,440
40.333333333333336,441
40.416666666666664,443
40.5,440
40.583333333333336,443
40.666666666666664,446
40.75,441
40.833333333333336,441
40.916666666666664,443
41,439
41.083333333333336,443
41.166666666666664,441
41.25,447
41.333333333333336,445
41.416666666666664,449
41.5,446
41.583333333333336,449
41.666666666666664,443
41.75,447
41.833333333333336,439
41.916666666666664,446
42,447
42.083333333333336,444
42.166666666666664,440
42.25,447
42.333333333333336,443
42.416666666666664,445
42.5,450
42.583333333333336,451
42.666666666666664,442
42.75,444
42.833333333333336,442
42.916666666666664,447
43,446
43.083333333333336,450
43.166666666666664,450
43.25,448
43.333333333333336,449
43.416666666666664,447
43.5,443
43.583333333333336,451
43.666666666666664,452
43.75,446
43.833333333333336,445
43.916666666666664,446
44,450
44.083333333333336,447
44.166666666666664,447
44.25,451
44.333333333333336,448
44.416666666666664,447
44.5,446
44.583333333333336,450
44.666666666666664,449
44.75,448
44.833333333333336,452
44.916666666666664,448
45,450
45.083333333333336,446
45.166666666666664,449
45.25,446
45.333333333333336,448
45.416666666666664,454
45.5,446
45.583333333333336,444
45.666666666666664,447
45.75,447
45.833333333333336,447
45.916666666666664,448
46,448
46.083333333333336,449
46.166666666666664,449
46.25,447
46.333333333333336,448
46.416666666666664,451
46.5,449
46.583333333333336,451
46.666666666666664,448
46.75,448
46.833333333333336,447
46.916666666666664,452
47,456
47.083333333333336,454
47.166666666666664,452
47.25,449
47.333333333333336,447
47.416666666666664,450
47.5,450
47.583333333333336,450
47.666666666666664,450
47.75,455
47.833333333333336,452
47.916666666666664,450
