"Hours since thread went live","Mato Seihei no Slave • Chained Soldier - Episode 11 discussion"
0,1
0,6
0.08333333333333333,9
0.16666666666666666,13
0.25,17
0.3333333333333333,22
0.4166666666666667,26
0.5,28
0.5833333333333334,31
0.6666666666666666,36
0.75,39
0.8333333333333334,38
0.9166666666666666,43
1,47
1.0833333333333333,47
1.1666666666666667,53
1.25,55
1.3333333333333333,58
1.4166666666666667,61
1.5,65
1.5833333333333333,70
1.6666666666666667,70
1.75,75
1.8333333333333333,73
1.9166666666666667,77
2,82
2.0833333333333335,91
2.1666666666666665,93
2.25,96
2.3333333333333335,102
2.4166666666666665,105
2.5,107
2.5833333333333335,109
2.6666666666666665,112
2.75,113
2.8333333333333335,117
2.9166666666666665,123
3,120
3.0833333333333335,125
3.1666666666666665,126
3.25,134
3.3333333333333335,136
3.4166666666666665,142
3.5,142
3.5833333333333335,147
3.6666666666666665,146
3.75,151
3.8333333333333335,156
3.9166666666666665,156
4,156
4.083333333333333,157
4.166666666666667,160
4.25,161
4.333333333333333,167
4.416666666666667,165
4.5,170
4.583333333333333,175
4.666666666666667,181
4.75,183
4.833333333333333,186
4.916666666666667,188
5,190
5.083333333333333,189
5.166666666666667,192
5.25,195
5.333333333333333,197
5.416666666666667,203
5.5,208
5.583333333333333,208
5.666666666666667,212
5.75,214
5.833333333333333,213
5.916666666666667,215
6,218
6.083333333333333,218
6.166666666666667,218
6.25,224
6.333333333333333,227
6.416666666666667,234
6.5,230
6.583333333333333,234
6.666666666666667,229
6.75,238
6.833333333333333,236
6.916666666666667,238
7,241
7.083333333333333,240
7.166666666666667,244
7.25,244
7.333333333333333,249
7.416666666666667,252
7.5,252
7.583333333333333,258
7.666666666666667,255
7.75,259
7.833333333333333,265
7.916666666666667,264
8,268
8.083333333333334,273
8.166666666666666,268
8.25,270
8.333333333333334,274
8.416666666666666,275
8.5,278
8.583333333333334,280
8.666666666666666,278
8.75,277
8.833333333333334,282
8.916666666666666,282
9,290
9.083333333333334,289
9.166666666666666,295
9.25,293
9.333333333333334,299
9.416666666666666,299
9.5,296
9.583333333333334,298
9.666666666666666,304
9.75,300
9.833333333333334,304
9.916666666666666,309
10,309
10.083333333333334,307
10.166666666666666,312
10.25,317
10.333333333333334,314
10.416666666666666,317
10.5,316
10.583333333333334,319
10.666666666666666,324
10.75,323
10.833333333333334,330
10.916666666666666,329
11,331
11.083333333333334,335
11.166666666666666,342
11.25,336
11.333333333333334,336
11.416666666666666,341
11.5,342
11.583333333333334,340
11.666666666666666,342
11.75,343
11.833333333333334,348
11.916666666666666,350
12,352
12.083333333333334,348
12.166666666666666,352
12.25,349
12.333333333333334,351
12.416666666666666,352
12.5,348
12.583333333333334,351
12.666666666666666,357
12.75,349
12.833333333333334,355
12.916666666666666,356
13,355
