"Hours since thread went live","Blue Archive The Animation - Episode 5 discussion"
17.416666666666668,138
17.5,138
17.583333333333332,138
17.666666666666668,135
17.75,137
17.833333333333332,138
17.916666666666668,140
18,141
18.083333333333332,143
18.166666666666668,144
18.25,144
18.333333333333332,145
18.416666666666668,144
18.5,148
18.583333333333332,145
18.666666666666668,150
18.75,144
18.833333333333332,146
18.916666666666668,147
19,146
19.083333333333332,149
19.166666666666668,150
19.25,150
19.333333333333332,145
19.416666666666668,152
19.5,151
19.583333333333332,147
19.666666666666668,148
19.75,145
19.833333333333332,147
19.916666666666668,151
20,152
20.083333333333332,149
20.166666666666668,151
20.25,148
20.333333333333332,149
20.416666666666668,149
20.5,148
20.583333333333332,151
20.666666666666668,152
20.75,153
20.833333333333332,152
20.916666666666668,155
21,155
21.083333333333332,156
21.166666666666668,153
21.25,156
21.333333333333332,155
21.416666666666668,153
21.5,154
21.583333333333332,156
21.666666666666668,158
21.75,158
21.833333333333332,154
21.916666666666668,158
22,154
22.083333333333332,158
22.166666666666668,156
22.25,160
22.333333333333332,160
22.416666666666668,160
22.5,158
22.583333333333332,156
22.666666666666668,157
22.75,158
22.833333333333332,155
22.916666666666668,160
23,157
23.083333333333332,162
23.166666666666668,157
23.25,162
23.333333333333332,157
23.416666666666668,158
23.5,160
23.583333333333332,163
23.666666666666668,161
23.75,165
23.833333333333332,160
23.916666666666668,162
24,164
24.083333333333332,167
24.166666666666668,161
24.25,167
24.333333333333332,160
24.416666666666668,165
24.5,167
24.583333333333332,164
24.666666666666668,164
24.75,164
24.833333333333332,164
24.916666666666668,171
25,166
25.083333333333332,168
25.166666666666668,165
25.25,166
25.333333333333332,168
25.416666666666668,163
25.5,170
25.583333333333332,167
25.666666666666668,170
25.75,168
25.833333333333332,167
25.916666666666668,169
26,168
26.083333333333332,168
26.166666666666668,167
26.25,169
26.333333333333332,168
26.416666666666668,168
26.5,167
26.583333333333332,168
26.666666666666668,165
26.75,172
26.833333333333332,169
26.916666666666668,168
27,169
27.083333333333332,170
27.166666666666668,165
27.25,167
27.333333333333332,171
27.416666666666668,171
27.5,173
27.583333333333332,168
27.666666666666668,169
27.75,170
27.833333333333332,170
27.916666666666668,173
28,170
28.083333333333332,171
28.166666666666668,172
28.25,173
28.333333333333332,170
28.416666666666668,166
28.5,170
28.583333333333332,168
28.666666666666668,172
28.75,168
28.833333333333332,168
28.916666666666668,169
29,171
29.083333333333332,170
29.166666666666668,169
29.25,169
29.333333333333332,170
29.416666666666668,169
29.5,171
29.583333333333332,168
29.666666666666668,166
29.75,170
29.833333333333332,169
29.916666666666668,170
30,168
30.083333333333332,172
30.166666666666668,166
30.25,168
30.333333333333332,171
30.416666666666668,172
30.5,169
30.583333333333332,167
30.666666666666668,171
30.75,173
30.833333333333332,167
30.916666666666668,171
31,172
31.083333333333332,173
31.166666666666668,172
31.25,173
31.333333333333332,174
31.416666666666668,175
31.5,174
31.583333333333332,169
31.666666666666668,170
31.75,171
31.833333333333332,169
31.916666666666668,172
32,172
32.083333333333336,169
32.166666666666664,169
32.25,172
32.333333333333336,170
32.416666666666664,172
32.5,176
32.583333333333336,178
32.666666666666664,173
32.75,171
32.833333333333336,176
32.916666666666664,177
33,174
33.083333333333336,173
33.166666666666664,176
33.25,174
33.333333333333336,177
33.416666666666664,175
33.5,177
33.583333333333336,178
33.666666666666664,172
33.75,173
33.833333333333336,178
33.916666666666664,172
34,174
34.083333333333336,177
34.166666666666664,175
34.25,175
34.333333333333336,178
34.416666666666664,173
34.5,175
34.583333333333336,172
34.666666666666664,171
34.75,174
34.833333333333336,178
34.916666666666664,173
35,172
35.083333333333336,177
35.166666666666664,178
35.25,178
35.333333333333336,173
35.416666666666664,176
35.5,175
35.583333333333336,177
35.666666666666664,176
35.75,177
35.833333333333336,175
35.916666666666664,177
36,176
36.083333333333336,176
36.166666666666664,180
36.25,175
36.333333333333336,178
36.416666666666664,176
36.5,177
36.583333333333336,176
36.666666666666664,178
36.75,178
36.833333333333336,177
36.916666666666664,177
37,176
37.083333333333336,178
37.166666666666664,177
37.25,178
37.333333333333336,176
37.416666666666664,175
37.5,176
37.583333333333336,176
37.666666666666664,179
37.75,176
37.833333333333336,179
37.916666666666664,178
38,177
38.083333333333336,176
38.166666666666664,177
38.25,180
38.333333333333336,176
38.416666666666664,178
38.5,178
38.583333333333336,178
38.666666666666664,176
38.75,179
38.833333333333336,173
38.916666666666664,178
39,179
39.083333333333336,176
39.166666666666664,176
39.25,176
39.333333333333336,178
39.416666666666664,181
39.5,177
39.583333333333336,177
39.666666666666664,177
39.75,175
39.833333333333336,174
39.916666666666664,179
40,179
40.083333333333336,175
40.166666666666664,179
40.25,181
40.333333333333336,175
40.416666666666664,179
40.5,177
40.583333333333336,178
40.666666666666664,177
40.75,181
40.833333333333336,178
40.916666666666664,183
41,180
41.083333333333336,182
41.166666666666664,182
41.25,178
41.333333333333336,178
41.416666666666664,176
41.5,181
41.583333333333336,178
41.666666666666664,179
41.75,182
41.833333333333336,182
41.916666666666664,181
42,177
42.083333333333336,177
42.166666666666664,176
42.25,180
42.333333333333336,182
42.416666666666664,178
