"Hours since thread went live","Sousou no Frieren • Frieren: Beyond Journey's End - Episode 6 discussion"
20.25,3844
20.333333333333332,3850
20.416666666666668,3858
20.5,3874
20.583333333333332,3883
20.666666666666668,3877
20.75,3886
20.833333333333332,3884
20.916666666666668,3882
21,3892
21.083333333333332,3896
21.166666666666668,3897
21.25,3898
21.333333333333332,3897
21.416666666666668,3902
21.5,3911
21.583333333333332,3909
21.666666666666668,3919
21.75,3918
21.833333333333332,3926
21.916666666666668,3927
22,3928
22.083333333333332,3935
22.166666666666668,3940
22.25,3950
22.333333333333332,3946
22.416666666666668,3949
22.5,3958
22.583333333333332,3957
22.666666666666668,3965
22.75,3959
22.833333333333332,3964
22.916666666666668,3968
23,3974
23.083333333333332,3982
23.166666666666668,3987
23.25,3985
23.333333333333332,3988
23.416666666666668,3995
23.5,3996
23.583333333333332,4005
23.666666666666668,4009
23.75,4012
23.833333333333332,4020
23.916666666666668,4032
24,4029
24.083333333333332,4043
24.166666666666668,4042
24.25,4055
24.333333333333332,4052
24.416666666666668,4051
24.5,4055
24.583333333333332,4068
24.666666666666668,4076
24.75,4076
24.833333333333332,4082
24.916666666666668,4085
25,4093
25.083333333333332,4095
25.166666666666668,4089
25.25,4103
25.333333333333332,4099
25.416666666666668,4110
25.5,4103
25.583333333333332,4109
25.666666666666668,4117
25.75,4121
25.833333333333332,4118
25.916666666666668,4124
26,4123
26.083333333333332,4132
26.166666666666668,4130
26.25,4138
26.333333333333332,4144
26.416666666666668,4146
26.5,4150
26.583333333333332,4153
26.666666666666668,4161
26.75,4152
26.833333333333332,4159
26.916666666666668,4159
27,4155
27.083333333333332,4163
27.166666666666668,4162
27.25,4167
27.333333333333332,4170
27.416666666666668,4176
27.5,4179
27.583333333333332,4177
27.666666666666668,4182
27.75,4181
27.833333333333332,4187
27.916666666666668,4188
28,4186
28.083333333333332,4193
28.166666666666668,4196
28.25,4189
28.333333333333332,4196
28.416666666666668,4195
28.5,4199
28.583333333333332,4202
28.666666666666668,4202
28.75,4204
28.833333333333332,4212
28.916666666666668,4209
29,4210
29.083333333333332,4213
29.166666666666668,4219
29.25,4216
29.333333333333332,4222
29.416666666666668,4235
29.5,4231
29.583333333333332,4232
29.666666666666668,4236
29.75,4238
29.833333333333332,4246
29.916666666666668,4248
30,4246
30.083333333333332,4247
30.166666666666668,4257
30.25,4263
30.333333333333332,4264
30.416666666666668,4266
30.5,4269
30.583333333333332,4277
30.666666666666668,4276
30.75,4283
30.833333333333332,4281
30.916666666666668,4277
31,4276
31.083333333333332,4279
31.166666666666668,4287
31.25,4283
31.333333333333332,4289
31.416666666666668,4291
31.5,4287
31.583333333333332,4295
31.666666666666668,4291
31.75,4296
31.833333333333332,4301
31.916666666666668,4305
32,4301
32.083333333333336,4300
32.166666666666664,4304
32.25,4307
32.333333333333336,4304
32.416666666666664,4305
32.5,4304
32.583333333333336,4306
32.666666666666664,4300
32.75,4302
32.833333333333336,4307
32.916666666666664,4311
33,4315
33.083333333333336,4311
33.166666666666664,4314
33.25,4320
33.333333333333336,4317
33.416666666666664,4318
33.5,4319
33.583333333333336,4324
33.666666666666664,4327
33.75,4326
33.833333333333336,4330
33.916666666666664,4345
34,4339
34.083333333333336,4339
34.166666666666664,4344
34.25,4348
34.333333333333336,4354
34.416666666666664,4352
34.5,4353
34.583333333333336,4348
34.666666666666664,4356
34.75,4353
34.833333333333336,4360
34.916666666666664,4363
35,4354
35.083333333333336,4368
35.166666666666664,4360
35.25,4363
35.333333333333336,4371
35.416666666666664,4362
35.5,4371
35.583333333333336,4368
35.666666666666664,4372
35.75,4373
35.833333333333336,4376
35.916666666666664,4375
36,4372
36.083333333333336,4372
36.166666666666664,4373
36.25,4369
36.333333333333336,4369
36.416666666666664,4384
36.5,4381
36.583333333333336,4378
36.666666666666664,4380
36.75,4383
36.833333333333336,4377
36.916666666666664,4386
37,4391
37.083333333333336,4386
37.166666666666664,4389
37.25,4386
37.333333333333336,4384
37.416666666666664,4393
37.5,4397
37.583333333333336,4396
37.666666666666664,4401
37.75,4402
37.833333333333336,4404
37.916666666666664,4399
38,4410
38.083333333333336,4407
38.166666666666664,4413
38.25,4409
38.333333333333336,4408
38.416666666666664,4417
38.5,4408
38.583333333333336,4418
38.666666666666664,4422
38.75,4423
38.833333333333336,4418
38.916666666666664,4422
39,4426
39.083333333333336,4420
39.166666666666664,4426
39.25,4418
39.333333333333336,4424
39.416666666666664,4422
39.5,4424
39.583333333333336,4430
39.666666666666664,4426
39.75,4431
39.833333333333336,4431
39.916666666666664,4428
40,4434
40.083333333333336,4431
40.166666666666664,4438
40.25,4436
40.333333333333336,4439
40.416666666666664,4434
40.5,4437
40.583333333333336,4429
40.666666666666664,4437
40.75,4438
40.833333333333336,4440
40.916666666666664,4440
41,4444
41.083333333333336,4442
41.166666666666664,4445
41.25,4442
41.333333333333336,4443
41.416666666666664,4438
41.5,4444
41.583333333333336,4449
41.666666666666664,4436
41.75,4444
41.833333333333336,4448
41.916666666666664,4441
42,4442
42.083333333333336,4444
42.166666666666664,4448
42.25,4443
42.333333333333336,4450
42.416666666666664,4449
42.5,4455
42.583333333333336,4449
42.666666666666664,4449
42.75,4450
42.833333333333336,4452
42.916666666666664,4452
43,4459
43.083333333333336,4459
43.166666666666664,4454
43.25,4457
43.333333333333336,4462
43.416666666666664,4463
43.5,4459
43.583333333333336,4463
43.666666666666664,4458
43.75,4460
43.833333333333336,4459
43.916666666666664,4457
44,4454
44.083333333333336,4460
44.166666666666664,4464
44.25,4459
44.333333333333336,4454
44.416666666666664,4463
44.5,4459
44.583333333333336,4464
44.666666666666664,4464
44.75,4470
44.833333333333336,4464
44.916666666666664,4467
45,4466
45.083333333333336,4470
45.166666666666664,4470
45.25,4477
45.333333333333336,4469
45.416666666666664,4473
45.5,4479
45.583333333333336,4471
45.666666666666664,4479
45.75,4478
45.833333333333336,4479
45.916666666666664,4478
46,4474
46.083333333333336,4484
46.166666666666664,4479
46.25,4477
46.333333333333336,4484
46.416666666666664,4484
46.5,4491
46.583333333333336,4478
46.666666666666664,4484
46.75,4485
46.833333333333336,4483
46.916666666666664,4480
47,4481
47.083333333333336,4490
47.166666666666664,4486
47.25,4493
47.333333333333336,4492
47.416666666666664,4489
47.5,4489
47.583333333333336,4483
47.666666666666664,4488
47.75,4492
47.833333333333336,4490
47.916666666666664,4485
