"Hours since thread went live","Hananoi-kun to Koi no Yamai • A Condition Called Love - Episode 3 discussion"
23.416666666666668,228
23.5,226
23.583333333333332,227
23.666666666666668,230
23.75,231
23.833333333333332,225
23.916666666666668,233
24,230
24.083333333333332,229
24.166666666666668,229
24.25,230
24.333333333333332,230
24.416666666666668,233
24.5,230
24.583333333333332,232
24.666666666666668,237
24.75,233
24.833333333333332,234
24.916666666666668,233
25,237
25.083333333333332,233
25.166666666666668,236
25.25,231
25.333333333333332,233
25.416666666666668,233
25.5,238
25.583333333333332,231
25.666666666666668,238
25.75,235
25.833333333333332,233
25.916666666666668,236
26,236
26.083333333333332,232
26.166666666666668,238
26.25,234
26.333333333333332,237
26.416666666666668,237
26.5,233
26.583333333333332,235
26.666666666666668,236
26.75,236
26.833333333333332,237
26.916666666666668,231
27,235
27.083333333333332,236
27.166666666666668,237
27.25,237
27.333333333333332,241
27.416666666666668,239
27.5,235
27.583333333333332,240
27.666666666666668,236
27.75,237
27.833333333333332,241
27.916666666666668,240
28,236
28.083333333333332,239
28.166666666666668,243
28.25,240
28.333333333333332,241
28.416666666666668,240
28.5,238
28.583333333333332,241
28.666666666666668,237
28.75,239
28.833333333333332,239
28.916666666666668,241
29,238
29.083333333333332,237
29.166666666666668,237
29.25,237
29.333333333333332,242
29.416666666666668,241
29.5,241
29.583333333333332,243
29.666666666666668,240
29.75,242
29.833333333333332,240
29.916666666666668,240
30,239
30.083333333333332,244
30.166666666666668,243
30.25,244
30.333333333333332,242
30.416666666666668,242
30.5,245
30.583333333333332,245
30.666666666666668,243
30.75,244
30.833333333333332,240
30.916666666666668,245
31,242
31.083333333333332,241
31.166666666666668,243
31.25,243
31.333333333333332,242
31.416666666666668,240
31.5,244
31.583333333333332,240
31.666666666666668,243
31.75,241
31.833333333333332,243
31.916666666666668,243
32,242
32.083333333333336,245
32.166666666666664,247
32.25,243
32.333333333333336,245
32.416666666666664,243
32.5,243
32.583333333333336,245
32.666666666666664,247
32.75,244
32.833333333333336,246
32.916666666666664,244
33,246
33.083333333333336,244
33.166666666666664,244
33.25,243
33.333333333333336,244
33.416666666666664,246
33.5,241
33.583333333333336,240
33.666666666666664,244
33.75,247
33.833333333333336,241
33.916666666666664,244
34,243
34.083333333333336,245
34.166666666666664,244
34.25,243
34.333333333333336,245
34.416666666666664,246
34.5,240
34.583333333333336,248
34.666666666666664,242
34.75,244
34.833333333333336,247
34.916666666666664,241
35,243
35.083333333333336,248
35.166666666666664,246
35.25,245
35.333333333333336,243
35.416666666666664,249
35.5,244
35.583333333333336,245
35.666666666666664,247
35.75,245
35.833333333333336,247
35.916666666666664,250
36,246
36.083333333333336,251
36.166666666666664,250
36.25,247
36.333333333333336,251
36.416666666666664,250
36.5,249
36.583333333333336,247
36.666666666666664,247
36.75,248
36.833333333333336,248
36.916666666666664,248
37,245
37.083333333333336,250
37.166666666666664,252
37.25,248
37.333333333333336,247
37.416666666666664,247
37.5,246
37.583333333333336,251
37.666666666666664,248
37.75,249
37.833333333333336,248
37.916666666666664,251
38,250
38.083333333333336,248
38.166666666666664,245
38.25,250
38.333333333333336,250
38.416666666666664,252
38.5,249
38.583333333333336,248
38.666666666666664,245
38.75,251
38.833333333333336,251
38.916666666666664,248
39,252
39.083333333333336,252
39.166666666666664,248
39.25,245
39.333333333333336,250
39.416666666666664,249
39.5,250
39.583333333333336,252
39.666666666666664,247
39.75,251
39.833333333333336,248
39.916666666666664,251
40,250
40.083333333333336,247
40.166666666666664,250
40.25,248
40.333333333333336,249
40.416666666666664,251
40.5,252
40.583333333333336,251
40.666666666666664,252
40.75,248
40.833333333333336,254
40.916666666666664,250
41,252
41.083333333333336,254
41.166666666666664,249
41.25,250
41.333333333333336,251
41.416666666666664,252
41.5,251
41.583333333333336,252
41.666666666666664,249
41.75,251
41.833333333333336,251
41.916666666666664,255
42,255
42.083333333333336,251
42.166666666666664,254
42.25,250
42.333333333333336,255
42.416666666666664,252
42.5,253
42.583333333333336,251
42.666666666666664,250
42.75,254
42.833333333333336,253
42.916666666666664,254
43,254
43.083333333333336,256
43.166666666666664,251
43.25,253
43.333333333333336,255
43.416666666666664,258
43.5,253
43.583333333333336,253
43.666666666666664,255
43.75,258
43.833333333333336,258
43.916666666666664,256
44,255
44.083333333333336,252
44.166666666666664,252
44.25,254
44.333333333333336,259
44.416666666666664,253
44.5,254
44.583333333333336,255
44.666666666666664,255
44.75,256
44.833333333333336,257
44.916666666666664,252
45,257
45.083333333333336,257
45.166666666666664,258
45.25,254
45.333333333333336,254
45.416666666666664,256
45.5,254
45.583333333333336,255
45.666666666666664,256
45.75,253
45.833333333333336,257
45.916666666666664,257
46,257
46.083333333333336,257
46.166666666666664,257
46.25,254
46.333333333333336,257
46.416666666666664,256
46.5,259
46.583333333333336,254
46.666666666666664,259
46.75,258
46.833333333333336,257
46.916666666666664,256
47,255
47.083333333333336,257
47.166666666666664,255
47.25,258
47.333333333333336,256
47.416666666666664,256
47.5,260
47.583333333333336,256
47.666666666666664,256
47.75,259
47.833333333333336,258
47.916666666666664,257
