"Hours since thread went live","Bartender: Kami no Glass • Bartender: Glass of God - Episode 6 discussion"
35.5,381
35.583333333333336,386
35.666666666666664,385
35.75,384
35.833333333333336,381
35.916666666666664,379
36,379
36.083333333333336,380
36.166666666666664,388
36.25,380
36.333333333333336,385
36.416666666666664,381
36.5,382
36.583333333333336,382
36.666666666666664,379
36.75,377
36.833333333333336,378
36.916666666666664,383
37,385
37.083333333333336,380
37.166666666666664,383
37.25,386
37.333333333333336,388
37.416666666666664,382
37.5,387
37.583333333333336,380
37.666666666666664,382
37.75,382
37.833333333333336,380
37.916666666666664,383
38,387
38.083333333333336,381
38.166666666666664,381
38.25,385
38.333333333333336,381
38.416666666666664,385
38.5,383
38.583333333333336,382
38.666666666666664,381
38.75,382
38.833333333333336,383
38.916666666666664,384
39,380
39.083333333333336,384
39.166666666666664,383
39.25,381
39.333333333333336,380
39.416666666666664,388
39.5,390
39.583333333333336,384
39.666666666666664,388
39.75,390
39.833333333333336,384
39.916666666666664,384
40,388
40.083333333333336,387
40.166666666666664,385
40.25,387
40.333333333333336,386
40.416666666666664,385
40.5,384
40.583333333333336,392
40.666666666666664,386
40.75,386
40.833333333333336,386
40.916666666666664,389
41,386
41.083333333333336,384
41.166666666666664,387
41.25,382
41.333333333333336,386
41.416666666666664,393
41.5,390
41.583333333333336,386
41.666666666666664,388
41.75,384
41.833333333333336,392
41.916666666666664,388
42,388
42.083333333333336,386
42.166666666666664,390
42.25,385
42.333333333333336,382
42.416666666666664,385
42.5,383
42.583333333333336,390
42.666666666666664,387
42.75,387
42.833333333333336,388
42.916666666666664,390
43,389
43.083333333333336,388
43.166666666666664,389
43.25,388
43.333333333333336,387
43.416666666666664,388
43.5,388
43.583333333333336,390
43.666666666666664,385
43.75,384
43.833333333333336,384
43.916666666666664,389
44,388
44.083333333333336,389
44.166666666666664,387
44.25,384
44.333333333333336,391
44.416666666666664,391
44.5,390
44.583333333333336,394
44.666666666666664,385
44.75,390
44.833333333333336,389
44.916666666666664,384
45,386
45.083333333333336,391
45.166666666666664,389
45.25,392
45.333333333333336,386
45.416666666666664,389
45.5,391
45.583333333333336,389
45.666666666666664,388
45.75,386
45.833333333333336,391
45.916666666666664,393
46,393
46.083333333333336,388
46.166666666666664,392
46.25,387
46.333333333333336,385
46.416666666666664,385
46.5,395
46.583333333333336,394
46.666666666666664,387
46.75,391
46.833333333333336,393
46.916666666666664,390
47,397
47.083333333333336,395
