"Hours since thread went live","Kaguya-sama wa Kokurasetai: Ultra Romantic - Episode 12 discussion - FINAL"
17.083333333333332,10864
17.166666666666668,10879
17.25,10896
17.333333333333332,10906
17.416666666666668,10937
17.5,10944
17.583333333333332,10954
17.666666666666668,10969
17.75,10983
17.833333333333332,11000
17.916666666666668,11013
18,11020
18.083333333333332,11044
18.166666666666668,11057
18.25,11077
18.333333333333332,11091
18.416666666666668,11116
18.5,11124
18.583333333333332,11142
18.666666666666668,11154
18.75,11177
18.833333333333332,11188
18.916666666666668,11223
19,11232
19.083333333333332,11250
19.166666666666668,11256
19.25,11264
19.333333333333332,11266
19.416666666666668,11295
19.5,11307
19.583333333333332,11325
19.666666666666668,11337
19.75,11352
19.833333333333332,11358
19.916666666666668,11372
20,11378
20.083333333333332,11401
20.166666666666668,11407
20.25,11418
20.333333333333332,11428
20.416666666666668,11433
20.5,11445
20.583333333333332,11458
20.666666666666668,11467
20.75,11480
20.833333333333332,11490
20.916666666666668,11504
21,11505
21.083333333333332,11516
21.166666666666668,11526
21.25,11552
21.333333333333332,11550
21.416666666666668,11553
21.5,11575
21.583333333333332,11589
21.666666666666668,11603
21.75,11614
21.833333333333332,11623
21.916666666666668,11639
22,11642
22.083333333333332,11644
22.166666666666668,11657
22.25,11677
22.333333333333332,11681
22.416666666666668,11692
22.5,11698
22.583333333333332,11711
22.666666666666668,11720
22.75,11737
22.833333333333332,11743
22.916666666666668,11758
23,11759
23.083333333333332,11769
23.166666666666668,11791
23.25,11801
23.333333333333332,11800
23.416666666666668,11822
23.5,11820
23.583333333333332,11835
23.666666666666668,11852
23.75,11867
23.833333333333332,11872
23.916666666666668,11883
24,11889
24.083333333333332,11899
24.166666666666668,11916
24.25,11917
24.333333333333332,11927
24.416666666666668,11934
24.5,11940
24.583333333333332,11959
24.666666666666668,11962
24.75,11962
24.833333333333332,11971
24.916666666666668,11974
25,11993
25.083333333333332,12001
25.166666666666668,11999
25.25,12011
25.333333333333332,12027
25.416666666666668,12029
25.5,12037
25.583333333333332,12055
25.666666666666668,12051
25.75,12060
25.833333333333332,12067
25.916666666666668,12081
26,12093
26.083333333333332,12097
26.166666666666668,12099
26.25,12103
26.333333333333332,12113
26.416666666666668,12117
26.5,12127
26.583333333333332,12139
26.666666666666668,12138
26.75,12149
26.833333333333332,12161
26.916666666666668,12156
27,12169
27.083333333333332,12173
27.166666666666668,12185
27.25,12193
27.333333333333332,12191
27.416666666666668,12211
27.5,12217
27.583333333333332,12226
27.666666666666668,12224
27.75,12231
27.833333333333332,12245
27.916666666666668,12248
28,12252
28.083333333333332,12259
28.166666666666668,12260
28.25,12259
28.333333333333332,12270
28.416666666666668,12279
28.5,12276
28.583333333333332,12283
28.666666666666668,12290
28.75,12291
28.833333333333332,12301
28.916666666666668,12306
29,12309
29.083333333333332,12313
29.166666666666668,12321
29.25,12331
29.333333333333332,12335
29.416666666666668,12336
29.5,12338
29.583333333333332,12345
29.666666666666668,12349
29.75,12349
29.833333333333332,12360
29.916666666666668,12362
30,12370
30.083333333333332,12382
30.166666666666668,12380
30.25,12386
30.333333333333332,12389
30.416666666666668,12401
30.5,12404
30.583333333333332,12410
30.666666666666668,12406
30.75,12408
30.833333333333332,12411
30.916666666666668,12430
31,12432
31.083333333333332,12437
31.166666666666668,12434
31.25,12445
31.333333333333332,12441
31.416666666666668,12449
31.5,12449
31.583333333333332,12458
31.666666666666668,12461
31.75,12459
31.833333333333332,12466
31.916666666666668,12469
32,12475
32.083333333333336,12477
32.166666666666664,12479
32.25,12483
32.333333333333336,12490
32.416666666666664,12499
32.5,12497
32.583333333333336,12497
32.666666666666664,12503
32.75,12504
32.833333333333336,12508
32.916666666666664,12510
33,12510
33.083333333333336,12520
33.166666666666664,12520
33.25,12521
33.333333333333336,12533
33.416666666666664,12537
33.5,12534
33.583333333333336,12534
33.666666666666664,12548
33.75,12545
33.833333333333336,12556
33.916666666666664,12553
34,12558
34.083333333333336,12556
34.166666666666664,12563
34.25,12565
34.333333333333336,12563
34.416666666666664,12570
34.5,12573
34.583333333333336,12577
34.666666666666664,12591
34.75,12588
34.833333333333336,12594
34.916666666666664,12590
35,12601
35.083333333333336,12609
35.166666666666664,12618
35.25,12620
35.333333333333336,12624
35.416666666666664,12624
35.5,12630
35.583333333333336,12631
35.666666666666664,12635
35.75,12643
35.833333333333336,12653
35.916666666666664,12647
36,12658
36.083333333333336,12660
36.166666666666664,12662
36.25,12659
36.333333333333336,12664
36.416666666666664,12663
36.5,12676
36.583333333333336,12677
36.666666666666664,12683
36.75,12688
36.833333333333336,12687
36.916666666666664,12686
37,12684
37.083333333333336,12697
37.166666666666664,12700
37.25,12704
37.333333333333336,12700
37.416666666666664,12709
37.5,12708
37.583333333333336,12709
37.666666666666664,12711
37.75,12721
37.833333333333336,12718
37.916666666666664,12722
38,12726
38.083333333333336,12729
38.166666666666664,12734
38.25,12738
38.333333333333336,12734
38.416666666666664,12743
38.5,12738
38.583333333333336,12753
38.666666666666664,12751
38.75,12750
38.833333333333336,12749
38.916666666666664,12753
39,12747
39.083333333333336,12751
39.166666666666664,12761
39.25,12769
39.333333333333336,12759
39.416666666666664,12769
39.5,12772
39.583333333333336,12774
39.666666666666664,12785
39.75,12781
39.833333333333336,12792
39.916666666666664,12782
40,12786
40.083333333333336,12788
40.166666666666664,12794
40.25,12794
40.333333333333336,12801
40.416666666666664,12806
40.5,12813
40.583333333333336,12811
40.666666666666664,12812
40.75,12813
40.833333333333336,12809
40.916666666666664,12815
41,12825
41.083333333333336,12826
41.166666666666664,12833
41.25,12833
41.333333333333336,12829
41.416666666666664,12831
41.5,12826
41.583333333333336,12833
41.666666666666664,12838
41.75,12838
41.833333333333336,12849
41.916666666666664,12844
42,12838
42.083333333333336,12843
42.166666666666664,12852
42.25,12855
42.333333333333336,12846
42.416666666666664,12849
42.5,12849
42.583333333333336,12857
42.666666666666664,12853
42.75,12859
42.833333333333336,12859
42.916666666666664,12864
43,12865
43.083333333333336,12860
43.166666666666664,12870
43.25,12870
43.333333333333336,12874
43.416666666666664,12874
43.5,12878
43.583333333333336,12873
43.666666666666664,12881
43.75,12878
43.833333333333336,12877
43.916666666666664,12886
44,12885
44.083333333333336,12895
44.166666666666664,12891
44.25,12888
44.333333333333336,12888
44.416666666666664,12895
44.5,12899
44.583333333333336,12901
44.666666666666664,12895
44.75,12903
44.833333333333336,12908
44.916666666666664,12907
45,12907
45.083333333333336,12906
45.166666666666664,12912
45.25,12919
45.333333333333336,12916
45.416666666666664,12925
45.5,12934
45.583333333333336,12933
45.666666666666664,12938
45.75,12945
45.833333333333336,12944
45.916666666666664,12947
46,12942
46.083333333333336,12946
46.166666666666664,12955
46.25,12952
46.333333333333336,12958
46.416666666666664,12955
46.5,12964
46.583333333333336,12965
46.666666666666664,12960
46.75,12969
46.833333333333336,12968
46.916666666666664,12972
47,12969
47.083333333333336,12981
47.166666666666664,12979
47.25,12992
47.333333333333336,12979
47.416666666666664,12990
47.5,12995
47.583333333333336,12997
47.666666666666664,12995
47.75,12999
47.833333333333336,13003
47.916666666666664,13008
