"Hours since thread went live","Kaguya-sama wa Kokurasetai: Ultra Romantic - Episode 12 discussion - FINAL"
0,1
0,23
0.08333333333333333,234
0.16666666666666666,356
0.25,473
0.3333333333333333,576
0.4166666666666667,700
0.5,825
0.5833333333333334,961
0.6666666666666666,1077
0.75,1193
0.8333333333333334,1349
0.9166666666666666,1518
1,1719
1.0833333333333333,1890
1.1666666666666667,2049
1.25,2195
1.3333333333333333,2335
1.4166666666666667,2460
1.5,2571
1.5833333333333333,2722
1.6666666666666667,2847
1.75,2957
1.8333333333333333,3085
1.9166666666666667,3201
2,3312
2.0833333333333335,3443
2.1666666666666665,3551
2.25,3679
2.3333333333333335,3787
2.4166666666666665,3886
2.5,3997
2.5833333333333335,4075
2.6666666666666665,4179
2.75,4258
2.8333333333333335,4334
2.9166666666666665,4418
3,4504
3.0833333333333335,4590
3.1666666666666665,4674
3.25,4753
3.3333333333333335,4822
3.4166666666666665,4893
3.5,4978
3.5833333333333335,5049
3.6666666666666665,5125
3.75,5209
3.8333333333333335,5277
3.9166666666666665,5345
4,5415
4.083333333333333,5500
4.166666666666667,5563
4.25,5614
4.333333333333333,5682
4.416666666666667,5728
4.5,5789
4.583333333333333,5851
4.666666666666667,5902
4.75,5973
4.833333333333333,6016
4.916666666666667,6082
5,6138
5.083333333333333,6199
5.166666666666667,6250
5.333333333333333,6359
5.416666666666667,6409
5.5,6450
5.583333333333333,6513
5.666666666666667,6561
5.75,6616
5.833333333333333,6686
5.916666666666667,6737
6,6783
6.083333333333333,6832
6.166666666666667,6890
6.25,6955
6.333333333333333,6978
6.416666666666667,7034
6.5,7079
6.583333333333333,7136
6.666666666666667,7194
6.75,7238
6.833333333333333,7283
6.916666666666667,7336
7,7382
7.083333333333333,7416
7.166666666666667,7463
7.25,7496
7.333333333333333,7531
7.416666666666667,7575
7.5,7621
7.583333333333333,7665
7.666666666666667,7715
7.75,7760
7.833333333333333,7809
7.916666666666667,7850
8,7883
8.083333333333334,7923
8.166666666666666,7966
8.25,8014
8.333333333333334,8051
8.416666666666666,8097
8.5,8131
8.583333333333334,8181
8.666666666666666,8212
8.75,8252
8.833333333333334,8282
8.916666666666666,8310
9,8351
9.083333333333334,8378
9.166666666666666,8422
9.25,8458
9.333333333333334,8495
9.416666666666666,8525
9.5,8564
9.583333333333334,8589
9.666666666666666,8625
9.75,8658
9.833333333333334,8686
9.916666666666666,8715
10,8738
10.083333333333334,8760
10.166666666666666,8796
10.25,8833
10.333333333333334,8868
10.416666666666666,8901
10.5,8928
10.583333333333334,8961
10.666666666666666,8997
10.75,9035
10.833333333333334,9062
10.916666666666666,9094
11,9125
11.083333333333334,9162
11.166666666666666,9189
11.25,9223
11.333333333333334,9242
11.416666666666666,9275
11.5,9303
11.583333333333334,9330
11.666666666666666,9355
11.75,9386
11.833333333333334,9416
11.916666666666666,9465
12,9479
12.083333333333334,9490
12.166666666666666,9536
12.25,9572
12.333333333333334,9598
12.416666666666666,9622
12.5,9646
12.583333333333334,9667
12.666666666666666,9705
12.75,9728
12.833333333333334,9763
12.916666666666666,9785
13,9817
13.083333333333334,9837
13.166666666666666,9864
13.25,9893
13.333333333333334,9926
13.416666666666666,9955
13.5,9977
13.583333333333334,9999
13.666666666666666,10029
13.75,10050
13.833333333333334,10068
13.916666666666666,10097
14,10127
14.083333333333334,10145
14.166666666666666,10170
14.25,10194
14.333333333333334,10220
14.416666666666666,10234
14.5,10267
14.583333333333334,10298
14.666666666666666,10313
14.75,10344
14.833333333333334,10350
14.916666666666666,10376
15,10391
15.083333333333334,10411
15.166666666666666,10433
15.25,10453
15.333333333333334,10475
15.416666666666666,10496
15.5,10515
15.583333333333334,10534
15.666666666666666,10554
15.75,10578
15.833333333333334,10611
15.916666666666666,10646
16,10655
16.083333333333332,10667
16.166666666666668,10683
16.25,10702
16.333333333333332,10708
16.416666666666668,10725
16.5,10736
16.583333333333332,10751
16.666666666666668,10779
16.75,10798
16.833333333333332,10818
16.916666666666668,10828
17,10847
