"Hours since thread went live","Jiisan Baasan Wakagaeru • Grandpa and Grandma Turn Young Again - Episode 3 discussion"
0,0
0.08333333333333333,0
0.16666666666666666,0
0.25,0
0.3333333333333333,2
0.4166666666666667,4
0.5,4
0.5833333333333334,5
0.6666666666666666,7
0.75,10
0.8333333333333334,10
0.9166666666666666,11
1,12
1.0833333333333333,14
1.1666666666666667,15
1.25,20
1.3333333333333333,21
1.4166666666666667,21
1.5,22
1.5833333333333333,25
1.6666666666666667,28
1.75,28
1.8333333333333333,31
1.9166666666666667,37
2,38
2.0833333333333335,40
2.1666666666666665,44
2.25,47
2.3333333333333335,49
2.4166666666666665,53
2.5,51
2.5833333333333335,56
2.6666666666666665,56
2.75,58
2.8333333333333335,67
2.9166666666666665,71
3,67
3.0833333333333335,73
3.1666666666666665,72
3.25,75
3.3333333333333335,77
3.4166666666666665,78
3.5,81
3.5833333333333335,83
3.6666666666666665,83
3.75,83
3.8333333333333335,84
3.9166666666666665,82
4,84
4.083333333333333,87
4.166666666666667,85
4.25,89
4.333333333333333,91
4.416666666666667,93
4.5,98
4.583333333333333,102
4.666666666666667,105
4.75,107
4.833333333333333,112
4.916666666666667,112
5,115
5.083333333333333,118
5.166666666666667,122
5.25,121
5.333333333333333,126
5.416666666666667,123
5.5,124
5.583333333333333,124
5.666666666666667,128
5.75,133
5.833333333333333,129
5.916666666666667,130
6,135
6.083333333333333,130
6.166666666666667,134
6.25,134
6.333333333333333,138
6.416666666666667,138
6.5,131
6.583333333333333,135
6.666666666666667,139
6.75,136
6.833333333333333,139
6.916666666666667,144
7,148
7.083333333333333,148
7.166666666666667,147
7.333333333333333,141
7.416666666666667,148
7.5,147
7.583333333333333,146
7.666666666666667,147
7.75,149
7.833333333333333,154
7.916666666666667,147
8,154
8.083333333333334,154
8.166666666666666,155
8.25,160
8.333333333333334,161
8.416666666666666,157
8.5,161
8.583333333333334,161
8.666666666666666,162
8.75,164
8.833333333333334,166
8.916666666666666,167
9,171
9.083333333333334,170
9.166666666666666,170
9.25,173
9.333333333333334,170
9.416666666666666,176
9.5,172
9.583333333333334,173
9.666666666666666,178
9.75,179
9.833333333333334,183
9.916666666666666,178
10,181
10.083333333333334,181
10.166666666666666,181
10.25,180
10.333333333333334,186
10.416666666666666,188
10.5,184
10.583333333333334,185
10.666666666666666,188
10.75,190
10.833333333333334,194
10.916666666666666,193
11,194
11.083333333333334,196
11.166666666666666,195
11.25,193
11.333333333333334,197
11.416666666666666,198
11.5,202
11.583333333333334,199
11.666666666666666,203
11.75,206
11.833333333333334,207
11.916666666666666,207
12,209
12.083333333333334,208
12.166666666666666,213
12.25,215
12.333333333333334,213
12.416666666666666,216
12.5,215
12.583333333333334,220
12.666666666666666,216
12.75,220
12.833333333333334,222
12.916666666666666,220
13,219
13.083333333333334,222
13.166666666666666,220
13.25,222
13.333333333333334,223
13.416666666666666,225
13.5,223
13.583333333333334,226
13.666666666666666,223
13.75,226
13.833333333333334,226
13.916666666666666,224
14,226
14.083333333333334,227
14.166666666666666,230
14.25,226
14.333333333333334,224
14.416666666666666,226
14.5,231
14.583333333333334,229
14.666666666666666,233
14.75,231
14.833333333333334,234
14.916666666666666,234
15,235
15.083333333333334,239
15.166666666666666,238
15.25,236
15.333333333333334,239
15.416666666666666,234
15.5,238
15.583333333333334,240
15.666666666666666,242
15.75,242
15.833333333333334,244
15.916666666666666,242
16,243
16.083333333333332,244
16.166666666666668,243
16.25,244
16.333333333333332,245
16.416666666666668,243
16.5,242
16.583333333333332,242
16.666666666666668,246
16.75,242
16.833333333333332,246
16.916666666666668,248
17,248
17.083333333333332,251
17.166666666666668,251
17.25,245
17.333333333333332,249
17.416666666666668,246
17.5,247
17.583333333333332,250
17.666666666666668,248
17.75,248
17.833333333333332,248
17.916666666666668,249
18,248
18.083333333333332,249
18.166666666666668,249
18.25,248
18.333333333333332,253
18.416666666666668,254
18.5,253
18.583333333333332,254
18.666666666666668,254
18.75,253
18.833333333333332,254
18.916666666666668,251
19,252
19.083333333333332,252
19.166666666666668,254
19.25,256
19.333333333333332,256
19.416666666666668,252
19.5,249
19.583333333333332,258
19.666666666666668,256
19.75,257
19.833333333333332,257
19.916666666666668,260
20,258
20.083333333333332,257
20.166666666666668,260
20.25,257
20.333333333333332,263
20.416666666666668,264
20.5,261
20.583333333333332,260
20.666666666666668,260
20.75,260
20.833333333333332,262
20.916666666666668,263
21,258
21.083333333333332,262
21.166666666666668,261
21.25,265
21.333333333333332,269
21.416666666666668,262
21.5,265
21.583333333333332,265
21.666666666666668,267
21.75,265
21.833333333333332,264
21.916666666666668,265
22,269
22.083333333333332,263
22.166666666666668,268
22.25,270
22.333333333333332,269
22.416666666666668,267
22.5,267
22.583333333333332,273
22.666666666666668,267
22.75,268
22.833333333333332,265
22.916666666666668,267
23,273
23.083333333333332,273
23.166666666666668,272
23.25,272
23.333333333333332,274
23.416666666666668,270
23.5,270
23.583333333333332,268
23.666666666666668,275
23.75,270
23.833333333333332,274
23.916666666666668,272
24,273
24.083333333333332,273
24.166666666666668,271
24.25,277
24.333333333333332,274
24.416666666666668,276
24.5,276
24.583333333333332,280
24.666666666666668,276
24.75,281
24.833333333333332,280
24.916666666666668,281
25,278
25.083333333333332,278
25.166666666666668,280
25.25,281
25.333333333333332,284
25.416666666666668,279
25.5,282
25.583333333333332,281
25.666666666666668,279
25.75,279
25.833333333333332,281
25.916666666666668,281
26,276
26.083333333333332,279
26.166666666666668,279
26.25,281
26.333333333333332,282
26.416666666666668,283
26.5,279
26.583333333333332,281
26.666666666666668,280
26.75,281
26.833333333333332,281
26.916666666666668,285
27,282
27.083333333333332,283
27.166666666666668,280
27.25,282
27.333333333333332,281
27.416666666666668,284
27.5,286
27.583333333333332,283
27.666666666666668,282
27.75,284
27.833333333333332,282
27.916666666666668,285
28,284
28.083333333333332,286
28.166666666666668,284
28.25,286
28.333333333333332,286
28.416666666666668,283
28.5,282
28.583333333333332,284
28.666666666666668,282
28.75,280
28.833333333333332,284
28.916666666666668,282
29,284
29.083333333333332,283
29.166666666666668,286
29.25,283
29.333333333333332,282
29.416666666666668,284
29.5,283
29.583333333333332,281
29.666666666666668,282
29.75,287
30.416666666666668,281
30.5,284
30.583333333333332,285
30.666666666666668,287
30.75,287
30.833333333333332,288
30.916666666666668,286
31,283
31.083333333333332,283
31.166666666666668,287
31.25,287
31.333333333333332,288
