"Hours since thread went live","Mobile Suit Gundam: Suisei no Majo Season 2 • Mobile Suit Gundam: The Witch from Mercury Season 2 - Episode 12 discussion - FINAL"
0,9
0,16
0.08333333333333333,44
0.16666666666666666,64
0.25,77
0.3333333333333333,101
0.4166666666666667,127
0.5,147
0.5833333333333334,173
0.6666666666666666,191
0.75,221
0.8333333333333334,245
0.9166666666666666,274
1,291
1.0833333333333333,317
1.1666666666666667,347
1.25,364
1.3333333333333333,391
1.4166666666666667,417
1.5,438
1.5833333333333333,454
1.6666666666666667,479
1.75,506
1.8333333333333333,522
1.9166666666666667,542
2,551
2.0833333333333335,578
2.1666666666666665,593
2.25,611
2.3333333333333335,630
2.4166666666666665,652
2.5,668
2.5833333333333335,695
2.6666666666666665,720
2.75,738
2.8333333333333335,756
2.9166666666666665,781
3,799
3.0833333333333335,814
3.1666666666666665,823
3.25,843
3.3333333333333335,874
3.4166666666666665,890
3.5,911
3.5833333333333335,924
3.6666666666666665,938
3.75,961
3.8333333333333335,983
3.9166666666666665,988
4,1018
4.083333333333333,1040
4.166666666666667,1071
4.25,1096
4.333333333333333,1109
4.416666666666667,1130
4.5,1154
4.583333333333333,1165
4.666666666666667,1178
4.75,1202
4.833333333333333,1228
4.916666666666667,1248
5,1267
5.083333333333333,1295
5.166666666666667,1298
5.25,1313
5.333333333333333,1342
5.416666666666667,1372
5.5,1391
5.583333333333333,1405
5.666666666666667,1422
5.75,1433
5.833333333333333,1442
5.916666666666667,1475
6,1501
6.083333333333333,1513
6.166666666666667,1529
6.25,1558
6.333333333333333,1574
6.416666666666667,1594
6.5,1606
6.583333333333333,1623
6.666666666666667,1634
6.75,1654
6.833333333333333,1678
6.916666666666667,1689
7,1707
7.083333333333333,1731
7.166666666666667,1747
7.25,1762
7.333333333333333,1778
7.416666666666667,1796
7.5,1801
7.583333333333333,1818
7.666666666666667,1819
7.75,1834
7.833333333333333,1844
7.916666666666667,1857
8,1863
8.083333333333334,1873
8.166666666666666,1884
8.25,1899
8.333333333333334,1908
8.416666666666666,1927
8.5,1941
8.583333333333334,1945
8.666666666666666,1959
8.75,1980
8.833333333333334,1989
8.916666666666666,2008
9,2017
9.083333333333334,2029
9.166666666666666,2036
9.25,2034
9.333333333333334,2052
9.416666666666666,2061
9.5,2068
9.583333333333334,2072
9.666666666666666,2076
9.75,2091
9.833333333333334,2099
9.916666666666666,2103
10,2112
10.083333333333334,2126
10.166666666666666,2129
10.25,2141
10.333333333333334,2149
10.416666666666666,2155
10.5,2163
10.583333333333334,2174
10.666666666666666,2189
10.75,2190
10.833333333333334,2196
10.916666666666666,2203
11,2211
11.083333333333334,2220
11.166666666666666,2221
11.25,2229
11.333333333333334,2232
11.416666666666666,2248
11.5,2244
11.583333333333334,2264
11.666666666666666,2263
11.75,2275
11.833333333333334,2278
11.916666666666666,2280
12,2292
12.083333333333334,2300
12.166666666666666,2302
12.25,2314
12.333333333333334,2307
12.416666666666666,2320
12.5,2324
12.583333333333334,2331
12.666666666666666,2336
12.75,2337
12.833333333333334,2343
12.916666666666666,2353
13,2348
13.083333333333334,2357
13.166666666666666,2360
13.25,2364
13.333333333333334,2364
13.416666666666666,2376
13.5,2378
13.583333333333334,2384
13.666666666666666,2385
13.75,2388
13.833333333333334,2400
