"Hours since thread went live","Oshi no Ko - Episode 10 discussion"
0,6
0,14
0.08333333333333333,35
0.16666666666666666,59
0.25,80
0.3333333333333333,121
0.4166666666666667,156
0.5,195
0.5833333333333334,242
0.6666666666666666,274
0.75,320
0.8333333333333334,370
0.9166666666666666,408
1,466
1.0833333333333333,519
1.1666666666666667,561
1.25,624
1.3333333333333333,660
1.4166666666666667,710
1.5,752
1.5833333333333333,787
1.6666666666666667,843
1.75,889
1.8333333333333333,940
1.9166666666666667,980
2,1010
2.0833333333333335,1049
2.1666666666666665,1064
2.25,1103
2.3333333333333335,1134
2.4166666666666665,1166
2.5,1208
2.5833333333333335,1254
2.6666666666666665,1286
2.75,1334
2.8333333333333335,1360
2.9166666666666665,1387
3,1417
3.0833333333333335,1446
3.1666666666666665,1490
3.25,1511
3.3333333333333335,1540
3.4166666666666665,1565
3.5,1593
3.5833333333333335,1627
3.6666666666666665,1653
3.75,1671
3.8333333333333335,1699
3.9166666666666665,1718
4,1728
4.083333333333333,1741
4.166666666666667,1765
4.25,1795
4.333333333333333,1816
4.416666666666667,1833
4.5,1854
4.583333333333333,1873
4.666666666666667,1893
4.75,1919
4.833333333333333,1927
4.916666666666667,1948
5,1971
5.083333333333333,1993
5.166666666666667,2008
5.25,2016
5.333333333333333,2036
5.416666666666667,2063
5.5,2072
5.583333333333333,2084
5.666666666666667,2104
5.75,2116
5.833333333333333,2132
5.916666666666667,2146
6,2161
6.083333333333333,2178
6.166666666666667,2186
6.25,2205
6.333333333333333,2220
6.416666666666667,2229
6.5,2243
6.583333333333333,2256
6.666666666666667,2274
6.75,2290
6.833333333333333,2308
6.916666666666667,2316
7,2332
7.083333333333333,2354
7.166666666666667,2366
7.25,2378
7.333333333333333,2390
7.416666666666667,2397
7.5,2401
7.583333333333333,2416
7.666666666666667,2428
7.75,2442
7.833333333333333,2460
7.916666666666667,2472
8,2481
8.083333333333334,2494
8.166666666666666,2512
8.25,2519
8.333333333333334,2537
8.416666666666666,2546
8.5,2560
8.583333333333334,2580
8.666666666666666,2585
8.75,2591
8.833333333333334,2608
8.916666666666666,2623
9,2632
9.083333333333334,2646
9.166666666666666,2655
9.25,2663
9.333333333333334,2679
9.416666666666666,2689
9.5,2702
9.583333333333334,2709
9.666666666666666,2721
9.75,2738
9.833333333333334,2749
9.916666666666666,2751
10,2767
10.083333333333334,2777
10.166666666666666,2788
10.25,2790
10.333333333333334,2805
10.416666666666666,2809
10.5,2821
10.583333333333334,2829
10.666666666666666,2842
10.75,2858
10.833333333333334,2872
10.916666666666666,2891
11,2896
11.083333333333334,2902
11.166666666666666,2923
11.25,2937
11.333333333333334,2946
11.416666666666666,2953
11.5,2962
11.583333333333334,2969
11.666666666666666,2978
11.75,2990
11.833333333333334,2996
11.916666666666666,3005
12,3023
12.083333333333334,3035
12.166666666666666,3045
12.25,3054
12.333333333333334,3059
12.416666666666666,3074
12.5,3085
12.583333333333334,3099
12.666666666666666,3102
12.75,3104
12.833333333333334,3119
12.916666666666666,3126
13,3131
13.083333333333334,3133
13.166666666666666,3148
13.25,3157
13.333333333333334,3167
13.416666666666666,3173
13.5,3178
13.583333333333334,3196
13.666666666666666,3199
13.75,3203
13.833333333333334,3218
13.916666666666666,3232
14,3240
14.083333333333334,3240
14.166666666666666,3251
14.25,3252
14.333333333333334,3260
14.416666666666666,3259
14.5,3277
14.583333333333334,3289
14.666666666666666,3294
14.75,3310
14.833333333333334,3311
14.916666666666666,3320
15,3326
15.083333333333334,3338
15.166666666666666,3346
15.25,3352
15.333333333333334,3365
15.416666666666666,3373
15.5,3378
15.583333333333334,3388
15.666666666666666,3394
15.75,3392
15.833333333333334,3407
15.916666666666666,3411
16,3422
16.083333333333332,3426
16.166666666666668,3427
16.25,3433
16.333333333333332,3434
16.416666666666668,3438
16.5,3447
16.583333333333332,3451
16.666666666666668,3456
16.75,3461
16.833333333333332,3462
16.916666666666668,3468
17,3471
17.083333333333332,3480
17.166666666666668,3478
17.25,3488
17.333333333333332,3492
17.416666666666668,3505
17.5,3502
17.583333333333332,3510
17.666666666666668,3517
17.75,3517
17.833333333333332,3526
17.916666666666668,3530
18,3540
18.083333333333332,3545
18.166666666666668,3546
18.25,3550
18.333333333333332,3550
18.416666666666668,3567
18.5,3564
18.583333333333332,3567
18.666666666666668,3575
18.75,3587
18.833333333333332,3587
18.916666666666668,3600
19,3607
19.083333333333332,3607
19.166666666666668,3607
19.25,3612
19.333333333333332,3611
19.416666666666668,3615
19.5,3633
19.583333333333332,3638
19.666666666666668,3630
19.75,3641
19.833333333333332,3654
19.916666666666668,3656
20,3666
20.083333333333332,3668
