"Hours since thread went live","One Room, Hiatari Futsuu, Tenshi-tsuki. • Studio Apartment, Good Lighting, Angel Included - Episode 2 discussion"
0,0
0,1
0.08333333333333333,2
0.16666666666666666,6
0.25,5
0.3333333333333333,8
0.4166666666666667,11
0.5,13
0.5833333333333334,16
0.6666666666666666,18
0.75,20
0.8333333333333334,20
0.9166666666666666,24
1,24
1.0833333333333333,26
1.1666666666666667,34
1.25,37
1.3333333333333333,39
1.4166666666666667,39
1.5,41
1.5833333333333333,41
1.6666666666666667,40
1.75,47
1.8333333333333333,51
1.9166666666666667,53
2,54
2.0833333333333335,54
2.1666666666666665,55
2.25,57
2.3333333333333335,59
2.4166666666666665,62
2.5,63
2.5833333333333335,69
2.6666666666666665,73
2.75,70
2.8333333333333335,78
2.9166666666666665,75
3,75
3.0833333333333335,75
3.1666666666666665,74
3.25,82
3.3333333333333335,83
3.4166666666666665,81
3.5,87
3.5833333333333335,91
3.6666666666666665,89
3.75,90
3.8333333333333335,96
3.9166666666666665,95
4,94
4.083333333333333,99
4.166666666666667,97
4.25,103
4.333333333333333,102
4.416666666666667,102
4.5,102
4.583333333333333,103
4.666666666666667,105
4.75,108
4.833333333333333,106
4.916666666666667,107
5,113
5.083333333333333,112
5.166666666666667,114
5.25,117
5.333333333333333,117
5.416666666666667,117
5.5,116
5.583333333333333,117
5.666666666666667,120
5.75,120
5.833333333333333,124
5.916666666666667,126
6,127
6.083333333333333,125
6.166666666666667,132
6.25,130
6.333333333333333,138
6.416666666666667,136
6.5,139
6.583333333333333,138
6.666666666666667,138
6.75,135
6.833333333333333,142
6.916666666666667,141
7,147
7.083333333333333,142
7.166666666666667,145
7.25,143
7.333333333333333,142
7.416666666666667,142
7.5,142
7.583333333333333,144
7.666666666666667,146
7.75,151
7.833333333333333,147
7.916666666666667,149
8,151
8.083333333333334,155
8.166666666666666,153
8.25,153
8.333333333333334,157
8.416666666666666,154
8.5,153
8.583333333333334,160
8.666666666666666,158
8.75,158
8.833333333333334,159
8.916666666666666,162
9,162
9.083333333333334,164
9.166666666666666,165
9.25,168
9.333333333333334,166
9.416666666666666,167
9.5,170
9.583333333333334,168
9.666666666666666,169
9.75,169
9.833333333333334,168
9.916666666666666,169
10,169
10.083333333333334,172
10.166666666666666,173
10.25,176
10.333333333333334,176
10.416666666666666,179
10.5,174
10.583333333333334,178
10.666666666666666,179
10.75,176
10.833333333333334,178
10.916666666666666,180
11,184
11.083333333333334,181
11.166666666666666,182
11.25,182
11.333333333333334,179
11.416666666666666,183
11.5,187
11.583333333333334,183
11.666666666666666,184
11.75,185
11.833333333333334,186
11.916666666666666,190
12,190
12.083333333333334,188
12.166666666666666,189
12.25,190
12.333333333333334,190
12.416666666666666,192
12.5,190
12.583333333333334,189
12.666666666666666,192
12.75,191
12.833333333333334,195
12.916666666666666,194
13,197
13.083333333333334,193
13.166666666666666,196
13.25,195
13.333333333333334,196
13.416666666666666,199
13.5,203
13.583333333333334,198
13.666666666666666,201
13.75,203
13.833333333333334,198
13.916666666666666,201
14,201
14.083333333333334,203
14.166666666666666,205
14.25,201
14.333333333333334,207
14.416666666666666,209
14.5,203
14.583333333333334,208
14.666666666666666,208
14.75,209
14.833333333333334,207
14.916666666666666,207
15,209
15.083333333333334,209
15.166666666666666,214
15.25,211
15.333333333333334,210
15.416666666666666,208
15.5,211
15.583333333333334,207
15.666666666666666,213
15.75,209
15.833333333333334,213
15.916666666666666,215
16,213
16.083333333333332,213
16.166666666666668,212
16.25,213
16.333333333333332,215
16.416666666666668,212
16.5,214
16.583333333333332,215
16.666666666666668,213
16.75,218
16.833333333333332,217
16.916666666666668,214
17,213
17.083333333333332,217
17.166666666666668,218
17.25,217
17.333333333333332,220
17.416666666666668,217
17.5,217
17.583333333333332,223
17.666666666666668,225
17.75,224
17.833333333333332,226
17.916666666666668,222
18,223
18.083333333333332,225
18.166666666666668,219
18.25,222
18.333333333333332,221
18.416666666666668,225
18.5,222
18.583333333333332,222
18.666666666666668,221
18.75,225
18.833333333333332,224
18.916666666666668,225
19,225
19.083333333333332,224
19.166666666666668,224
19.25,226
19.333333333333332,223
19.416666666666668,225
19.5,226
19.583333333333332,228
19.666666666666668,227
19.75,226
19.833333333333332,225
19.916666666666668,228
20,227
20.083333333333332,224
20.166666666666668,228
20.25,225
20.333333333333332,228
20.416666666666668,226
20.5,230
