"Hours since thread went live","High Card Season 2 - Episode 21 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,1
0.5,1
0.5833333333333334,1
0.6666666666666666,1
0.75,1
0.8333333333333334,2
0.9166666666666666,2
1,2
1.0833333333333333,1
1.1666666666666667,1
1.25,2
1.3333333333333333,4
1.4166666666666667,4
1.5,4
1.5833333333333333,5
1.6666666666666667,6
1.75,7
1.8333333333333333,6
1.9166666666666667,6
2,6
2.0833333333333335,5
2.1666666666666665,7
2.25,7
2.3333333333333335,9
2.4166666666666665,10
2.5,9
2.5833333333333335,11
2.6666666666666665,9
2.75,11
2.8333333333333335,11
2.9166666666666665,9
3,11
3.0833333333333335,12
3.1666666666666665,11
3.25,13
3.3333333333333335,16
3.4166666666666665,18
3.5,17
3.5833333333333335,17
3.6666666666666665,19
3.75,21
3.8333333333333335,20
3.9166666666666665,21
4,22
4.083333333333333,22
4.166666666666667,24
4.25,22
4.333333333333333,22
4.416666666666667,23
4.5,24
4.583333333333333,26
4.666666666666667,26
4.75,28
4.833333333333333,28
4.916666666666667,27
5,30
5.083333333333333,30
5.166666666666667,29
5.25,35
5.333333333333333,35
5.416666666666667,36
5.5,35
5.583333333333333,36
5.666666666666667,39
5.75,38
5.833333333333333,37
5.916666666666667,39
6,34
6.083333333333333,41
6.166666666666667,41
6.25,40
6.333333333333333,43
6.416666666666667,46
6.5,41
6.583333333333333,43
6.666666666666667,41
6.75,41
6.833333333333333,48
6.916666666666667,47
7,43
7.083333333333333,45
7.166666666666667,45
7.25,46
7.333333333333333,45
7.416666666666667,46
7.5,44
7.583333333333333,46
7.666666666666667,46
7.75,46
7.833333333333333,46
7.916666666666667,45
8,50
8.083333333333334,49
8.166666666666666,47
8.25,45
8.333333333333334,49
8.416666666666666,49
8.5,48
8.583333333333334,44
8.666666666666666,47
8.75,47
8.833333333333334,45
8.916666666666666,47
9,45
9.083333333333334,47
9.166666666666666,51
9.25,45
9.333333333333334,51
9.416666666666666,48
9.5,48
9.583333333333334,47
9.666666666666666,47
9.75,49
9.833333333333334,51
9.916666666666666,51
10,50
10.083333333333334,50
10.166666666666666,50
10.25,50
10.333333333333334,53
10.416666666666666,49
10.5,49
10.583333333333334,49
10.666666666666666,48
10.75,47
10.833333333333334,52
10.916666666666666,52
11,51
11.083333333333334,52
11.166666666666666,51
11.25,57
11.333333333333334,53
11.416666666666666,54
11.5,55
11.583333333333334,52
11.666666666666666,53
11.75,56
11.833333333333334,58
11.916666666666666,56
12,55
12.083333333333334,54
12.166666666666666,57
12.25,55
12.333333333333334,59
12.416666666666666,54
12.5,61
12.583333333333334,57
12.666666666666666,58
12.75,62
12.833333333333334,61
12.916666666666666,57
13,59
13.083333333333334,59
13.166666666666666,58
13.25,57
13.333333333333334,57
13.416666666666666,58
13.5,57
13.583333333333334,57
13.666666666666666,59
13.75,60
13.833333333333334,62
13.916666666666666,56
14,62
14.083333333333334,60
14.166666666666666,61
14.25,61
14.333333333333334,62
14.416666666666666,57
14.5,60
14.583333333333334,64
14.666666666666666,58
14.75,58
14.833333333333334,59
14.916666666666666,60
15,60
15.083333333333334,61
15.166666666666666,58
15.25,61
15.333333333333334,61
15.416666666666666,61
15.5,63
15.583333333333334,62
15.666666666666666,59
15.75,62
15.833333333333334,59
15.916666666666666,60
16,62
16.083333333333332,64
16.166666666666668,64
16.25,60
16.333333333333332,60
16.416666666666668,62
16.5,58
16.583333333333332,62
16.666666666666668,62
16.75,65
16.833333333333332,61
16.916666666666668,62
17,60
17.083333333333332,64
17.166666666666668,60
17.25,59
17.333333333333332,61
17.416666666666668,59
17.5,63
17.583333333333332,63
17.666666666666668,68
17.75,64
17.833333333333332,64
17.916666666666668,67
18,64
18.083333333333332,70
18.166666666666668,64
18.25,65
18.333333333333332,64
18.416666666666668,68
18.5,65
18.583333333333332,63
18.666666666666668,67
18.75,65
18.833333333333332,65
18.916666666666668,69
19,69
19.083333333333332,65
19.166666666666668,68
19.25,65
19.333333333333332,70
19.416666666666668,65
19.5,66
19.583333333333332,69
19.666666666666668,70
19.75,68
19.833333333333332,64
19.916666666666668,70
20,69
20.083333333333332,67
20.166666666666668,66
20.25,65
20.333333333333332,64
20.416666666666668,64
20.5,67
20.583333333333332,69
20.666666666666668,67
20.75,66
20.833333333333332,69
20.916666666666668,67
21,70
21.083333333333332,72
21.166666666666668,67
21.25,65
21.333333333333332,68
21.416666666666668,72
21.5,65
21.583333333333332,66
21.666666666666668,68
21.75,69
21.833333333333332,68
21.916666666666668,67
22,65
22.083333333333332,70
22.166666666666668,64
22.25,67
22.333333333333332,67
22.416666666666668,65
22.5,64
22.583333333333332,69
22.666666666666668,66
22.75,64
22.833333333333332,66
22.916666666666668,69
23,68
23.083333333333332,68
23.166666666666668,70
23.25,70
23.333333333333332,69
23.416666666666668,65
23.5,68
23.583333333333332,69
23.666666666666668,70
23.75,69
23.833333333333332,70
23.916666666666668,66
24,67
24.083333333333332,67
24.166666666666668,68
24.25,68
24.333333333333332,70
24.416666666666668,68
24.5,66
24.583333333333332,69
24.666666666666668,66
24.75,66
24.833333333333332,69
24.916666666666668,71
25,69
25.083333333333332,68
25.166666666666668,70
25.25,69
25.333333333333332,69
25.416666666666668,68
25.5,68
25.583333333333332,71
25.666666666666668,70
25.75,69
25.833333333333332,70
25.916666666666668,66
26,67
26.083333333333332,69
26.166666666666668,69
26.25,69
26.333333333333332,72
26.416666666666668,67
26.5,71
26.583333333333332,71
26.666666666666668,68
26.75,70
26.833333333333332,73
26.916666666666668,69
27,72
27.083333333333332,70
27.166666666666668,69
27.25,71
27.333333333333332,68
27.416666666666668,69
27.5,69
27.583333333333332,73
27.666666666666668,69
27.75,71
27.833333333333332,69
27.916666666666668,69
28,70
28.083333333333332,69
28.166666666666668,73
28.25,70
28.333333333333332,70
28.416666666666668,67
28.5,70
28.583333333333332,70
28.666666666666668,70
28.75,71
28.833333333333332,74
28.916666666666668,73
29,68
29.083333333333332,66
29.166666666666668,72
29.25,67
29.333333333333332,70
29.416666666666668,68
29.5,70
29.583333333333332,71
29.666666666666668,70
29.75,69
29.833333333333332,72
29.916666666666668,71
30,70
30.083333333333332,69
30.166666666666668,68
30.25,71
30.333333333333332,68
30.416666666666668,71
30.5,68
30.583333333333332,71
30.666666666666668,68
30.75,73
30.833333333333332,74
30.916666666666668,75
31,71
31.083333333333332,73
31.166666666666668,75
31.25,71
31.333333333333332,68
31.416666666666668,69
31.5,73
31.583333333333332,68
31.666666666666668,74
31.75,72
31.833333333333332,74
31.916666666666668,71
32,73
32.083333333333336,71
32.166666666666664,74
32.25,72
32.333333333333336,70
32.416666666666664,71
32.5,70
32.583333333333336,75
32.666666666666664,72
32.75,70
32.833333333333336,71
32.916666666666664,70
33,70
33.083333333333336,74
33.166666666666664,70
33.25,71
33.333333333333336,71
33.416666666666664,74
33.5,71
33.583333333333336,72
33.666666666666664,73
33.75,70
33.833333333333336,75
33.916666666666664,73
34,74
34.083333333333336,72
34.166666666666664,69
34.25,72
34.333333333333336,72
34.416666666666664,70
34.5,71
34.583333333333336,77
34.666666666666664,69
34.75,70
34.833333333333336,75
34.916666666666664,76
35,75
35.083333333333336,74
35.166666666666664,72
35.25,70
35.333333333333336,74
35.416666666666664,70
35.5,72
35.583333333333336,74
35.666666666666664,76
35.75,73
35.833333333333336,73
35.916666666666664,72
36,71
36.083333333333336,75
36.166666666666664,74
36.25,72
36.333333333333336,72
36.416666666666664,72
36.5,77
36.583333333333336,74
36.666666666666664,71
36.75,73
36.833333333333336,74
36.916666666666664,71
37,74
37.083333333333336,73
37.166666666666664,71
37.25,70
37.333333333333336,74
37.416666666666664,73
37.5,74
37.583333333333336,74
37.666666666666664,72
37.75,72
37.833333333333336,70
37.916666666666664,75
38,77
38.083333333333336,72
38.166666666666664,74
38.25,74
38.333333333333336,73
38.416666666666664,78
38.5,73
38.583333333333336,71
38.666666666666664,71
38.75,76
38.833333333333336,72
38.916666666666664,71
39,72
39.083333333333336,72
