"Hours since thread went live","Jigokuraku • Hell's Paradise - Episode 13 discussion - FINAL"
30.5,2495
30.583333333333332,2494
30.666666666666668,2489
30.75,2498
30.833333333333332,2502
30.916666666666668,2498
31,2503
31.083333333333332,2505
31.166666666666668,2506
31.25,2507
31.333333333333332,2511
31.416666666666668,2504
31.5,2510
31.583333333333332,2511
31.666666666666668,2518
31.75,2512
31.833333333333332,2514
31.916666666666668,2518
32,2512
32.083333333333336,2517
32.166666666666664,2517
32.25,2519
32.333333333333336,2513
32.416666666666664,2519
32.5,2522
32.583333333333336,2526
32.666666666666664,2527
32.75,2520
32.833333333333336,2524
32.916666666666664,2526
33,2523
33.083333333333336,2528
33.166666666666664,2528
33.25,2528
33.333333333333336,2530
33.416666666666664,2534
33.5,2539
33.583333333333336,2540
33.666666666666664,2536
33.75,2541
33.833333333333336,2540
33.916666666666664,2541
34,2548
34.083333333333336,2546
34.166666666666664,2546
34.25,2549
34.333333333333336,2546
34.416666666666664,2543
34.5,2541
34.583333333333336,2549
34.666666666666664,2546
34.75,2551
34.833333333333336,2551
34.916666666666664,2549
35,2548
35.083333333333336,2555
35.166666666666664,2549
35.25,2553
35.333333333333336,2552
35.416666666666664,2556
35.5,2552
35.583333333333336,2558
35.666666666666664,2552
35.75,2558
35.833333333333336,2563
35.916666666666664,2563
36,2561
36.083333333333336,2560
36.166666666666664,2561
36.25,2563
36.333333333333336,2567
36.416666666666664,2569
36.5,2571
36.583333333333336,2572
36.666666666666664,2567
36.75,2572
36.833333333333336,2569
36.916666666666664,2575
37,2578
37.083333333333336,2574
37.166666666666664,2572
37.25,2574
37.333333333333336,2575
37.416666666666664,2582
37.5,2578
37.583333333333336,2577
37.666666666666664,2581
37.75,2579
37.833333333333336,2580
37.916666666666664,2583
38,2580
38.083333333333336,2581
38.166666666666664,2577
38.25,2580
38.333333333333336,2580
38.416666666666664,2578
38.5,2582
38.583333333333336,2581
38.666666666666664,2585
38.75,2585
38.833333333333336,2585
38.916666666666664,2585
39,2591
39.083333333333336,2587
39.166666666666664,2584
39.25,2584
39.333333333333336,2590
39.416666666666664,2587
39.5,2592
39.583333333333336,2592
39.666666666666664,2596
39.75,2589
39.833333333333336,2598
39.916666666666664,2595
40,2595
40.083333333333336,2594
40.166666666666664,2595
40.25,2596
40.333333333333336,2594
40.416666666666664,2596
40.5,2599
40.583333333333336,2594
40.666666666666664,2594
40.75,2595
40.833333333333336,2601
40.916666666666664,2595
41,2594
41.083333333333336,2597
41.166666666666664,2596
41.25,2593
41.333333333333336,2596
41.416666666666664,2596
41.5,2595
41.583333333333336,2607
41.666666666666664,2606
41.75,2602
41.833333333333336,2604
41.916666666666664,2607
42,2605
42.083333333333336,2606
42.166666666666664,2603
42.25,2609
42.333333333333336,2601
42.416666666666664,2611
42.5,2603
42.583333333333336,2608
42.666666666666664,2611
42.75,2607
