"Hours since thread went live","Mashle: Magic and Muscles Season 2 - Episode 11 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,2
0.25,4
0.3333333333333333,10
0.4166666666666667,15
0.5,21
0.5833333333333334,29
0.6666666666666666,34
0.75,42
0.8333333333333334,47
0.9166666666666666,55
1,60
1.0833333333333333,70
1.1666666666666667,77
1.25,83
1.3333333333333333,89
1.4166666666666667,101
1.5,104
1.5833333333333333,117
1.6666666666666667,124
1.75,126
1.8333333333333333,131
1.9166666666666667,141
2,154
2.0833333333333335,162
2.1666666666666665,161
2.25,169
2.3333333333333335,177
2.4166666666666665,185
2.5,196
2.5833333333333335,207
2.6666666666666665,212
2.75,226
2.8333333333333335,231
2.9166666666666665,231
3,242
3.0833333333333335,248
3.1666666666666665,248
3.25,257
3.3333333333333335,262
3.4166666666666665,271
3.5,274
3.5833333333333335,278
3.6666666666666665,285
3.75,291
3.8333333333333335,296
3.9166666666666665,300
4,308
4.083333333333333,309
4.166666666666667,318
4.25,326
4.333333333333333,319
4.416666666666667,324
4.5,328
4.583333333333333,329
4.666666666666667,339
4.75,341
4.833333333333333,351
4.916666666666667,353
5,361
5.083333333333333,370
5.166666666666667,378
5.25,385
5.333333333333333,391
5.416666666666667,389
5.5,395
5.583333333333333,395
5.666666666666667,401
5.75,406
5.833333333333333,417
5.916666666666667,417
6,423
6.083333333333333,423
6.166666666666667,429
6.25,432
6.333333333333333,439
6.416666666666667,438
6.5,440
6.583333333333333,447
6.666666666666667,443
6.75,451
6.833333333333333,460
6.916666666666667,460
7,464
7.083333333333333,462
7.166666666666667,466
7.25,466
7.333333333333333,470
7.416666666666667,474
7.5,470
7.583333333333333,479
7.666666666666667,481
7.75,483
7.833333333333333,485
7.916666666666667,491
8,486
8.083333333333334,499
8.166666666666666,500
8.25,496
8.333333333333334,505
8.416666666666666,513
8.5,511
8.583333333333334,517
8.666666666666666,520
8.75,517
8.833333333333334,520
8.916666666666666,526
9,526
9.083333333333334,530
9.166666666666666,539
9.25,540
9.333333333333334,542
9.416666666666666,546
9.5,548
9.583333333333334,552
9.666666666666666,549
9.75,555
9.833333333333334,558
9.916666666666666,564
10,557
10.083333333333334,565
10.166666666666666,569
10.25,569
10.333333333333334,571
10.416666666666666,570
10.5,579
10.583333333333334,581
10.666666666666666,579
10.75,583
10.833333333333334,591
10.916666666666666,588
11,586
11.083333333333334,589
11.166666666666666,597
11.25,595
11.333333333333334,593
11.416666666666666,602
11.5,597
11.583333333333334,605
11.666666666666666,610
11.75,610
11.833333333333334,609
11.916666666666666,613
12,620
12.083333333333334,615
12.166666666666666,620
12.25,625
12.333333333333334,622
12.416666666666666,619
12.5,629
12.583333333333334,632
12.666666666666666,632
12.75,638
12.833333333333334,641
12.916666666666666,637
13,641
13.083333333333334,641
13.166666666666666,639
13.25,645
13.333333333333334,651
13.416666666666666,645
13.5,650
13.583333333333334,646
13.666666666666666,650
13.75,652
13.833333333333334,659
13.916666666666666,662
14,659
14.083333333333334,658
14.166666666666666,662
14.25,666
14.333333333333334,671
14.416666666666666,664
14.5,665
14.583333333333334,667
14.666666666666666,672
14.75,674
14.833333333333334,674
14.916666666666666,677
15,678
15.083333333333334,681
15.166666666666666,676
15.25,674
15.333333333333334,680
15.416666666666666,678
15.5,685
15.583333333333334,681
15.666666666666666,689
15.75,685
15.833333333333334,684
15.916666666666666,686
16,692
16.083333333333332,688
16.166666666666668,684
16.25,687
16.333333333333332,693
16.416666666666668,691
16.5,697
16.583333333333332,691
16.666666666666668,697
16.75,696
16.833333333333332,701
16.916666666666668,700
17,700
17.083333333333332,705
17.166666666666668,704
17.25,704
17.333333333333332,711
17.416666666666668,705
17.5,709
17.583333333333332,707
17.666666666666668,713
17.75,713
17.833333333333332,717
17.916666666666668,719
18,715
18.083333333333332,716
18.166666666666668,722
18.25,720
18.333333333333332,718
18.416666666666668,714
18.5,721
18.583333333333332,716
18.666666666666668,720
18.75,722
18.833333333333332,721
18.916666666666668,728
19,726
19.083333333333332,729
19.166666666666668,724
19.25,728
19.333333333333332,730
19.416666666666668,729
19.5,729
19.583333333333332,728
19.666666666666668,726
19.75,726
19.833333333333332,727
19.916666666666668,732
20,729
20.083333333333332,729
20.166666666666668,734
20.25,729
20.333333333333332,728
20.416666666666668,733
20.5,729
20.583333333333332,736
20.666666666666668,738
20.75,737
20.833333333333332,736
20.916666666666668,733
21,736
21.083333333333332,738
21.166666666666668,741
21.25,738
21.333333333333332,739
21.416666666666668,740
21.5,738
21.583333333333332,741
21.666666666666668,746
21.75,735
