"Hours since thread went live","Kaguya-sama wa Kokurasetai: Ultra Romantic - Episode 5 discussion"
0,10
0,17
0.08333333333333333,52
0.16666666666666666,83
0.25,114
0.3333333333333333,148
0.4166666666666667,193
0.5,278
0.5833333333333334,362
0.6666666666666666,436
0.75,503
0.8333333333333334,582
0.9166666666666666,671
1,726
1.0833333333333333,824
1.1666666666666667,903
1.25,991
1.3333333333333333,1074
1.4166666666666667,1160
1.5,1270
1.5833333333333333,1352
1.6666666666666667,1440
1.75,1543
1.8333333333333333,1630
1.9166666666666667,1710
2,1806
2.0833333333333335,1877
2.1666666666666665,1989
2.25,2089
2.3333333333333335,2168
2.4166666666666665,2250
2.5,2337
2.5833333333333335,2437
2.6666666666666665,2508
2.75,2563
2.8333333333333335,2656
2.9166666666666665,2724
3,2778
3.0833333333333335,2850
3.1666666666666665,2912
3.25,2988
3.3333333333333335,3049
3.4166666666666665,3109
3.5,3182
3.5833333333333335,3252
3.6666666666666665,3304
3.75,3366
3.8333333333333335,3428
3.9166666666666665,3470
4,3544
4.083333333333333,3606
4.166666666666667,3663
4.25,3729
4.333333333333333,3769
4.416666666666667,3816
4.5,3867
4.583333333333333,3954
4.666666666666667,4007
4.75,4067
4.833333333333333,4121
4.916666666666667,4152
5,4199
5.083333333333333,4238
5.166666666666667,4289
5.25,4340
5.333333333333333,4388
5.416666666666667,4427
5.5,4467
5.583333333333333,4520
5.666666666666667,4568
5.75,4612
5.833333333333333,4667
5.916666666666667,4718
6,4760
6.083333333333333,4813
6.166666666666667,4857
6.25,4896
6.333333333333333,4958
6.416666666666667,4989
6.5,5037
6.583333333333333,5072
6.666666666666667,5118
6.75,5163
6.833333333333333,5214
6.916666666666667,5262
7,5310
7.083333333333333,5357
7.166666666666667,5396
7.25,5424
7.333333333333333,5458
7.416666666666667,5490
7.5,5536
7.583333333333333,5573
7.666666666666667,5608
7.75,5654
7.833333333333333,5682
7.916666666666667,5717
8,5759
8.083333333333334,5787
8.166666666666666,5813
8.25,5861
8.333333333333334,5895
8.416666666666666,5943
8.5,5981
8.583333333333334,6000
8.666666666666666,6042
8.75,6078
8.833333333333334,6118
8.916666666666666,6154
9,6184
9.083333333333334,6220
9.166666666666666,6253
9.25,6288
9.333333333333334,6307
9.416666666666666,6339
9.5,6378
9.583333333333334,6407
9.666666666666666,6442
9.75,6467
9.833333333333334,6513
9.916666666666666,6524
10,6565
10.083333333333334,6589
10.166666666666666,6622
10.25,6637
10.333333333333334,6667
10.416666666666666,6708
10.5,6735
10.583333333333334,6764
10.666666666666666,6784
10.75,6804
10.833333333333334,6843
10.916666666666666,6868
11,6890
11.083333333333334,6909
11.166666666666666,6943
11.25,6960
11.333333333333334,6991
11.416666666666666,7017
11.5,7043
11.583333333333334,7071
11.666666666666666,7091
11.75,7121
11.833333333333334,7145
11.916666666666666,7176
12,7211
12.083333333333334,7228
12.166666666666666,7251
12.25,7267
12.333333333333334,7294
12.416666666666666,7322
12.5,7350
12.583333333333334,7371
12.666666666666666,7399
12.75,7420
12.833333333333334,7434
12.916666666666666,7466
13,7480
13.083333333333334,7499
13.166666666666666,7534
13.25,7552
13.333333333333334,7573
13.416666666666666,7590
13.5,7618
13.583333333333334,7637
13.666666666666666,7658
13.75,7682
13.833333333333334,7703
13.916666666666666,7719
14,7751
14.083333333333334,7759
14.166666666666666,7778
14.25,7791
14.333333333333334,7821
14.416666666666666,7834
14.5,7851
14.583333333333334,7871
14.666666666666666,7886
14.75,7911
14.833333333333334,7941
14.916666666666666,7965
15,7979
15.083333333333334,7993
15.166666666666666,8011
15.25,8028
15.333333333333334,8064
15.416666666666666,8070
15.5,8089
15.583333333333334,8114
15.666666666666666,8126
15.75,8156
15.833333333333334,8170
15.916666666666666,8183
16,8203
16.083333333333332,8221
16.166666666666668,8236
16.25,8254
16.333333333333332,8275
16.416666666666668,8297
16.5,8312
16.583333333333332,8320
16.666666666666668,8340
16.75,8347
16.833333333333332,8357
16.916666666666668,8372
17,8377
17.083333333333332,8398
17.166666666666668,8408
17.25,8427
17.333333333333332,8442
17.416666666666668,8467
17.5,8474
17.583333333333332,8498
17.666666666666668,8524
17.75,8529
17.833333333333332,8543
17.916666666666668,8555
18,8558
18.083333333333332,8580
18.166666666666668,8585
18.25,8603
18.333333333333332,8609
18.416666666666668,8626
18.5,8636
18.583333333333332,8653
18.666666666666668,8666
18.75,8676
18.833333333333332,8683
