"Hours since thread went live","Bucchigiri?! - Episode 11 discussion"
0,1
0,0
0.08333333333333333,1
0.16666666666666666,3
0.25,4
0.3333333333333333,5
0.4166666666666667,4
0.5,7
0.5833333333333334,9
0.6666666666666666,9
0.75,10
0.8333333333333334,13
0.9166666666666666,17
1,18
1.0833333333333333,20
1.1666666666666667,21
1.25,21
1.3333333333333333,23
1.4166666666666667,25
1.5,25
1.5833333333333333,26
1.6666666666666667,28
1.75,28
1.8333333333333333,29
1.9166666666666667,31
2,31
2.0833333333333335,36
2.1666666666666665,39
2.25,39
2.3333333333333335,39
2.4166666666666665,40
2.5,44
2.5833333333333335,44
2.6666666666666665,46
2.75,45
2.8333333333333335,46
2.9166666666666665,48
3,50
3.0833333333333335,50
3.1666666666666665,50
3.25,56
3.3333333333333335,56
3.4166666666666665,56
3.5,55
3.5833333333333335,57
3.6666666666666665,60
3.75,62
3.8333333333333335,61
3.9166666666666665,65
4,69
4.083333333333333,71
4.166666666666667,69
4.25,70
4.333333333333333,72
4.416666666666667,71
4.5,71
4.583333333333333,75
4.666666666666667,74
4.75,73
4.833333333333333,72
4.916666666666667,75
5,72
5.083333333333333,69
5.166666666666667,73
5.25,74
5.333333333333333,72
5.416666666666667,73
5.5,76
5.583333333333333,78
5.666666666666667,78
5.75,76
5.833333333333333,76
5.916666666666667,76
6,77
6.083333333333333,79
6.166666666666667,80
6.25,83
6.333333333333333,80
6.416666666666667,84
6.5,79
6.583333333333333,78
6.666666666666667,82
6.75,83
6.833333333333333,78
6.916666666666667,81
7,88
7.083333333333333,89
7.166666666666667,84
7.25,83
7.333333333333333,84
7.416666666666667,89
7.5,91
7.583333333333333,96
7.666666666666667,91
7.75,93
7.833333333333333,92
7.916666666666667,95
8,98
8.083333333333334,92
8.166666666666666,94
8.25,97
8.333333333333334,96
8.416666666666666,96
8.5,100
8.583333333333334,99
8.666666666666666,100
8.75,99
8.833333333333334,102
8.916666666666666,102
9,101
9.083333333333334,100
9.166666666666666,101
9.25,104
9.333333333333334,98
9.416666666666666,103
9.5,101
9.583333333333334,99
9.666666666666666,107
9.75,105
9.833333333333334,104
9.916666666666666,105
10,107
10.083333333333334,110
10.166666666666666,105
10.25,108
10.333333333333334,110
10.416666666666666,106
10.5,107
10.583333333333334,111
10.666666666666666,108
10.75,107
10.833333333333334,111
10.916666666666666,108
11,110
11.083333333333334,110
11.166666666666666,105
11.25,110
11.333333333333334,110
11.416666666666666,113
11.5,115
11.583333333333334,114
11.666666666666666,115
11.75,111
11.833333333333334,111
11.916666666666666,115
12,112
12.083333333333334,115
12.166666666666666,114
12.25,119
12.333333333333334,120
12.416666666666666,116
12.5,118
12.583333333333334,115
12.666666666666666,117
12.75,120
12.833333333333334,119
12.916666666666666,122
13,126
13.083333333333334,126
13.166666666666666,124
13.25,124
13.333333333333334,122
13.416666666666666,124
13.5,125
13.583333333333334,122
13.666666666666666,127
13.75,125
13.833333333333334,125
13.916666666666666,126
14,128
14.083333333333334,124
14.166666666666666,123
14.25,121
14.333333333333334,126
14.416666666666666,122
14.5,129
14.583333333333334,127
14.666666666666666,127
14.75,128
14.833333333333334,131
14.916666666666666,128
15,125
15.083333333333334,130
15.166666666666666,129
15.25,127
15.333333333333334,126
15.416666666666666,131
15.5,132
15.583333333333334,128
15.666666666666666,130
15.75,132
15.833333333333334,126
15.916666666666666,128
16,130
16.083333333333332,129
16.166666666666668,126
16.25,130
16.333333333333332,130
16.416666666666668,130
16.5,131
16.583333333333332,129
16.666666666666668,128
16.75,135
16.833333333333332,133
16.916666666666668,129
17,135
17.083333333333332,134
17.166666666666668,134
17.25,133
17.333333333333332,133
17.416666666666668,133
17.5,131
17.583333333333332,129
17.666666666666668,132
17.75,131
17.833333333333332,132
17.916666666666668,132
18,131
18.083333333333332,132
18.166666666666668,132
18.25,134
18.333333333333332,132
18.416666666666668,135
18.5,132
18.583333333333332,136
18.666666666666668,130
18.75,135
18.833333333333332,132
18.916666666666668,134
19,130
19.083333333333332,133
19.166666666666668,133
19.25,133
19.333333333333332,133
19.416666666666668,136
19.5,135
19.583333333333332,134
19.666666666666668,137
19.75,133
19.833333333333332,134
19.916666666666668,134
20,133
20.083333333333332,133
20.166666666666668,135
20.25,135
20.333333333333332,132
20.416666666666668,133
20.5,139
20.583333333333332,136
20.666666666666668,134
20.75,139
20.833333333333332,142
20.916666666666668,137
21,141
21.083333333333332,137
21.166666666666668,139
21.25,139
21.333333333333332,137
21.416666666666668,137
21.5,138
21.583333333333332,140
21.666666666666668,145
21.75,142
21.833333333333332,140
21.916666666666668,142
22,143
22.083333333333332,142
22.166666666666668,144
22.25,140
22.333333333333332,140
22.416666666666668,141
22.5,142
22.583333333333332,142
22.666666666666668,137
22.75,138
22.833333333333332,142
22.916666666666668,139
23,140
23.083333333333332,141
23.166666666666668,142
23.25,140
23.333333333333332,145
23.416666666666668,145
23.5,144
23.583333333333332,140
23.666666666666668,142
23.75,143
23.833333333333332,143
23.916666666666668,139
24,146
24.083333333333332,144
24.166666666666668,141
24.25,144
24.333333333333332,143
24.416666666666668,143
24.5,144
24.583333333333332,148
24.666666666666668,145
24.75,143
24.833333333333332,146
24.916666666666668,144
25,145
25.083333333333332,142
25.166666666666668,143
25.25,146
25.333333333333332,143
25.416666666666668,143
25.5,143
25.583333333333332,144
25.666666666666668,142
25.75,143
25.833333333333332,142
25.916666666666668,143
26,143
26.083333333333332,143
26.166666666666668,146
26.25,142
26.333333333333332,143
26.416666666666668,147
26.5,148
26.583333333333332,146
26.666666666666668,148
26.75,145
26.833333333333332,145
26.916666666666668,150
27,142
27.083333333333332,147
27.166666666666668,150
27.25,150
27.333333333333332,148
27.416666666666668,148
27.5,148
27.583333333333332,151
27.666666666666668,153
27.75,152
27.833333333333332,152
27.916666666666668,150
28,152
28.083333333333332,154
28.166666666666668,146
28.25,149
28.333333333333332,150
28.416666666666668,151
28.5,149
28.583333333333332,152
28.666666666666668,151
28.75,154
28.833333333333332,151
28.916666666666668,152
29,153
29.083333333333332,152
29.166666666666668,149
29.25,152
29.333333333333332,151
29.416666666666668,155
29.5,152
29.583333333333332,150
29.666666666666668,155
29.75,152
29.833333333333332,152
29.916666666666668,149
30,153
30.083333333333332,151
30.166666666666668,152
30.25,153
30.333333333333332,149
30.416666666666668,152
30.5,154
30.583333333333332,152
30.666666666666668,150
30.75,154
30.833333333333332,150
30.916666666666668,150
31,148
31.083333333333332,149
31.166666666666668,154
31.25,153
31.333333333333332,154
31.416666666666668,151
31.5,152
31.583333333333332,155
31.666666666666668,151
31.75,150
31.833333333333332,154
31.916666666666668,152
32,152
32.083333333333336,156
32.166666666666664,151
32.25,151
32.333333333333336,150
32.416666666666664,155
32.5,154
32.583333333333336,157
32.666666666666664,156
32.75,158
32.833333333333336,159
32.916666666666664,156
33,156
33.083333333333336,156
33.166666666666664,159
33.25,160
33.333333333333336,153
33.416666666666664,156
33.5,153
33.583333333333336,158
33.666666666666664,157
33.75,157
33.833333333333336,160
33.916666666666664,156
34,156
34.083333333333336,155
34.166666666666664,156
34.25,157
34.333333333333336,154
34.416666666666664,153
34.5,159
34.583333333333336,157
34.666666666666664,155
34.75,160
34.833333333333336,155
34.916666666666664,160
35,156
35.083333333333336,157
35.166666666666664,159
35.25,157
35.333333333333336,161
35.416666666666664,156
35.5,159
35.583333333333336,160
35.666666666666664,158
35.75,157
35.833333333333336,160
35.916666666666664,162
36,158
36.083333333333336,160
36.166666666666664,157
36.25,159
36.333333333333336,157
36.416666666666664,160
36.5,162
36.583333333333336,162
36.666666666666664,159
36.75,159
36.833333333333336,161
36.916666666666664,158
37,163
37.083333333333336,164
37.166666666666664,161
37.25,161
37.333333333333336,160
37.416666666666664,164
37.5,160
37.583333333333336,158
37.666666666666664,163
37.75,159
37.833333333333336,157
37.916666666666664,158
38,161
38.083333333333336,159
38.166666666666664,165
38.25,159
38.333333333333336,163
38.416666666666664,163
38.5,159
38.583333333333336,161
38.666666666666664,162
38.75,160
38.833333333333336,158
38.916666666666664,164
39,158
39.083333333333336,158
39.166666666666664,164
39.25,162
39.333333333333336,162
39.416666666666664,161
39.5,159
39.583333333333336,158
39.666666666666664,163
39.75,162
39.833333333333336,163
39.916666666666664,164
40,164
40.083333333333336,159
40.166666666666664,164
40.25,162
40.333333333333336,162
40.416666666666664,162
40.5,165
40.583333333333336,164
40.666666666666664,163
40.75,163
40.833333333333336,160
40.916666666666664,164
41,160
41.083333333333336,163
41.166666666666664,161
41.25,165
41.333333333333336,159
41.416666666666664,165
41.5,161
41.583333333333336,163
41.666666666666664,162
41.75,164
41.833333333333336,164
41.916666666666664,163
42,162
42.083333333333336,162
42.166666666666664,162
42.25,161
42.333333333333336,164
42.416666666666664,163
42.5,162
42.583333333333336,163
42.666666666666664,164
42.75,164
42.833333333333336,160
42.916666666666664,159
43,166
43.083333333333336,162
43.166666666666664,163
43.25,161
43.416666666666664,162
43.5,163
43.583333333333336,162
43.666666666666664,160
43.75,161
43.833333333333336,164
43.916666666666664,167
44,163
44.083333333333336,162
44.166666666666664,163
44.25,165
44.333333333333336,165
44.416666666666664,166
44.5,167
44.583333333333336,167
44.666666666666664,163
44.75,164
44.833333333333336,164
44.916666666666664,164
45,169
45.083333333333336,166
45.166666666666664,165
45.25,167
45.333333333333336,164
45.416666666666664,167
45.5,165
45.583333333333336,166
45.666666666666664,163
45.75,162
45.833333333333336,164
45.916666666666664,163
46,166
46.083333333333336,168
46.166666666666664,163
46.25,166
46.333333333333336,167
46.416666666666664,163
46.5,162
46.583333333333336,165
46.666666666666664,162
46.75,164
46.833333333333336,165
46.916666666666664,162
47,168
47.083333333333336,162
47.166666666666664,167
47.25,167
47.333333333333336,163
47.416666666666664,168
47.5,164
47.583333333333336,165
47.666666666666664,165
47.75,166
47.833333333333336,163
47.916666666666664,163
