"Hours since thread went live","Kono Subarashii Sekai ni Shukufuku wo! 3 • KONOSUBA -God's Blessing on This Wonderful World! 3 - Episode 1 discussion"
0,8
0,20
0.08333333333333333,51
0.16666666666666666,73
0.25,109
0.3333333333333333,152
0.4166666666666667,184
0.5,227
0.5833333333333334,259
0.6666666666666666,289
0.75,315
0.8333333333333334,341
0.9166666666666666,382
1,411
1.0833333333333333,451
1.1666666666666667,484
1.25,513
1.3333333333333333,545
1.4166666666666667,572
1.5,591
1.5833333333333333,614
1.6666666666666667,638
1.75,669
1.8333333333333333,689
1.9166666666666667,715
2,741
2.0833333333333335,763
2.1666666666666665,793
2.25,816
2.3333333333333335,850
2.4166666666666665,875
2.5,900
2.5833333333333335,918
2.6666666666666665,943
2.75,964
2.8333333333333335,982
2.9166666666666665,1011
3,1030
3.0833333333333335,1056
3.1666666666666665,1079
3.25,1102
3.3333333333333335,1112
3.4166666666666665,1135
3.5,1160
3.5833333333333335,1176
3.6666666666666665,1188
3.75,1215
3.8333333333333335,1232
3.9166666666666665,1250
4,1266
4.083333333333333,1284
4.166666666666667,1292
4.25,1308
4.333333333333333,1329
4.416666666666667,1339
4.5,1357
4.583333333333333,1390
4.666666666666667,1410
4.75,1421
4.833333333333333,1439
4.916666666666667,1457
5,1468
5.083333333333333,1496
5.166666666666667,1504
5.25,1529
5.333333333333333,1536
5.416666666666667,1559
5.5,1580
5.583333333333333,1597
5.666666666666667,1612
5.75,1624
5.833333333333333,1646
5.916666666666667,1654
6,1673
6.083333333333333,1693
6.166666666666667,1706
6.25,1729
6.333333333333333,1741
6.416666666666667,1768
6.5,1774
6.583333333333333,1795
6.666666666666667,1807
6.75,1815
6.833333333333333,1838
6.916666666666667,1841
7,1849
7.083333333333333,1864
7.166666666666667,1878
7.25,1887
7.333333333333333,1891
7.416666666666667,1913
7.5,1920
7.583333333333333,1933
7.666666666666667,1934
7.75,1946
7.833333333333333,1969
7.916666666666667,1972
8,1992
8.083333333333334,2002
8.166666666666666,2013
8.25,2037
8.333333333333334,2048
8.416666666666666,2070
8.5,2077
8.583333333333334,2089
8.666666666666666,2095
8.75,2114
8.833333333333334,2127
8.916666666666666,2137
9,2145
9.083333333333334,2161
9.166666666666666,2175
9.25,2188
9.333333333333334,2193
9.416666666666666,2200
9.5,2215
9.583333333333334,2231
9.666666666666666,2231
9.75,2245
9.833333333333334,2253
9.916666666666666,2266
10,2278
10.083333333333334,2288
10.166666666666666,2305
10.25,2314
10.333333333333334,2325
10.416666666666666,2334
10.5,2346
10.583333333333334,2361
10.666666666666666,2369
10.75,2382
10.833333333333334,2386
10.916666666666666,2402
11,2407
11.083333333333334,2419
11.166666666666666,2420
11.25,2437
11.333333333333334,2443
11.416666666666666,2445
11.5,2462
11.583333333333334,2467
11.666666666666666,2470
11.75,2479
11.833333333333334,2487
11.916666666666666,2494
12,2497
12.083333333333334,2514
12.166666666666666,2525
12.25,2526
12.333333333333334,2542
12.416666666666666,2544
12.5,2549
12.583333333333334,2560
12.666666666666666,2574
12.75,2584
12.833333333333334,2585
12.916666666666666,2589
13,2601
13.083333333333334,2601
13.166666666666666,2607
13.25,2611
13.333333333333334,2615
13.416666666666666,2622
13.5,2629
13.583333333333334,2638
13.666666666666666,2644
13.75,2656
13.833333333333334,2653
13.916666666666666,2669
14,2680
14.083333333333334,2676
14.166666666666666,2684
14.25,2687
14.333333333333334,2685
14.416666666666666,2688
14.5,2702
14.583333333333334,2703
14.666666666666666,2704
14.75,2712
14.833333333333334,2716
14.916666666666666,2720
15,2721
15.083333333333334,2724
15.166666666666666,2731
15.25,2737
15.333333333333334,2732
15.416666666666666,2741
15.5,2753
15.583333333333334,2754
15.666666666666666,2754
15.75,2765
15.833333333333334,2764
15.916666666666666,2770
16,2772
16.083333333333332,2778
16.166666666666668,2779
16.25,2784
16.333333333333332,2789
16.416666666666668,2791
16.5,2806
16.583333333333332,2808
16.666666666666668,2812
16.75,2819
16.833333333333332,2824
16.916666666666668,2827
17,2825
17.083333333333332,2838
17.166666666666668,2840
17.25,2835
17.333333333333332,2839
17.416666666666668,2842
17.5,2846
17.583333333333332,2850
17.666666666666668,2859
17.75,2862
17.833333333333332,2865
17.916666666666668,2862
18,2870
18.083333333333332,2871
18.166666666666668,2874
18.25,2873
18.333333333333332,2882
18.416666666666668,2880
18.5,2886
18.583333333333332,2891
18.666666666666668,2892
18.75,2890
18.833333333333332,2894
18.916666666666668,2904
19,2906
19.083333333333332,2902
19.166666666666668,2912
19.333333333333332,2917
19.416666666666668,2923
19.5,2930
19.583333333333332,2929
19.666666666666668,2938
19.75,2941
19.833333333333332,2940
19.916666666666668,2944
20,2950
20.083333333333332,2950
20.166666666666668,2954
20.25,2957
20.333333333333332,2955
20.416666666666668,2960
20.5,2964
20.583333333333332,2963
20.666666666666668,2968
20.75,2969
20.833333333333332,2971
20.916666666666668,2968
21,2975
21.083333333333332,2982
21.166666666666668,2981
21.25,2990
21.333333333333332,2992
21.416666666666668,2987
21.5,2992
21.583333333333332,2995
21.666666666666668,2999
21.75,3001
21.833333333333332,2998
21.916666666666668,3005
22,3005
22.083333333333332,3007
22.166666666666668,3014
22.25,3015
22.333333333333332,3018
22.416666666666668,3016
22.5,3023
22.583333333333332,3025
22.666666666666668,3025
22.75,3030
22.833333333333332,3031
22.916666666666668,3031
23,3036
23.083333333333332,3042
23.166666666666668,3048
23.25,3054
23.333333333333332,3056
23.416666666666668,3063
23.5,3065
23.583333333333332,3070
23.666666666666668,3071
23.75,3071
23.833333333333332,3072
23.916666666666668,3078
24,3075
24.083333333333332,3082
24.166666666666668,3083
24.25,3084
24.333333333333332,3090
24.416666666666668,3089
24.5,3090
24.583333333333332,3093
24.666666666666668,3094
24.75,3099
24.833333333333332,3100
24.916666666666668,3102
25,3099
25.083333333333332,3102
25.166666666666668,3105
25.25,3110
25.333333333333332,3112
25.416666666666668,3114
25.5,3114
25.583333333333332,3115
25.666666666666668,3121
25.75,3124
25.833333333333332,3120
25.916666666666668,3123
26,3125
26.083333333333332,3125
26.166666666666668,3128
26.25,3129
26.333333333333332,3133
26.416666666666668,3135
26.5,3134
26.583333333333332,3137
26.666666666666668,3138
26.75,3137
26.833333333333332,3138
26.916666666666668,3146
27,3142
27.083333333333332,3142
27.166666666666668,3145
27.25,3155
27.333333333333332,3158
27.416666666666668,3158
27.5,3159
27.583333333333332,3155
27.666666666666668,3157
27.75,3153
27.833333333333332,3154
27.916666666666668,3162
28,3160
28.083333333333332,3157
28.166666666666668,3166
28.25,3166
28.333333333333332,3159
28.416666666666668,3176
28.5,3162
28.583333333333332,3165
28.666666666666668,3173
28.75,3169
28.833333333333332,3168
28.916666666666668,3180
29,3183
29.083333333333332,3182
29.166666666666668,3180
29.25,3181
29.333333333333332,3182
29.416666666666668,3189
29.5,3179
29.583333333333332,3180
29.666666666666668,3189
29.75,3198
29.833333333333332,3194
29.916666666666668,3189
30,3190
30.083333333333332,3189
30.166666666666668,3194
30.25,3193
30.333333333333332,3192
30.416666666666668,3193
30.5,3199
30.583333333333332,3197
30.666666666666668,3197
30.75,3196
30.833333333333332,3194
30.916666666666668,3194
31,3193
31.083333333333332,3201
31.166666666666668,3199
31.25,3208
31.333333333333332,3203
31.416666666666668,3214
31.5,3208
31.583333333333332,3206
31.666666666666668,3219
31.75,3213
31.833333333333332,3222
31.916666666666668,3219
32,3215
32.083333333333336,3221
32.166666666666664,3219
32.25,3211
32.333333333333336,3212
32.416666666666664,3220
32.5,3223
32.583333333333336,3223
32.666666666666664,3221
32.75,3225
32.833333333333336,3226
32.916666666666664,3225
33,3223
33.083333333333336,3229
33.166666666666664,3226
33.25,3224
33.333333333333336,3229
33.416666666666664,3227
33.5,3236
33.583333333333336,3231
33.666666666666664,3229
33.75,3225
33.833333333333336,3237
33.916666666666664,3231
34,3236
34.083333333333336,3228
34.166666666666664,3230
34.25,3234
34.333333333333336,3229
34.416666666666664,3229
34.5,3231
34.583333333333336,3233
34.666666666666664,3237
34.75,3231
34.833333333333336,3232
34.916666666666664,3235
35,3236
35.083333333333336,3237
35.166666666666664,3240
35.25,3239
35.333333333333336,3247
35.416666666666664,3248
35.5,3250
35.583333333333336,3247
35.666666666666664,3253
35.75,3242
35.833333333333336,3257
35.916666666666664,3253
36,3251
36.083333333333336,3255
36.166666666666664,3253
36.25,3254
36.333333333333336,3251
36.416666666666664,3249
36.5,3261
36.583333333333336,3260
36.666666666666664,3264
36.75,3265
36.833333333333336,3262
36.916666666666664,3261
37,3264
37.083333333333336,3267
37.166666666666664,3265
37.25,3262
37.333333333333336,3266
37.416666666666664,3261
37.5,3267
37.583333333333336,3267
37.666666666666664,3269
37.75,3268
37.833333333333336,3268
37.916666666666664,3272
38,3268
38.083333333333336,3270
38.166666666666664,3272
38.25,3269
38.333333333333336,3271
38.416666666666664,3272
38.5,3275
38.583333333333336,3276
38.666666666666664,3279
38.75,3287
38.833333333333336,3279
38.916666666666664,3279
39,3282
39.083333333333336,3274
39.166666666666664,3285
39.25,3277
39.333333333333336,3280
39.416666666666664,3273
39.5,3281
39.583333333333336,3281
39.666666666666664,3281
39.75,3284
39.833333333333336,3285
39.916666666666664,3280
40,3283
40.083333333333336,3288
40.166666666666664,3281
40.25,3288
40.333333333333336,3288
40.416666666666664,3291
40.5,3281
40.583333333333336,3284
40.666666666666664,3292
40.75,3285
40.833333333333336,3290
40.916666666666664,3291
41,3292
41.083333333333336,3294
41.166666666666664,3288
41.25,3290
41.333333333333336,3289
41.416666666666664,3284
41.5,3292
41.583333333333336,3296
41.666666666666664,3292
41.75,3284
41.833333333333336,3293
41.916666666666664,3297
42,3288
42.083333333333336,3300
42.166666666666664,3299
42.25,3295
42.333333333333336,3295
42.416666666666664,3291
42.5,3297
42.583333333333336,3291
42.666666666666664,3291
42.75,3296
42.833333333333336,3289
42.916666666666664,3291
43,3295
43.083333333333336,3292
43.166666666666664,3292
43.25,3300
43.333333333333336,3296
43.416666666666664,3294
43.5,3298
43.583333333333336,3294
43.666666666666664,3296
43.75,3301
43.833333333333336,3290
43.916666666666664,3300
44,3298
44.083333333333336,3298
44.166666666666664,3290
44.25,3294
44.333333333333336,3303
44.416666666666664,3299
44.5,3292
44.583333333333336,3303
44.666666666666664,3298
44.75,3300
44.833333333333336,3304
44.916666666666664,3303
45,3302
45.083333333333336,3300
45.166666666666664,3302
45.25,3301
45.333333333333336,3301
45.416666666666664,3303
45.5,3302
45.583333333333336,3306
45.666666666666664,3298
45.75,3304
45.833333333333336,3301
45.916666666666664,3300
46,3296
46.083333333333336,3310
46.166666666666664,3298
46.25,3299
46.333333333333336,3303
46.416666666666664,3305
46.5,3300
46.583333333333336,3305
46.666666666666664,3310
46.75,3300
46.833333333333336,3306
46.916666666666664,3311
47,3310
47.083333333333336,3312
47.166666666666664,3309
47.25,3305
47.333333333333336,3303
47.416666666666664,3301
47.5,3310
47.583333333333336,3307
47.666666666666664,3310
47.75,3309
47.833333333333336,3314
47.916666666666664,3316
