"Hours since thread went live","Nijiyon Animation Season 2 - Episode 7 discussion"
17.416666666666668,31
17.5,34
17.583333333333332,34
17.666666666666668,31
17.75,34
17.833333333333332,32
17.916666666666668,33
18,31
18.083333333333332,31
18.166666666666668,35
18.25,30
18.333333333333332,34
18.416666666666668,33
18.5,29
18.583333333333332,28
18.666666666666668,31
18.75,34
18.833333333333332,27
18.916666666666668,33
19,33
19.083333333333332,32
19.166666666666668,28
19.25,29
19.333333333333332,28
19.416666666666668,33
19.5,31
19.583333333333332,31
19.666666666666668,27
19.75,28
19.833333333333332,28
19.916666666666668,33
20,34
20.083333333333332,31
20.166666666666668,30
20.25,31
20.333333333333332,33
20.416666666666668,30
20.5,32
20.583333333333332,31
20.666666666666668,29
20.75,31
20.833333333333332,31
20.916666666666668,33
21,30
21.083333333333332,28
21.166666666666668,29
21.25,30
21.333333333333332,29
21.416666666666668,34
21.5,32
21.583333333333332,32
21.666666666666668,30
21.75,28
21.833333333333332,32
21.916666666666668,33
22,28
22.083333333333332,35
22.166666666666668,28
22.25,28
22.333333333333332,27
22.416666666666668,32
22.5,35
22.583333333333332,31
22.666666666666668,35
22.75,28
22.833333333333332,28
22.916666666666668,31
23,29
23.083333333333332,33
23.166666666666668,30
23.25,34
23.333333333333332,33
23.416666666666668,28
23.5,27
23.583333333333332,30
23.666666666666668,32
23.75,30
23.833333333333332,28
23.916666666666668,32
24,30
24.083333333333332,31
24.166666666666668,34
24.25,30
24.333333333333332,30
24.416666666666668,31
24.5,28
24.583333333333332,31
24.666666666666668,31
24.75,33
24.833333333333332,28
24.916666666666668,29
25,33
25.083333333333332,31
25.166666666666668,31
25.25,34
25.333333333333332,31
25.416666666666668,34
25.5,32
25.583333333333332,28
25.666666666666668,31
25.75,30
25.833333333333332,29
25.916666666666668,28
26,30
26.083333333333332,33
26.166666666666668,27
26.25,31
26.333333333333332,33
26.416666666666668,33
26.5,30
26.583333333333332,31
26.666666666666668,27
26.75,32
26.833333333333332,30
26.916666666666668,33
27,32
27.083333333333332,30
27.166666666666668,29
27.25,31
27.333333333333332,31
27.416666666666668,33
27.5,34
27.583333333333332,34
27.666666666666668,31
27.75,28
27.833333333333332,31
27.916666666666668,30
28,31
28.083333333333332,33
28.166666666666668,33
28.25,29
28.333333333333332,29
28.416666666666668,31
28.5,31
28.583333333333332,28
28.666666666666668,35
28.75,33
28.833333333333332,33
28.916666666666668,35
29,34
29.083333333333332,32
29.166666666666668,27
29.25,29
29.333333333333332,31
29.416666666666668,30
29.5,32
29.583333333333332,30
29.666666666666668,30
29.75,34
29.833333333333332,31
29.916666666666668,32
30,34
30.083333333333332,30
30.166666666666668,34
30.25,29
30.333333333333332,31
30.416666666666668,31
30.5,27
30.583333333333332,30
30.666666666666668,33
30.75,35
30.833333333333332,32
30.916666666666668,32
31,34
31.083333333333332,36
31.166666666666668,32
31.25,34
31.333333333333332,35
31.416666666666668,32
31.5,33
31.583333333333332,35
31.666666666666668,34
31.75,36
31.833333333333332,33
31.916666666666668,32
32,31
32.083333333333336,32
32.166666666666664,31
32.25,32
32.333333333333336,35
32.416666666666664,34
32.5,30
32.583333333333336,34
32.666666666666664,28
32.75,29
32.833333333333336,33
32.916666666666664,31
33,31
33.083333333333336,33
33.166666666666664,33
33.25,31
33.333333333333336,33
33.416666666666664,30
33.5,32
33.583333333333336,34
33.666666666666664,29
33.75,30
33.833333333333336,31
33.916666666666664,31
34,30
34.083333333333336,30
34.166666666666664,34
34.25,33
34.333333333333336,35
34.416666666666664,30
34.5,33
34.583333333333336,33
34.666666666666664,33
34.75,33
34.833333333333336,34
34.916666666666664,33
35,34
35.083333333333336,31
35.166666666666664,32
35.25,34
35.333333333333336,34
35.416666666666664,32
35.5,32
35.583333333333336,36
35.666666666666664,32
35.75,37
35.833333333333336,31
35.916666666666664,31
36,30
36.083333333333336,32
36.166666666666664,33
36.25,36
36.333333333333336,35
36.416666666666664,33
36.5,34
36.583333333333336,33
36.666666666666664,32
36.75,34
36.833333333333336,31
36.916666666666664,36
37,32
37.083333333333336,35
37.166666666666664,32
37.25,31
37.333333333333336,35
37.416666666666664,35
37.5,35
37.583333333333336,33
37.666666666666664,35
37.75,35
37.833333333333336,35
37.916666666666664,30
38,33
38.083333333333336,33
38.166666666666664,31
38.25,33
38.333333333333336,31
38.416666666666664,31
38.5,34
38.583333333333336,33
38.666666666666664,31
38.75,34
38.833333333333336,35
38.916666666666664,32
39,37
39.083333333333336,37
39.166666666666664,35
39.25,34
39.333333333333336,32
39.416666666666664,38
39.5,35
39.583333333333336,33
39.666666666666664,35
39.75,33
39.833333333333336,34
39.916666666666664,35
40,33
40.083333333333336,32
40.166666666666664,32
40.25,36
40.333333333333336,35
40.416666666666664,38
40.5,36
40.583333333333336,33
40.666666666666664,35
40.75,32
40.833333333333336,30
40.916666666666664,31
41,32
41.083333333333336,31
41.166666666666664,35
41.25,33
41.333333333333336,38
41.416666666666664,32
41.5,36
41.583333333333336,32
41.666666666666664,34
41.75,38
41.833333333333336,34
41.916666666666664,32
42,37
42.083333333333336,32
42.166666666666664,35
42.25,33
42.333333333333336,37
42.416666666666664,35
42.5,33
42.583333333333336,31
42.666666666666664,30
42.75,31
42.833333333333336,37
42.916666666666664,33
43,36
43.083333333333336,31
43.166666666666664,32
43.25,36
43.333333333333336,31
43.416666666666664,33
43.5,33
43.583333333333336,35
43.666666666666664,35
43.75,33
43.833333333333336,35
43.916666666666664,33
44,34
44.083333333333336,37
44.166666666666664,33
44.25,34
44.333333333333336,35
44.416666666666664,38
44.5,37
44.583333333333336,33
44.666666666666664,34
44.75,35
44.833333333333336,36
44.916666666666664,30
45,32
45.083333333333336,33
45.166666666666664,34
45.25,33
45.333333333333336,30
45.416666666666664,35
45.5,34
45.583333333333336,31
45.666666666666664,37
45.75,36
45.833333333333336,34
45.916666666666664,34
46,34
46.083333333333336,35
46.166666666666664,35
46.25,31
46.333333333333336,36
46.416666666666664,34
46.5,36
46.583333333333336,33
46.666666666666664,32
46.75,33
46.833333333333336,34
46.916666666666664,36
47,37
47.083333333333336,33
47.166666666666664,32
47.25,34
47.333333333333336,35
47.416666666666664,34
47.5,31
47.583333333333336,32
47.666666666666664,30
47.75,33
47.833333333333336,35
47.916666666666664,34
