"Hours since thread went live","Dekisokonai to Yobareta Moto Eiyuu wa, Jikka kara Tsuihou Sareta no de Suki Katte ni Ikiru Koto ni Shita • The Banished Former Hero Lives as He Pleases - Episode 1 discussion"
38.416666666666664,96
38.5,96
38.583333333333336,97
38.666666666666664,96
38.75,96
38.833333333333336,95
38.916666666666664,98
39,96
39.083333333333336,93
39.166666666666664,95
39.25,92
39.333333333333336,92
39.416666666666664,98
39.5,93
39.583333333333336,98
39.666666666666664,100
39.75,99
39.833333333333336,97
39.916666666666664,100
40,96
40.083333333333336,97
40.166666666666664,97
40.25,99
40.333333333333336,94
40.416666666666664,97
40.5,94
40.583333333333336,97
40.666666666666664,96
40.75,96
40.833333333333336,97
40.916666666666664,96
41,100
41.083333333333336,97
41.166666666666664,97
41.25,99
41.333333333333336,94
41.416666666666664,97
41.5,97
41.583333333333336,99
41.666666666666664,97
41.75,96
41.833333333333336,98
41.916666666666664,100
42,94
42.083333333333336,97
42.166666666666664,99
42.25,96
42.333333333333336,96
42.416666666666664,94
42.5,97
42.583333333333336,96
42.666666666666664,95
42.75,97
42.833333333333336,98
42.916666666666664,100
43,100
43.083333333333336,96
43.166666666666664,95
43.25,98
43.333333333333336,97
43.416666666666664,96
43.5,98
43.583333333333336,98
43.666666666666664,97
43.75,100
43.833333333333336,102
43.916666666666664,98
44,95
44.083333333333336,95
44.166666666666664,99
44.25,99
44.333333333333336,98
44.416666666666664,95
44.5,99
44.583333333333336,96
44.666666666666664,96
44.75,100
44.833333333333336,96
44.916666666666664,102
45,99
45.083333333333336,100
45.166666666666664,97
45.25,99
45.333333333333336,96
45.416666666666664,102
45.5,99
45.583333333333336,97
45.666666666666664,99
45.75,94
45.833333333333336,98
45.916666666666664,96
46,96
46.083333333333336,98
46.166666666666664,96
46.25,100
46.333333333333336,101
46.416666666666664,99
46.5,95
46.583333333333336,101
46.666666666666664,95
46.75,98
46.833333333333336,99
46.916666666666664,96
47,97
47.083333333333336,99
47.166666666666664,97
47.25,99
47.333333333333336,99
47.416666666666664,96
47.5,99
47.583333333333336,99
47.666666666666664,100
47.75,98
47.833333333333336,98
47.916666666666664,100
