"Hours since thread went live","Nozomanu Fushi no Boukensha • The Unwanted Undead Adventurer - Episode 10 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,3
0.25,4
0.3333333333333333,5
0.4166666666666667,7
0.5,7
0.5833333333333334,11
0.6666666666666666,11
0.75,14
0.8333333333333334,16
0.9166666666666666,18
1,21
1.0833333333333333,24
1.1666666666666667,29
1.25,29
1.3333333333333333,29
1.4166666666666667,33
1.5,36
1.5833333333333333,42
1.6666666666666667,40
1.75,46
1.8333333333333333,48
1.9166666666666667,50
2,55
2.0833333333333335,55
2.1666666666666665,60
2.25,65
2.3333333333333335,67
2.4166666666666665,74
2.5,78
2.5833333333333335,83
2.6666666666666665,82
2.75,85
2.8333333333333335,92
2.9166666666666665,92
3,92
3.0833333333333335,92
3.1666666666666665,98
3.25,105
3.3333333333333335,106
3.4166666666666665,109
3.5,109
3.5833333333333335,113
3.6666666666666665,120
3.75,120
3.8333333333333335,124
3.9166666666666665,122
4,127
4.083333333333333,127
4.166666666666667,133
4.25,129
4.333333333333333,134
4.416666666666667,142
4.5,144
4.583333333333333,149
4.666666666666667,149
4.75,153
4.833333333333333,154
4.916666666666667,162
5,163
5.083333333333333,170
5.166666666666667,174
5.25,174
5.333333333333333,170
5.416666666666667,174
5.5,175
5.583333333333333,177
5.666666666666667,184
5.75,184
5.833333333333333,185
5.916666666666667,194
6,190
6.083333333333333,199
6.166666666666667,197
6.25,206
6.333333333333333,209
6.416666666666667,210
6.5,212
6.583333333333333,212
6.666666666666667,214
6.75,211
6.833333333333333,211
6.916666666666667,217
7,219
7.083333333333333,225
7.166666666666667,219
7.25,225
7.333333333333333,224
7.416666666666667,225
7.5,232
7.583333333333333,232
7.666666666666667,234
7.75,236
7.833333333333333,240
7.916666666666667,237
8,239
8.083333333333334,241
8.166666666666666,238
8.25,240
8.333333333333334,250
8.416666666666666,242
8.5,248
8.583333333333334,253
8.666666666666666,256
8.75,253
8.833333333333334,257
8.916666666666666,261
9,259
9.083333333333334,258
9.166666666666666,260
9.25,261
9.333333333333334,263
9.416666666666666,268
9.5,271
9.583333333333334,271
9.666666666666666,277
9.75,279
9.833333333333334,280
9.916666666666666,281
10,281
10.083333333333334,285
10.166666666666666,282
10.25,284
10.333333333333334,287
10.416666666666666,289
10.5,291
10.583333333333334,291
10.666666666666666,293
10.75,292
10.833333333333334,296
10.916666666666666,298
11,297
11.083333333333334,299
11.166666666666666,302
11.25,301
11.333333333333334,302
11.416666666666666,309
11.5,309
11.583333333333334,307
11.666666666666666,312
11.75,318
11.833333333333334,315
11.916666666666666,318
12,321
12.083333333333334,316
12.166666666666666,316
12.25,320
12.333333333333334,322
12.416666666666666,321
12.5,330
12.583333333333334,324
12.666666666666666,327
12.75,329
12.833333333333334,323
12.916666666666666,330
13,335
13.083333333333334,331
13.166666666666666,332
13.25,335
13.333333333333334,334
13.416666666666666,334
13.5,341
13.583333333333334,336
13.666666666666666,341
13.75,334
13.833333333333334,342
13.916666666666666,338
14,340
14.083333333333334,351
14.166666666666666,346
14.25,348
14.333333333333334,347
14.416666666666666,343
14.5,350
14.583333333333334,358
14.666666666666666,353
14.75,350
14.833333333333334,357
14.916666666666666,357
15,359
15.083333333333334,354
15.166666666666666,361
15.25,362
15.333333333333334,366
15.416666666666666,358
15.5,369
15.583333333333334,368
15.666666666666666,368
15.75,370
15.833333333333334,365
15.916666666666666,368
16,366
16.083333333333332,371
16.166666666666668,377
16.25,372
16.333333333333332,381
16.416666666666668,376
16.5,380
16.583333333333332,374
16.666666666666668,384
16.75,380
16.833333333333332,380
16.916666666666668,378
17,377
17.083333333333332,387
17.166666666666668,387
17.25,382
17.333333333333332,388
17.416666666666668,388
17.5,391
17.583333333333332,394
17.666666666666668,390
17.75,391
17.833333333333332,389
17.916666666666668,392
18,391
18.083333333333332,394
18.166666666666668,395
18.25,391
18.333333333333332,392
18.416666666666668,392
18.5,396
18.583333333333332,395
18.666666666666668,391
18.75,402
18.833333333333332,403
18.916666666666668,401
19,405
19.083333333333332,402
19.166666666666668,403
19.25,402
19.333333333333332,407
19.416666666666668,406
19.5,406
19.583333333333332,405
19.666666666666668,410
19.75,404
19.833333333333332,407
19.916666666666668,408
20,405
20.083333333333332,404
20.166666666666668,412
20.25,407
20.333333333333332,408
20.416666666666668,413
20.5,415
20.583333333333332,416
20.666666666666668,418
20.75,415
20.833333333333332,418
20.916666666666668,415
21,418
21.083333333333332,411
21.166666666666668,416
21.25,421
21.333333333333332,414
21.416666666666668,416
21.5,422
21.583333333333332,420
