"Hours since thread went live","Mahou Shoujo ni Akogarete • Gushing over Magical Girls - Episode 10 discussion"
0,4
0,15
0.08333333333333333,28
0.16666666666666666,43
0.25,47
0.3333333333333333,58
0.4166666666666667,74
0.5,88
0.5833333333333334,98
0.6666666666666666,109
0.75,129
0.8333333333333334,147
0.9166666666666666,165
1,190
1.0833333333333333,206
1.1666666666666667,215
1.25,227
1.3333333333333333,251
1.4166666666666667,271
1.5,287
1.5833333333333333,307
1.6666666666666667,316
1.75,328
1.8333333333333333,345
1.9166666666666667,350
2,364
2.0833333333333335,378
2.1666666666666665,398
2.25,406
2.3333333333333335,420
2.4166666666666665,441
2.5,447
2.5833333333333335,463
2.6666666666666665,472
2.75,490
2.8333333333333335,506
2.9166666666666665,510
3,522
3.0833333333333335,531
3.1666666666666665,537
3.25,543
3.3333333333333335,547
3.4166666666666665,562
3.5,566
3.5833333333333335,582
3.6666666666666665,603
3.75,609
3.8333333333333335,620
3.9166666666666665,627
4,641
4.083333333333333,647
4.166666666666667,650
4.25,665
4.333333333333333,681
4.416666666666667,692
4.5,690
4.583333333333333,699
4.666666666666667,705
4.75,720
4.833333333333333,733
4.916666666666667,736
5,747
5.083333333333333,754
5.166666666666667,765
5.25,773
5.333333333333333,789
5.416666666666667,793
5.5,796
5.583333333333333,803
5.666666666666667,809
5.75,812
5.833333333333333,829
5.916666666666667,840
6,850
6.083333333333333,859
6.166666666666667,864
6.25,875
6.333333333333333,887
6.416666666666667,890
6.5,895
6.583333333333333,911
6.666666666666667,910
6.75,917
6.833333333333333,934
6.916666666666667,940
7,950
7.083333333333333,952
7.166666666666667,964
7.25,966
7.333333333333333,973
7.416666666666667,978
7.5,991
7.583333333333333,994
7.666666666666667,1000
7.75,1006
7.833333333333333,1021
7.916666666666667,1025
8,1029
8.083333333333334,1034
8.166666666666666,1039
8.25,1048
8.333333333333334,1051
8.416666666666666,1067
8.5,1071
8.583333333333334,1073
8.666666666666666,1082
8.75,1091
8.833333333333334,1094
8.916666666666666,1112
9,1111
9.083333333333334,1116
9.166666666666666,1117
9.25,1128
9.333333333333334,1127
9.416666666666666,1143
9.5,1144
9.583333333333334,1149
9.666666666666666,1155
9.75,1162
9.833333333333334,1170
9.916666666666666,1182
10,1193
10.083333333333334,1199
10.166666666666666,1199
10.25,1208
10.333333333333334,1205
10.416666666666666,1212
10.5,1221
10.583333333333334,1230
10.666666666666666,1242
10.75,1250
10.833333333333334,1258
10.916666666666666,1254
11,1262
11.083333333333334,1268
11.166666666666666,1276
11.25,1275
11.333333333333334,1281
11.416666666666666,1284
11.5,1294
11.583333333333334,1295
11.666666666666666,1300
11.75,1299
11.833333333333334,1303
11.916666666666666,1311
12,1319
12.083333333333334,1312
12.166666666666666,1325
12.25,1331
12.333333333333334,1333
12.416666666666666,1344
12.5,1342
12.583333333333334,1346
12.666666666666666,1355
12.75,1354
