"Hours since thread went live","Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e Season 3 • Classroom of the Elite Season 3 - Episode 12 discussion"
0,1
0.08333333333333333,2
0.16666666666666666,3
0.25,5
0.3333333333333333,9
0.4166666666666667,12
0.5,19
0.5833333333333334,25
0.6666666666666666,27
0.75,35
0.8333333333333334,44
0.9166666666666666,49
1,55
1.0833333333333333,61
1.1666666666666667,68
1.25,77
1.3333333333333333,84
1.4166666666666667,87
1.5,96
1.5833333333333333,102
1.6666666666666667,109
1.75,119
1.8333333333333333,123
1.9166666666666667,128
2,132
2.0833333333333335,141
2.1666666666666665,145
2.25,149
2.3333333333333335,155
2.4166666666666665,160
2.5,168
2.5833333333333335,173
2.6666666666666665,177
2.75,181
2.8333333333333335,189
2.9166666666666665,194
3,198
3.0833333333333335,200
3.1666666666666665,207
3.25,214
3.3333333333333335,224
3.4166666666666665,227
3.5,237
3.5833333333333335,239
3.6666666666666665,247
3.75,253
3.8333333333333335,255
3.9166666666666665,257
4,266
4.083333333333333,267
4.166666666666667,274
4.25,283
4.333333333333333,286
4.416666666666667,294
4.5,298
4.583333333333333,303
4.666666666666667,309
4.75,312
4.833333333333333,313
4.916666666666667,313
5,322
5.083333333333333,323
5.166666666666667,322
5.25,329
5.333333333333333,329
5.416666666666667,332
5.5,338
5.583333333333333,340
5.666666666666667,346
5.75,349
5.833333333333333,347
5.916666666666667,353
6,360
6.083333333333333,361
6.166666666666667,366
6.25,370
6.333333333333333,377
6.416666666666667,380
6.5,381
6.583333333333333,383
6.666666666666667,386
6.75,394
6.833333333333333,393
6.916666666666667,398
7,404
7.083333333333333,415
7.166666666666667,413
7.25,412
7.333333333333333,422
7.416666666666667,422
7.5,432
7.583333333333333,434
7.666666666666667,438
7.75,430
7.833333333333333,435
7.916666666666667,443
8,442
8.083333333333334,446
8.166666666666666,456
8.25,449
8.333333333333334,461
8.416666666666666,465
8.5,470
8.583333333333334,477
8.666666666666666,477
8.75,481
8.833333333333334,479
8.916666666666666,479
9,478
9.083333333333334,482
9.166666666666666,488
9.25,489
9.333333333333334,495
9.416666666666666,503
9.5,502
9.583333333333334,502
9.666666666666666,501
9.75,514
9.833333333333334,509
9.916666666666666,522
10,525
10.083333333333334,526
10.166666666666666,530
10.25,530
10.333333333333334,535
10.416666666666666,539
10.5,540
10.583333333333334,549
10.666666666666666,550
10.75,559
10.833333333333334,555
10.916666666666666,556
11,563
11.083333333333334,569
11.166666666666666,568
11.25,570
11.333333333333334,577
11.416666666666666,575
11.5,577
11.583333333333334,583
11.666666666666666,584
11.75,581
11.833333333333334,588
11.916666666666666,591
12,598
12.083333333333334,602
12.166666666666666,608
12.25,612
12.333333333333334,610
12.416666666666666,617
12.5,620
12.583333333333334,623
12.666666666666666,627
12.75,626
12.833333333333334,633
12.916666666666666,632
13,631
13.083333333333334,635
13.166666666666666,631
13.25,633
13.333333333333334,634
13.416666666666666,639
13.5,642
13.583333333333334,635
13.666666666666666,642
13.75,639
13.833333333333334,649
13.916666666666666,652
14,653
14.083333333333334,653
14.166666666666666,653
14.25,658
14.333333333333334,662
14.416666666666666,659
14.5,672
14.583333333333334,667
14.666666666666666,674
14.75,676
14.833333333333334,678
14.916666666666666,675
15,675
15.083333333333334,684
15.166666666666666,679
15.25,681
15.333333333333334,685
15.416666666666666,683
15.5,677
15.583333333333334,680
15.666666666666666,680
15.75,692
15.833333333333334,684
15.916666666666666,689
16,686
16.083333333333332,686
16.166666666666668,693
16.25,691
16.333333333333332,695
16.416666666666668,688
16.5,690
16.583333333333332,693
16.666666666666668,695
16.75,695
16.833333333333332,696
16.916666666666668,699
17,699
17.083333333333332,693
17.166666666666668,698
17.25,700
17.333333333333332,700
17.416666666666668,697
17.5,701
17.583333333333332,700
17.666666666666668,703
17.75,703
17.833333333333332,703
17.916666666666668,706
18,704
18.083333333333332,708
18.166666666666668,711
18.25,714
18.333333333333332,710
18.416666666666668,707
18.5,714
18.583333333333332,713
18.666666666666668,709
18.75,716
18.833333333333332,712
18.916666666666668,714
19,716
19.083333333333332,714
19.166666666666668,717
19.25,725
19.333333333333332,721
19.416666666666668,721
19.5,720
19.583333333333332,721
19.666666666666668,723
19.75,728
19.833333333333332,723
19.916666666666668,724
20,722
20.083333333333332,726
20.166666666666668,730
20.25,726
20.333333333333332,720
20.416666666666668,726
20.5,727
20.583333333333332,727
20.666666666666668,730
20.75,732
20.833333333333332,733
20.916666666666668,730
21,738
21.083333333333332,730
21.166666666666668,738
21.25,733
21.333333333333332,739
21.416666666666668,740
