"Hours since thread went live","Kage no Jitsuryokusha ni Naritakute! Season 2 • The Eminence in Shadow Season 2 - Episode 2 discussion"
0,1
0,1
0.08333333333333333,9
0.16666666666666666,17
0.25,33
0.3333333333333333,44
0.4166666666666667,63
0.5,86
0.5833333333333334,97
0.6666666666666666,116
0.75,139
0.8333333333333334,155
0.9166666666666666,173
1,192
1.0833333333333333,208
1.1666666666666667,226
1.25,244
1.3333333333333333,279
1.4166666666666667,299
1.5,327
1.5833333333333333,346
1.6666666666666667,361
1.75,386
1.8333333333333333,412
1.9166666666666667,429
2,450
2.0833333333333335,472
2.1666666666666665,480
2.25,492
2.3333333333333335,503
2.4166666666666665,529
2.5,548
2.5833333333333335,560
2.6666666666666665,579
2.75,596
2.8333333333333335,618
2.9166666666666665,635
3,664
3.0833333333333335,679
3.1666666666666665,701
3.25,718
3.3333333333333335,725
3.4166666666666665,748
3.5,760
3.5833333333333335,775
3.6666666666666665,795
3.75,813
3.8333333333333335,831
3.9166666666666665,852
4,870
4.083333333333333,887
4.166666666666667,900
4.25,927
4.333333333333333,946
4.416666666666667,958
4.5,977
4.583333333333333,993
4.666666666666667,1012
4.75,1024
4.833333333333333,1037
4.916666666666667,1061
5,1077
5.083333333333333,1083
5.166666666666667,1092
5.25,1106
5.333333333333333,1113
5.416666666666667,1130
5.5,1145
5.583333333333333,1156
5.666666666666667,1169
5.75,1175
5.833333333333333,1194
5.916666666666667,1211
6,1226
6.083333333333333,1236
6.166666666666667,1242
6.25,1266
6.333333333333333,1280
6.416666666666667,1301
6.5,1306
6.583333333333333,1326
6.666666666666667,1335
6.75,1342
6.833333333333333,1356
6.916666666666667,1373
7,1379
7.083333333333333,1399
7.166666666666667,1410
7.25,1423
7.333333333333333,1429
7.416666666666667,1434
7.5,1447
7.583333333333333,1453
7.666666666666667,1468
7.75,1480
7.833333333333333,1483
7.916666666666667,1495
8,1509
8.083333333333334,1513
8.166666666666666,1522
8.25,1526
8.333333333333334,1537
8.416666666666666,1556
8.5,1563
8.583333333333334,1578
8.666666666666666,1576
8.75,1583
8.833333333333334,1598
8.916666666666666,1602
9,1615
9.083333333333334,1627
9.166666666666666,1630
9.25,1644
9.333333333333334,1653
9.416666666666666,1662
9.5,1658
9.583333333333334,1679
9.666666666666666,1689
9.75,1695
9.833333333333334,1704
9.916666666666666,1704
10,1713
10.083333333333334,1720
10.166666666666666,1733
10.25,1745
10.333333333333334,1744
10.416666666666666,1760
10.5,1773
10.583333333333334,1771
10.666666666666666,1780
10.75,1793
10.833333333333334,1797
10.916666666666666,1800
11,1805
11.083333333333334,1816
11.166666666666666,1828
11.25,1829
11.333333333333334,1830
11.416666666666666,1843
11.5,1853
11.583333333333334,1859
11.666666666666666,1860
11.75,1871
11.833333333333334,1875
11.916666666666666,1878
12,1889
12.083333333333334,1896
12.166666666666666,1900
12.25,1902
12.333333333333334,1911
12.416666666666666,1920
12.5,1925
12.583333333333334,1929
12.666666666666666,1940
12.75,1939
12.833333333333334,1945
12.916666666666666,1953
13,1952
13.083333333333334,1965
13.166666666666666,1971
13.25,1974
13.333333333333334,1981
13.416666666666666,1986
13.5,1992
13.583333333333334,1994
13.666666666666666,1999
13.75,2009
13.833333333333334,2010
13.916666666666666,2021
14,2023
14.083333333333334,2028
14.166666666666666,2030
14.25,2045
14.333333333333334,2047
14.416666666666666,2048
14.5,2057
14.583333333333334,2054
14.666666666666666,2060
14.75,2063
14.833333333333334,2066
14.916666666666666,2077
15,2079
15.083333333333334,2076
15.166666666666666,2082
15.25,2085
15.333333333333334,2084
15.416666666666666,2090
15.5,2097
15.583333333333334,2095
15.666666666666666,2097
15.75,2110
15.833333333333334,2113
15.916666666666666,2118
16,2122
16.083333333333332,2130
16.166666666666668,2127
16.25,2129
16.333333333333332,2137
16.416666666666668,2136
16.5,2142
16.583333333333332,2150
16.666666666666668,2148
16.75,2148
16.833333333333332,2151
16.916666666666668,2157
17,2156
17.083333333333332,2169
17.166666666666668,2165
17.25,2172
17.333333333333332,2174
17.416666666666668,2175
17.5,2177
17.583333333333332,2183
17.666666666666668,2188
17.75,2192
17.833333333333332,2192
17.916666666666668,2192
18,2202
18.083333333333332,2204
18.166666666666668,2206
18.25,2208
18.333333333333332,2217
18.416666666666668,2217
18.5,2226
18.583333333333332,2223
18.666666666666668,2230
18.75,2236
18.833333333333332,2240
18.916666666666668,2247
19,2248
19.083333333333332,2244
19.166666666666668,2255
19.25,2258
19.333333333333332,2254
19.416666666666668,2261
19.5,2259
19.583333333333332,2263
19.666666666666668,2269
19.75,2272
19.833333333333332,2269
19.916666666666668,2279
20,2283
20.083333333333332,2281
20.166666666666668,2280
20.25,2280
20.333333333333332,2284
20.416666666666668,2287
20.5,2294
20.583333333333332,2286
20.666666666666668,2297
20.75,2299
20.833333333333332,2303
20.916666666666668,2300
21,2305
21.083333333333332,2303
21.166666666666668,2305
21.25,2310
21.333333333333332,2314
21.416666666666668,2319
21.5,2318
21.583333333333332,2313
21.666666666666668,2323
21.75,2324
21.833333333333332,2328
21.916666666666668,2330
22,2332
22.083333333333332,2337
22.166666666666668,2336
22.25,2341
22.333333333333332,2340
22.416666666666668,2349
22.5,2351
22.583333333333332,2349
22.666666666666668,2356
22.75,2351
22.833333333333332,2360
22.916666666666668,2358
23,2356
23.083333333333332,2354
23.166666666666668,2369
23.25,2360
23.333333333333332,2371
23.416666666666668,2366
23.5,2376
23.583333333333332,2378
23.666666666666668,2371
23.75,2378
23.833333333333332,2373
23.916666666666668,2381
24,2382
24.083333333333332,2384
24.166666666666668,2385
24.25,2389
24.333333333333332,2384
24.416666666666668,2392
24.5,2396
24.583333333333332,2396
24.666666666666668,2397
24.75,2409
24.833333333333332,2405
24.916666666666668,2406
25,2408
25.083333333333332,2412
25.166666666666668,2409
25.25,2411
25.333333333333332,2419
25.416666666666668,2422
25.5,2427
25.583333333333332,2434
25.666666666666668,2427
25.75,2434
25.833333333333332,2439
25.916666666666668,2437
26,2439
26.083333333333332,2444
26.166666666666668,2443
26.25,2445
26.333333333333332,2446
26.416666666666668,2449
26.5,2450
26.583333333333332,2456
26.666666666666668,2462
26.75,2465
26.833333333333332,2469
26.916666666666668,2466
27,2463
27.083333333333332,2465
27.166666666666668,2463
27.25,2463
27.333333333333332,2469
27.416666666666668,2467
27.5,2469
27.583333333333332,2466
27.666666666666668,2469
27.75,2468
27.833333333333332,2472
27.916666666666668,2473
28,2475
28.083333333333332,2477
28.166666666666668,2473
28.25,2473
28.333333333333332,2473
28.416666666666668,2476
28.5,2475
28.583333333333332,2473
28.666666666666668,2480
28.75,2483
28.833333333333332,2486
28.916666666666668,2486
29,2490
29.083333333333332,2492
29.166666666666668,2494
29.25,2489
29.333333333333332,2497
29.416666666666668,2497
29.5,2500
29.583333333333332,2496
29.666666666666668,2495
29.75,2493
29.833333333333332,2501
29.916666666666668,2503
30,2508
30.083333333333332,2503
30.166666666666668,2500
30.25,2502
30.333333333333332,2509
30.416666666666668,2515
30.5,2512
30.583333333333332,2504
30.666666666666668,2507
30.75,2508
30.833333333333332,2512
30.916666666666668,2509
31,2514
31.083333333333332,2516
31.166666666666668,2508
31.25,2515
31.333333333333332,2512
31.416666666666668,2517
31.5,2524
31.583333333333332,2519
31.666666666666668,2519
31.75,2526
31.833333333333332,2523
31.916666666666668,2522
32,2521
32.083333333333336,2522
32.166666666666664,2523
32.25,2526
32.333333333333336,2523
32.416666666666664,2527
32.5,2525
32.583333333333336,2530
32.666666666666664,2534
32.75,2532
32.833333333333336,2534
32.916666666666664,2536
33,2531
33.083333333333336,2528
33.166666666666664,2531
33.25,2535
33.333333333333336,2538
33.416666666666664,2539
33.5,2536
33.583333333333336,2537
33.666666666666664,2539
33.75,2543
33.833333333333336,2542
33.916666666666664,2541
34,2547
34.083333333333336,2549
34.166666666666664,2544
34.25,2545
34.333333333333336,2548
34.416666666666664,2546
34.5,2548
34.583333333333336,2544
34.666666666666664,2554
34.75,2548
34.833333333333336,2551
34.916666666666664,2553
35,2555
35.083333333333336,2557
35.166666666666664,2559
