"Hours since thread went live","Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou sareru • The Strongest Tank's Labyrinth Raids: A Tank with a Rare 9999 Resistance Skill Got Kicked from the Hero's Party - Episode 8 discussion"
0,0
0.08333333333333333,1
0.16666666666666666,0
0.25,2
0.3333333333333333,3
0.4166666666666667,5
0.5,8
0.5833333333333334,8
0.6666666666666666,10
0.75,13
0.8333333333333334,16
0.9166666666666666,17
1,18
1.0833333333333333,18
1.1666666666666667,18
1.25,21
1.3333333333333333,21
1.4166666666666667,23
1.5,23
1.5833333333333333,22
1.6666666666666667,22
1.75,24
1.8333333333333333,23
1.9166666666666667,26
2,27
2.0833333333333335,28
2.1666666666666665,29
2.25,31
2.3333333333333335,29
2.4166666666666665,28
2.5,33
2.5833333333333335,36
2.6666666666666665,35
2.75,38
2.8333333333333335,44
2.9166666666666665,44
3,43
3.0833333333333335,42
3.1666666666666665,45
3.25,44
3.3333333333333335,48
3.4166666666666665,47
3.5,50
3.5833333333333335,49
3.6666666666666665,52
3.75,53
3.8333333333333335,55
3.9166666666666665,58
4,54
4.083333333333333,57
4.166666666666667,59
4.25,55
4.333333333333333,57
4.416666666666667,58
4.5,58
4.583333333333333,58
4.666666666666667,58
4.75,63
4.833333333333333,57
4.916666666666667,61
5,62
5.083333333333333,65
5.166666666666667,66
5.25,69
5.333333333333333,70
5.416666666666667,64
5.5,67
5.583333333333333,70
5.666666666666667,69
5.75,68
5.833333333333333,69
5.916666666666667,76
6,72
6.083333333333333,75
6.166666666666667,72
6.25,77
6.333333333333333,79
6.416666666666667,81
6.5,81
6.583333333333333,80
6.666666666666667,78
6.75,78
6.833333333333333,82
6.916666666666667,78
7,79
7.083333333333333,81
7.166666666666667,76
7.25,83
7.333333333333333,79
7.416666666666667,80
7.5,82
7.583333333333333,82
7.666666666666667,84
7.75,82
7.833333333333333,84
7.916666666666667,88
8,80
8.083333333333334,82
8.166666666666666,85
8.25,85
8.333333333333334,81
8.416666666666666,86
8.5,84
8.583333333333334,83
8.666666666666666,82
8.75,86
8.833333333333334,86
8.916666666666666,87
9,84
9.083333333333334,88
9.166666666666666,88
9.25,92
9.333333333333334,91
9.416666666666666,90
9.5,88
9.583333333333334,88
9.666666666666666,87
9.75,86
9.833333333333334,90
9.916666666666666,86
10,89
10.083333333333334,92
10.166666666666666,89
10.25,88
10.333333333333334,89
10.416666666666666,89
