"Hours since thread went live","Tensei Kizoku, Kantei Skill de Nariagaru • As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World - Episode 8 discussion"
0,2
0,2
0.08333333333333333,3
0.16666666666666666,4
0.25,9
0.3333333333333333,10
0.4166666666666667,15
0.5,17
0.5833333333333334,17
0.6666666666666666,22
0.75,24
0.8333333333333334,24
0.9166666666666666,26
1,29
1.0833333333333333,31
1.1666666666666667,33
1.25,33
1.3333333333333333,35
1.4166666666666667,35
1.5,37
1.5833333333333333,42
1.6666666666666667,43
1.75,49
1.8333333333333333,54
1.9166666666666667,56
2,59
2.0833333333333335,64
2.1666666666666665,66
2.25,68
2.3333333333333335,72
2.4166666666666665,75
2.5,80
2.5833333333333335,83
2.6666666666666665,87
2.75,89
2.8333333333333335,92
2.9166666666666665,90
3,99
3.0833333333333335,99
3.1666666666666665,100
3.25,108
3.3333333333333335,110
3.4166666666666665,112
3.5,115
3.5833333333333335,117
3.6666666666666665,121
3.75,122
3.8333333333333335,126
3.9166666666666665,128
4,130
4.083333333333333,129
4.166666666666667,129
4.25,133
4.333333333333333,136
4.416666666666667,133
4.5,136
4.583333333333333,137
4.666666666666667,142
4.75,138
4.833333333333333,139
4.916666666666667,138
5,143
5.083333333333333,144
5.166666666666667,143
5.25,152
5.333333333333333,151
5.416666666666667,148
5.5,149
5.583333333333333,154
5.666666666666667,149
5.75,154
5.833333333333333,155
5.916666666666667,153
6,159
6.083333333333333,157
6.166666666666667,163
6.25,163
6.333333333333333,166
6.416666666666667,166
6.5,172
6.583333333333333,167
6.666666666666667,177
6.75,175
6.833333333333333,182
6.916666666666667,183
7,187
7.083333333333333,182
7.166666666666667,189
7.25,188
7.333333333333333,189
7.416666666666667,192
7.5,188
7.583333333333333,191
7.666666666666667,191
7.75,192
7.833333333333333,196
7.916666666666667,195
8,200
8.083333333333334,206
8.166666666666666,202
8.25,203
8.333333333333334,205
8.416666666666666,204
8.5,209
8.583333333333334,210
8.666666666666666,209
8.75,209
8.833333333333334,207
8.916666666666666,210
9,208
9.083333333333334,208
9.166666666666666,212
9.25,216
9.333333333333334,213
9.416666666666666,219
9.5,217
9.583333333333334,213
9.666666666666666,219
9.75,216
9.833333333333334,218
9.916666666666666,219
10,220
10.083333333333334,227
10.166666666666666,222
10.25,225
10.333333333333334,224
10.416666666666666,223
10.5,226
10.583333333333334,222
10.666666666666666,227
10.75,224
10.833333333333334,225
10.916666666666666,228
11,228
11.083333333333334,227
11.166666666666666,229
11.25,232
11.333333333333334,231
11.416666666666666,230
11.5,231
11.583333333333334,235
11.666666666666666,236
11.75,238
11.833333333333334,242
11.916666666666666,241
12,243
12.083333333333334,244
12.166666666666666,245
12.25,242
12.333333333333334,242
12.416666666666666,250
12.5,246
12.583333333333334,249
12.666666666666666,252
12.75,254
12.833333333333334,253
12.916666666666666,252
13,253
13.083333333333334,252
13.166666666666666,251
13.25,254
13.333333333333334,252
13.416666666666666,256
13.5,258
13.583333333333334,259
13.666666666666666,257
13.75,255
13.833333333333334,255
13.916666666666666,259
14,257
14.083333333333334,257
14.166666666666666,257
14.25,262
14.333333333333334,259
14.416666666666666,264
14.5,263
14.583333333333334,267
14.666666666666666,270
14.75,268
14.833333333333334,269
14.916666666666666,275
15,274
15.083333333333334,278
15.166666666666666,277
15.25,277
15.333333333333334,275
15.416666666666666,278
15.5,279
15.583333333333334,281
15.666666666666666,285
15.75,280
15.833333333333334,281
15.916666666666666,283
16,282
16.083333333333332,280
16.166666666666668,285
16.25,280
16.333333333333332,284
16.416666666666668,285
16.5,289
16.583333333333332,290
16.666666666666668,286
16.75,289
16.833333333333332,286
