"Hours since thread went live","Spy x Family Season 2 - Episode 2 discussion"
0,1
0,6
0.08333333333333333,22
0.16666666666666666,40
0.25,61
0.3333333333333333,81
0.4166666666666667,103
0.5,125
0.5833333333333334,146
0.6666666666666666,171
0.75,185
0.8333333333333334,209
0.9166666666666666,227
1,247
1.0833333333333333,272
1.1666666666666667,296
1.25,306
1.3333333333333333,342
1.4166666666666667,362
1.5,387
1.5833333333333333,400
1.6666666666666667,424
1.75,441
1.8333333333333333,460
1.9166666666666667,481
2,494
2.0833333333333335,513
2.1666666666666665,530
2.25,550
2.3333333333333335,570
2.4166666666666665,588
2.5,600
2.5833333333333335,619
2.6666666666666665,627
2.75,649
2.8333333333333335,654
2.9166666666666665,671
3,693
3.0833333333333335,703
3.1666666666666665,726
3.25,740
3.3333333333333335,751
3.4166666666666665,768
3.5,780
3.5833333333333335,801
3.6666666666666665,808
3.75,819
3.8333333333333335,829
3.9166666666666665,836
4,850
4.083333333333333,860
4.166666666666667,876
4.25,886
4.333333333333333,901
4.416666666666667,912
4.5,922
4.583333333333333,937
4.666666666666667,944
4.75,963
4.833333333333333,969
4.916666666666667,970
5,983
5.083333333333333,994
5.166666666666667,1010
5.25,1024
5.333333333333333,1030
5.416666666666667,1040
5.5,1048
5.583333333333333,1059
5.666666666666667,1069
5.75,1074
5.833333333333333,1090
5.916666666666667,1096
6,1099
6.083333333333333,1115
6.166666666666667,1124
6.25,1128
6.333333333333333,1133
6.416666666666667,1136
6.5,1145
6.583333333333333,1161
6.666666666666667,1174
6.75,1178
6.833333333333333,1180
6.916666666666667,1191
7,1195
7.083333333333333,1196
7.166666666666667,1201
7.25,1217
7.333333333333333,1221
7.416666666666667,1227
7.5,1230
7.583333333333333,1241
7.666666666666667,1248
7.75,1258
7.833333333333333,1267
7.916666666666667,1272
8,1271
8.083333333333334,1285
8.166666666666666,1287
8.25,1290
8.333333333333334,1307
8.416666666666666,1318
8.5,1325
8.583333333333334,1329
8.666666666666666,1338
8.75,1346
8.833333333333334,1352
8.916666666666666,1352
9,1359
9.083333333333334,1375
9.166666666666666,1378
9.25,1391
9.333333333333334,1395
9.416666666666666,1397
9.5,1405
9.583333333333334,1418
9.666666666666666,1411
9.75,1417
9.833333333333334,1430
9.916666666666666,1437
10,1442
10.083333333333334,1450
10.166666666666666,1451
10.25,1459
10.333333333333334,1461
10.416666666666666,1464
10.5,1466
10.583333333333334,1477
10.666666666666666,1479
10.75,1489
10.833333333333334,1494
10.916666666666666,1502
11,1512
11.083333333333334,1517
11.166666666666666,1528
11.25,1533
11.333333333333334,1538
11.416666666666666,1552
11.5,1552
11.583333333333334,1559
11.666666666666666,1567
11.75,1575
11.833333333333334,1581
11.916666666666666,1590
12,1598
12.083333333333334,1603
12.166666666666666,1607
12.25,1619
12.333333333333334,1626
12.416666666666666,1627
12.5,1639
12.583333333333334,1642
12.666666666666666,1648
12.75,1655
12.833333333333334,1657
12.916666666666666,1663
13,1659
13.083333333333334,1663
13.166666666666666,1666
13.25,1670
13.333333333333334,1679
13.416666666666666,1682
13.5,1692
13.583333333333334,1695
13.666666666666666,1688
13.75,1692
13.833333333333334,1698
13.916666666666666,1707
14,1711
14.083333333333334,1709
14.166666666666666,1712
14.25,1714
14.333333333333334,1720
14.416666666666666,1725
14.5,1727
14.583333333333334,1723
14.666666666666666,1729
14.75,1732
14.833333333333334,1731
14.916666666666666,1734
15,1736
15.083333333333334,1739
15.166666666666666,1742
15.25,1742
15.333333333333334,1746
15.416666666666666,1753
15.5,1756
15.583333333333334,1751
15.666666666666666,1754
15.75,1757
15.833333333333334,1758
15.916666666666666,1757
16,1757
16.083333333333332,1771
16.166666666666668,1769
16.25,1777
16.333333333333332,1777
16.416666666666668,1784
16.5,1785
16.583333333333332,1783
16.666666666666668,1788
16.75,1789
16.833333333333332,1798
16.916666666666668,1793
17,1803
17.083333333333332,1803
17.166666666666668,1803
17.25,1804
17.333333333333332,1816
17.416666666666668,1809
17.5,1816
17.583333333333332,1819
17.666666666666668,1814
17.75,1818
17.833333333333332,1818
17.916666666666668,1824
18,1823
18.083333333333332,1827
18.166666666666668,1826
18.25,1833
18.333333333333332,1836
18.416666666666668,1839
18.5,1844
18.583333333333332,1848
18.666666666666668,1849
18.75,1852
18.833333333333332,1856
18.916666666666668,1851
19,1862
19.083333333333332,1859
19.166666666666668,1861
19.25,1866
19.333333333333332,1865
19.416666666666668,1861
19.5,1861
19.583333333333332,1868
19.666666666666668,1873
19.75,1873
19.833333333333332,1877
19.916666666666668,1870
20,1874
20.083333333333332,1877
20.166666666666668,1884
20.25,1886
20.333333333333332,1885
20.416666666666668,1891
20.5,1894
20.583333333333332,1896
20.666666666666668,1898
20.75,1898
20.833333333333332,1902
20.916666666666668,1906
21,1905
21.083333333333332,1905
21.166666666666668,1907
21.25,1912
21.333333333333332,1920
21.416666666666668,1922
21.5,1922
21.583333333333332,1925
21.666666666666668,1922
21.75,1922
21.833333333333332,1929
21.916666666666668,1936
22,1937
22.083333333333332,1939
22.166666666666668,1943
22.25,1947
22.333333333333332,1940
22.416666666666668,1943
22.5,1944
22.583333333333332,1952
22.666666666666668,1959
22.75,1958
22.833333333333332,1957
22.916666666666668,1960
23,1963
23.083333333333332,1960
23.166666666666668,1962
23.25,1964
23.333333333333332,1968
23.416666666666668,1972
23.5,1970
23.583333333333332,1975
23.666666666666668,1968
23.75,1970
23.833333333333332,1978
23.916666666666668,1975
24,1982
24.083333333333332,1982
24.166666666666668,1990
24.25,1988
24.333333333333332,1987
24.416666666666668,1994
