"Hours since thread went live","Unnamed Memory - Episode 2 discussion"
0,2
0.08333333333333333,3
0.16666666666666666,8
0.25,13
0.3333333333333333,14
0.4166666666666667,17
0.5,26
0.5833333333333334,30
0.6666666666666666,38
0.75,39
0.8333333333333334,45
0.9166666666666666,53
1,61
1.0833333333333333,76
1.1666666666666667,83
1.25,88
1.3333333333333333,89
1.4166666666666667,93
1.5,101
1.5833333333333333,112
1.6666666666666667,123
1.75,133
1.8333333333333333,137
1.9166666666666667,142
2,148
2.0833333333333335,158
2.1666666666666665,161
2.25,169
2.3333333333333335,173
2.4166666666666665,181
2.5,187
2.5833333333333335,193
2.6666666666666665,198
2.75,204
2.8333333333333335,211
2.9166666666666665,221
3,229
3.0833333333333335,231
3.1666666666666665,232
3.25,239
3.3333333333333335,248
3.4166666666666665,256
3.5,258
3.5833333333333335,254
3.6666666666666665,266
3.75,270
3.8333333333333335,268
3.9166666666666665,279
4,282
4.083333333333333,286
4.166666666666667,286
4.25,292
4.333333333333333,294
4.416666666666667,294
4.5,293
4.583333333333333,298
4.666666666666667,294
4.75,302
4.833333333333333,303
4.916666666666667,305
5,311
5.083333333333333,316
5.166666666666667,328
5.25,327
5.333333333333333,326
5.416666666666667,336
5.5,344
5.583333333333333,339
5.666666666666667,341
5.75,353
5.833333333333333,350
5.916666666666667,362
6,360
6.083333333333333,360
6.166666666666667,370
6.25,373
6.333333333333333,383
6.416666666666667,384
6.5,380
6.583333333333333,383
6.666666666666667,384
6.833333333333333,398
6.916666666666667,392
7,399
7.083333333333333,407
7.166666666666667,410
7.25,410
7.333333333333333,407
7.416666666666667,413
7.5,411
7.583333333333333,417
7.666666666666667,409
7.75,425
7.833333333333333,420
7.916666666666667,423
8,423
8.083333333333334,430
8.166666666666666,436
8.25,439
8.333333333333334,434
8.416666666666666,439
8.5,445
8.583333333333334,448
8.666666666666666,455
8.75,455
8.833333333333334,454
8.916666666666666,457
9,463
9.083333333333334,466
9.166666666666666,469
9.25,471
9.333333333333334,472
9.416666666666666,477
9.5,480
9.583333333333334,481
9.666666666666666,491
9.75,492
9.833333333333334,495
9.916666666666666,495
10,493
10.083333333333334,494
10.166666666666666,501
10.25,502
10.333333333333334,509
10.416666666666666,505
10.5,509
10.583333333333334,508
10.666666666666666,512
10.75,514
10.833333333333334,513
10.916666666666666,516
11,514
11.083333333333334,520
11.166666666666666,514
11.25,518
11.333333333333334,519
11.416666666666666,513
11.5,521
11.583333333333334,523
11.666666666666666,523
11.75,525
11.833333333333334,530
11.916666666666666,536
12,537
12.083333333333334,531
12.166666666666666,536
12.25,538
12.333333333333334,546
12.416666666666666,542
12.5,544
12.583333333333334,548
12.666666666666666,548
12.75,550
12.833333333333334,551
12.916666666666666,555
13,553
13.083333333333334,555
13.166666666666666,561
13.25,558
13.333333333333334,563
13.416666666666666,560
13.5,565
13.583333333333334,565
13.666666666666666,571
13.75,568
13.833333333333334,575
13.916666666666666,570
14,574
14.083333333333334,574
14.166666666666666,571
14.25,573
14.333333333333334,573
14.416666666666666,575
14.5,578
14.583333333333334,573
14.666666666666666,586
14.75,583
14.833333333333334,581
14.916666666666666,581
15,581
15.083333333333334,587
15.166666666666666,585
15.25,586
15.333333333333334,591
15.416666666666666,585
15.5,591
15.583333333333334,595
15.666666666666666,592
15.75,591
15.833333333333334,589
15.916666666666666,591
16,594
16.083333333333332,596
16.166666666666668,600
16.25,600
16.333333333333332,598
16.416666666666668,599
16.5,602
16.583333333333332,597
16.666666666666668,601
16.75,601
16.833333333333332,600
16.916666666666668,600
17,603
17.083333333333332,600
17.166666666666668,603
17.25,601
17.333333333333332,604
17.416666666666668,600
17.5,605
17.583333333333332,602
17.666666666666668,600
17.75,607
17.833333333333332,606
17.916666666666668,607
18,606
18.083333333333332,606
18.166666666666668,608
18.25,610
18.333333333333332,610
18.416666666666668,610
18.5,615
18.583333333333332,611
18.666666666666668,610
18.75,617
18.833333333333332,617
18.916666666666668,614
19,613
19.083333333333332,613
19.166666666666668,616
19.25,617
19.333333333333332,611
19.416666666666668,620
19.5,613
19.583333333333332,622
19.666666666666668,624
19.75,618
19.833333333333332,626
19.916666666666668,620
20,621
20.083333333333332,622
20.166666666666668,618
20.25,629
20.333333333333332,624
20.416666666666668,624
20.5,625
20.583333333333332,631
20.666666666666668,625
20.75,625
20.833333333333332,631
20.916666666666668,635
21,631
21.083333333333332,631
21.166666666666668,630
21.25,626
21.333333333333332,629
21.416666666666668,634
21.5,631
21.583333333333332,630
21.666666666666668,626
21.75,631
21.833333333333332,636
21.916666666666668,633
22,633
22.083333333333332,634
22.166666666666668,643
22.25,640
22.333333333333332,639
22.416666666666668,639
22.5,644
22.583333333333332,645
22.666666666666668,642
22.75,645
22.833333333333332,646
22.916666666666668,650
23,646
23.083333333333332,649
23.166666666666668,649
23.25,651
23.333333333333332,650
23.416666666666668,646
23.5,654
23.583333333333332,649
23.666666666666668,649
23.75,654
23.833333333333332,650
23.916666666666668,654
24,658
24.083333333333332,657
24.166666666666668,653
24.25,655
24.333333333333332,656
24.416666666666668,657
24.5,654
24.583333333333332,655
24.666666666666668,659
24.75,661
24.833333333333332,654
24.916666666666668,665
25,660
25.083333333333332,661
25.166666666666668,659
25.25,661
25.333333333333332,659
25.416666666666668,660
25.5,664
25.583333333333332,660
25.666666666666668,662
