"Hours since thread went live","Mobile Suit Gundam: Suisei no Majo Season 2 • Mobile Suit Gundam: The Witch from Mercury Season 2 - Episode 11 discussion"
0,5
0,14
0.08333333333333333,29
0.16666666666666666,40
0.25,50
0.3333333333333333,66
0.4166666666666667,86
0.5,108
0.5833333333333334,131
0.6666666666666666,153
0.75,170
0.8333333333333334,179
0.9166666666666666,195
1,210
1.0833333333333333,237
1.1666666666666667,246
1.25,271
1.3333333333333333,291
1.4166666666666667,311
1.5,327
1.5833333333333333,345
1.6666666666666667,363
1.75,381
1.8333333333333333,396
1.9166666666666667,408
2,418
2.0833333333333335,438
2.1666666666666665,450
2.25,466
2.3333333333333335,474
2.4166666666666665,492
2.5,507
2.5833333333333335,518
2.6666666666666665,531
2.75,539
2.8333333333333335,563
2.9166666666666665,571
3,586
3.0833333333333335,608
3.1666666666666665,618
3.25,631
3.3333333333333335,641
3.4166666666666665,658
3.5,685
3.5833333333333335,692
3.6666666666666665,704
3.75,717
3.8333333333333335,727
3.9166666666666665,746
4,753
4.083333333333333,766
4.166666666666667,783
4.25,795
4.333333333333333,815
4.416666666666667,825
4.5,845
4.583333333333333,856
4.666666666666667,877
4.75,882
4.833333333333333,904
4.916666666666667,927
5,933
5.083333333333333,949
5.166666666666667,968
5.25,978
5.333333333333333,993
5.416666666666667,1006
5.5,1019
5.583333333333333,1040
5.666666666666667,1049
5.75,1060
5.833333333333333,1067
5.916666666666667,1078
6,1086
6.083333333333333,1106
6.166666666666667,1122
6.25,1131
6.333333333333333,1141
6.416666666666667,1150
6.5,1158
6.583333333333333,1182
6.666666666666667,1197
6.75,1210
6.833333333333333,1221
6.916666666666667,1233
7,1251
7.083333333333333,1275
7.166666666666667,1292
7.25,1309
7.333333333333333,1319
7.416666666666667,1334
7.5,1346
7.583333333333333,1356
7.666666666666667,1375
7.75,1384
7.833333333333333,1397
7.916666666666667,1406
8,1419
8.083333333333334,1430
8.166666666666666,1441
8.25,1444
8.333333333333334,1457
8.416666666666666,1467
8.5,1481
8.583333333333334,1495
8.666666666666666,1496
8.75,1507
8.833333333333334,1514
8.916666666666666,1529
9,1546
9.083333333333334,1540
9.166666666666666,1552
9.25,1558
9.333333333333334,1576
9.416666666666666,1584
9.5,1600
9.583333333333334,1608
9.666666666666666,1611
9.75,1619
9.833333333333334,1632
9.916666666666666,1641
10,1647
10.083333333333334,1658
10.166666666666666,1674
10.25,1678
10.333333333333334,1689
10.416666666666666,1695
10.5,1694
10.583333333333334,1713
10.666666666666666,1724
10.75,1735
10.833333333333334,1749
10.916666666666666,1753
11,1762
11.083333333333334,1772
11.166666666666666,1773
11.25,1785
11.333333333333334,1797
11.416666666666666,1804
11.5,1811
11.583333333333334,1817
11.666666666666666,1823
11.75,1837
11.833333333333334,1836
11.916666666666666,1857
12,1860
12.083333333333334,1874
12.166666666666666,1876
12.25,1889
12.333333333333334,1888
12.416666666666666,1895
12.5,1901
12.583333333333334,1897
12.666666666666666,1908
12.75,1913
12.833333333333334,1916
12.916666666666666,1923
13,1929
13.083333333333334,1933
13.166666666666666,1943
13.25,1952
13.333333333333334,1950
13.416666666666666,1969
13.5,1966
13.583333333333334,1969
13.666666666666666,1973
13.75,1981
13.833333333333334,1980
13.916666666666666,1984
14,1994
14.083333333333334,1997
14.166666666666666,1998
14.25,2001
14.333333333333334,2005
14.416666666666666,2007
14.5,2008
14.583333333333334,2013
14.666666666666666,2018
14.75,2018
14.833333333333334,2019
14.916666666666666,2024
15,2032
15.083333333333334,2035
15.166666666666666,2035
15.25,2036
15.333333333333334,2041
15.416666666666666,2044
15.5,2047
15.583333333333334,2046
15.666666666666666,2050
15.75,2056
15.833333333333334,2061
15.916666666666666,2067
16,2070
16.083333333333332,2074
16.166666666666668,2075
16.25,2087
16.333333333333332,2086
16.416666666666668,2088
16.5,2092
16.583333333333332,2098
16.666666666666668,2111
16.75,2112
16.833333333333332,2113
16.916666666666668,2122
17,2128
17.083333333333332,2122
17.166666666666668,2129
17.25,2138
17.333333333333332,2144
17.416666666666668,2156
17.5,2157
17.583333333333332,2160
17.666666666666668,2172
17.75,2171
17.833333333333332,2173
17.916666666666668,2184
18,2188
18.083333333333332,2189
18.166666666666668,2192
18.25,2199
18.333333333333332,2200
18.416666666666668,2207
18.5,2213
18.583333333333332,2210
18.666666666666668,2219
18.75,2215
18.833333333333332,2223
18.916666666666668,2227
19,2230
19.083333333333332,2236
19.166666666666668,2238
19.25,2247
19.333333333333332,2247
19.416666666666668,2248
19.5,2257
19.583333333333332,2258
19.666666666666668,2263
19.75,2264
19.833333333333332,2266
19.916666666666668,2272
20,2272
20.083333333333332,2274
20.166666666666668,2287
20.25,2285
20.333333333333332,2282
20.416666666666668,2291
20.5,2288
20.583333333333332,2296
20.666666666666668,2290
20.75,2302
20.833333333333332,2296
20.916666666666668,2300
21,2303
21.083333333333332,2306
21.166666666666668,2303
21.25,2304
21.333333333333332,2308
21.416666666666668,2312
21.5,2309
