"Hours since thread went live","T.P BON - Episode 1 discussion"
39.5,22
39.583333333333336,19
39.666666666666664,21
39.75,20
39.833333333333336,22
39.916666666666664,21
40,20
40.083333333333336,21
40.166666666666664,20
40.25,21
40.333333333333336,23
40.416666666666664,21
40.5,23
40.583333333333336,22
40.666666666666664,19
40.75,20
40.833333333333336,21
40.916666666666664,21
41,19
41.083333333333336,22
41.166666666666664,21
41.25,22
41.333333333333336,22
41.416666666666664,22
41.5,21
41.583333333333336,22
41.666666666666664,20
41.75,21
41.833333333333336,20
41.916666666666664,21
42,21
42.083333333333336,23
42.166666666666664,19
42.25,23
42.333333333333336,22
42.416666666666664,22
42.5,23
42.583333333333336,19
42.666666666666664,21
42.75,20
42.833333333333336,23
42.916666666666664,22
43,23
43.083333333333336,22
43.166666666666664,22
43.25,23
43.333333333333336,23
43.416666666666664,22
43.5,21
43.583333333333336,22
43.666666666666664,21
43.75,20
43.833333333333336,22
43.916666666666664,19
44,20
44.083333333333336,22
44.166666666666664,22
44.25,23
44.333333333333336,21
44.416666666666664,24
44.5,22
44.583333333333336,21
44.666666666666664,22
44.75,23
44.833333333333336,25
44.916666666666664,21
45,21
45.083333333333336,23
45.166666666666664,24
45.25,22
45.333333333333336,23
45.416666666666664,23
45.5,22
45.583333333333336,22
45.666666666666664,22
45.75,22
45.833333333333336,24
45.916666666666664,24
46,21
46.083333333333336,22
46.166666666666664,22
46.25,24
46.333333333333336,23
46.416666666666664,23
46.5,22
46.583333333333336,22
46.666666666666664,24
46.75,22
46.833333333333336,21
46.916666666666664,25
47,22
47.083333333333336,22
47.166666666666664,23
47.25,25
47.333333333333336,22
47.416666666666664,21
47.5,23
47.583333333333336,24
47.666666666666664,22
47.75,25
47.833333333333336,23
47.916666666666664,26
