"Hours since thread went live","Jaku-Chara Tomozaki-kun 2nd Stage • Bottom-tier Character Tomozaki 2nd Stage - Episode 12 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,4
0.25,5
0.3333333333333333,6
0.4166666666666667,10
0.5,12
0.5833333333333334,16
0.6666666666666666,18
0.75,18
0.8333333333333334,20
0.9166666666666666,20
1,22
1.0833333333333333,24
1.1666666666666667,25
1.25,26
1.3333333333333333,29
1.4166666666666667,34
1.5,34
1.5833333333333333,36
1.6666666666666667,37
1.75,45
1.8333333333333333,46
1.9166666666666667,50
2,53
2.0833333333333335,55
2.1666666666666665,57
2.25,59
2.3333333333333335,61
2.4166666666666665,63
2.5,65
2.5833333333333335,70
2.6666666666666665,71
2.75,76
2.8333333333333335,77
2.9166666666666665,77
3,78
3.0833333333333335,80
3.1666666666666665,84
3.25,85
3.3333333333333335,91
3.4166666666666665,93
3.5,94
3.5833333333333335,100
3.6666666666666665,105
3.75,105
3.8333333333333335,111
3.9166666666666665,110
4,118
4.083333333333333,115
4.166666666666667,116
4.25,121
4.333333333333333,125
4.416666666666667,129
4.5,127
4.583333333333333,131
4.666666666666667,131
4.75,134
4.833333333333333,135
4.916666666666667,140
5,140
5.083333333333333,145
5.166666666666667,143
5.25,144
5.333333333333333,148
5.416666666666667,149
5.5,156
5.583333333333333,157
5.666666666666667,155
5.75,163
5.833333333333333,161
5.916666666666667,165
6,166
6.083333333333333,169
6.166666666666667,173
6.25,175
6.333333333333333,176
6.416666666666667,181
6.5,176
6.583333333333333,175
6.666666666666667,182
6.75,184
6.833333333333333,187
6.916666666666667,191
7,189
7.083333333333333,187
7.166666666666667,198
7.25,193
7.333333333333333,199
7.416666666666667,200
7.5,202
7.583333333333333,207
7.666666666666667,210
7.75,215
7.833333333333333,209
7.916666666666667,212
8,218
8.083333333333334,217
8.166666666666666,221
8.25,223
8.333333333333334,225
8.416666666666666,225
8.5,229
8.583333333333334,230
8.666666666666666,232
8.75,240
8.833333333333334,238
8.916666666666666,241
9,243
9.083333333333334,241
9.166666666666666,246
9.25,245
9.333333333333334,245
9.416666666666666,248
9.5,249
9.583333333333334,251
9.666666666666666,255
9.75,251
9.833333333333334,260
9.916666666666666,261
10,258
10.083333333333334,263
10.166666666666666,264
10.25,262
10.333333333333334,261
10.416666666666666,266
10.5,267
10.583333333333334,265
10.666666666666666,269
10.75,263
10.833333333333334,264
10.916666666666666,271
11,269
11.083333333333334,270
11.166666666666666,267
11.25,271
11.333333333333334,269
11.416666666666666,275
11.5,275
11.583333333333334,275
11.666666666666666,278
11.75,279
11.833333333333334,281
11.916666666666666,282
12,282
12.083333333333334,286
12.166666666666666,285
12.25,292
12.333333333333334,292
12.416666666666666,295
12.5,293
12.583333333333334,292
12.666666666666666,299
12.75,297
12.833333333333334,298
12.916666666666666,299
13,300
13.083333333333334,301
13.166666666666666,303
13.25,299
13.333333333333334,302
13.416666666666666,303
13.5,303
13.583333333333334,304
13.666666666666666,305
13.75,305
13.833333333333334,305
13.916666666666666,305
14,304
14.083333333333334,308
14.166666666666666,306
14.25,309
14.333333333333334,313
14.416666666666666,315
14.5,312
14.583333333333334,314
14.666666666666666,317
14.75,315
14.833333333333334,314
14.916666666666666,311
15,312
15.083333333333334,320
15.166666666666666,321
15.25,315
15.333333333333334,317
15.416666666666666,322
15.5,318
15.583333333333334,320
15.666666666666666,325
15.75,326
15.833333333333334,327
15.916666666666666,328
16,326
16.083333333333332,328
16.166666666666668,330
16.25,329
16.333333333333332,322
16.416666666666668,330
16.5,326
16.583333333333332,323
16.666666666666668,330
16.75,332
16.833333333333332,327
16.916666666666668,331
17,329
17.083333333333332,330
17.166666666666668,338
17.25,332
17.333333333333332,335
17.416666666666668,331
17.5,333
17.583333333333332,331
17.666666666666668,341
17.75,339
17.833333333333332,339
17.916666666666668,339
18,336
18.083333333333332,342
18.166666666666668,338
18.25,336
18.333333333333332,337
18.416666666666668,343
18.5,342
18.583333333333332,337
18.666666666666668,345
18.75,342
18.833333333333332,344
18.916666666666668,345
19,343
19.083333333333332,342
19.166666666666668,339
19.25,340
19.333333333333332,346
19.416666666666668,342
19.5,341
19.583333333333332,345
19.666666666666668,350
19.75,349
19.833333333333332,343
19.916666666666668,351
20,355
20.083333333333332,351
20.166666666666668,346
20.25,347
20.333333333333332,352
20.416666666666668,354
20.5,347
20.583333333333332,351
20.666666666666668,353
20.75,357
20.833333333333332,347
20.916666666666668,356
21,351
21.083333333333332,351
21.166666666666668,353
21.25,352
21.333333333333332,353
21.416666666666668,354
21.5,356
21.583333333333332,357
21.666666666666668,360
21.75,354
21.833333333333332,353
21.916666666666668,360
22,356
22.083333333333332,359
22.166666666666668,363
22.25,357
22.333333333333332,358
22.416666666666668,354
22.5,357
22.583333333333332,361
22.666666666666668,359
22.75,361
22.833333333333332,354
22.916666666666668,354
23,357
23.083333333333332,350
23.166666666666668,353
23.25,353
23.333333333333332,359
23.416666666666668,354
23.5,362
23.583333333333332,363
23.666666666666668,359
23.75,354
23.833333333333332,358
23.916666666666668,360
24,362
24.083333333333332,360
24.166666666666668,362
24.25,359
24.333333333333332,360
24.416666666666668,359
24.5,358
24.583333333333332,362
24.666666666666668,357
24.75,362
24.833333333333332,364
24.916666666666668,362
25,359
25.083333333333332,365
25.166666666666668,361
25.25,363
25.333333333333332,364
25.416666666666668,362
25.5,365
25.583333333333332,364
25.666666666666668,363
25.75,370
25.833333333333332,367
25.916666666666668,367
26,366
26.083333333333332,366
26.166666666666668,362
26.25,365
26.333333333333332,361
26.416666666666668,370
26.5,365
26.583333333333332,367
26.666666666666668,367
26.75,368
26.833333333333332,371
26.916666666666668,374
27,372
27.083333333333332,368
27.166666666666668,372
27.25,372
27.333333333333332,373
27.416666666666668,373
27.5,378
27.583333333333332,373
27.666666666666668,372
27.75,375
27.833333333333332,376
27.916666666666668,376
28,374
28.083333333333332,373
28.166666666666668,369
28.25,375
28.333333333333332,370
28.416666666666668,371
28.5,376
28.583333333333332,377
28.666666666666668,380
28.75,373
28.833333333333332,376
28.916666666666668,371
29,378
29.083333333333332,374
29.166666666666668,376
29.25,373
29.333333333333332,379
29.416666666666668,376
29.5,372
29.583333333333332,375
29.666666666666668,374
29.75,377
29.833333333333332,373
29.916666666666668,381
30,381
30.083333333333332,380
30.166666666666668,373
30.25,375
30.333333333333332,379
30.416666666666668,379
30.5,383
30.583333333333332,380
30.666666666666668,376
30.75,377
30.833333333333332,376
30.916666666666668,374
31,380
31.083333333333332,376
31.166666666666668,380
31.25,387
31.333333333333332,385
31.416666666666668,384
31.5,385
31.583333333333332,386
31.666666666666668,388
31.75,384
31.833333333333332,386
31.916666666666668,383
32,382
32.083333333333336,378
32.166666666666664,384
32.25,382
32.333333333333336,380
32.416666666666664,385
32.5,380
32.583333333333336,380
32.666666666666664,383
32.75,385
32.833333333333336,390
32.916666666666664,382
33,386
33.083333333333336,383
33.166666666666664,387
33.25,386
33.333333333333336,380
33.416666666666664,384
33.5,382
33.583333333333336,385
33.666666666666664,385
33.75,386
33.833333333333336,386
33.916666666666664,383
34,385
34.083333333333336,387
34.166666666666664,386
34.25,390
34.333333333333336,389
34.416666666666664,395
34.5,393
34.583333333333336,388
34.666666666666664,389
34.75,392
34.833333333333336,386
34.916666666666664,385
35,392
35.083333333333336,392
35.166666666666664,388
35.25,390
35.333333333333336,391
35.416666666666664,391
35.5,388
35.583333333333336,384
35.666666666666664,386
35.75,390
35.833333333333336,385
35.916666666666664,387
36,390
36.083333333333336,394
36.166666666666664,391
36.25,391
36.333333333333336,391
36.416666666666664,391
36.5,390
36.583333333333336,395
36.666666666666664,388
36.75,388
36.833333333333336,391
36.916666666666664,390
37,387
37.083333333333336,393
37.166666666666664,389
37.25,395
37.333333333333336,395
37.416666666666664,392
37.5,386
37.583333333333336,392
37.666666666666664,393
37.75,390
37.833333333333336,395
37.916666666666664,391
38,396
38.083333333333336,390
38.166666666666664,393
38.25,391
38.333333333333336,397
38.416666666666664,395
38.5,391
38.583333333333336,394
38.666666666666664,397
38.75,391
