"Hours since thread went live","Tonari no Youkai-san - Episode 6 discussion"
21.916666666666668,113
22,110
22.083333333333332,108
22.166666666666668,110
22.25,112
22.333333333333332,112
22.416666666666668,112
22.5,114
22.583333333333332,116
22.666666666666668,118
22.75,114
22.833333333333332,117
22.916666666666668,114
23,116
23.083333333333332,113
23.166666666666668,120
23.25,114
23.333333333333332,116
23.416666666666668,115
23.5,117
23.583333333333332,116
23.666666666666668,116
23.75,115
23.833333333333332,118
23.916666666666668,115
24,118
24.083333333333332,118
24.166666666666668,119
24.25,119
24.333333333333332,122
24.416666666666668,123
24.5,120
24.583333333333332,119
24.666666666666668,124
24.75,117
24.833333333333332,122
24.916666666666668,118
25,121
25.083333333333332,122
25.166666666666668,119
25.25,119
25.333333333333332,125
25.416666666666668,123
25.5,120
25.583333333333332,124
25.666666666666668,124
25.75,123
25.833333333333332,122
25.916666666666668,121
26,117
26.083333333333332,123
26.166666666666668,121
26.25,123
26.333333333333332,121
26.416666666666668,125
26.5,127
26.583333333333332,125
26.666666666666668,126
26.75,125
26.833333333333332,128
26.916666666666668,123
27,121
27.083333333333332,128
27.166666666666668,127
27.25,128
27.333333333333332,127
27.416666666666668,125
27.5,125
27.583333333333332,125
27.666666666666668,126
27.75,128
27.833333333333332,130
27.916666666666668,132
28,132
28.083333333333332,128
28.166666666666668,128
28.25,129
28.333333333333332,125
28.416666666666668,127
28.5,129
28.583333333333332,129
28.666666666666668,125
28.75,127
28.833333333333332,132
28.916666666666668,128
29,126
29.083333333333332,125
29.166666666666668,130
29.25,127
29.333333333333332,129
29.416666666666668,127
29.5,130
29.583333333333332,125
29.666666666666668,130
29.75,130
29.833333333333332,127
29.916666666666668,124
30,129
30.083333333333332,128
30.166666666666668,128
30.25,126
30.333333333333332,126
30.416666666666668,130
30.5,131
30.583333333333332,128
30.666666666666668,131
30.75,127
30.833333333333332,127
30.916666666666668,130
31,128
31.083333333333332,124
31.166666666666668,126
31.25,130
31.333333333333332,128
31.416666666666668,124
31.5,130
31.583333333333332,129
31.666666666666668,128
31.75,129
31.833333333333332,128
31.916666666666668,126
32,127
32.083333333333336,126
32.166666666666664,127
32.25,131
32.333333333333336,126
32.416666666666664,131
32.5,133
32.583333333333336,129
32.666666666666664,125
32.75,131
32.833333333333336,131
32.916666666666664,126
33,126
33.083333333333336,132
33.166666666666664,129
33.25,128
33.333333333333336,130
33.416666666666664,131
33.5,132
33.583333333333336,130
33.666666666666664,128
33.75,128
33.833333333333336,130
33.916666666666664,127
34,129
34.083333333333336,128
34.166666666666664,128
34.25,131
34.333333333333336,131
34.416666666666664,129
34.5,131
34.583333333333336,127
34.666666666666664,125
34.75,128
34.833333333333336,126
34.916666666666664,129
35,126
35.083333333333336,133
35.166666666666664,132
35.25,133
35.333333333333336,133
35.416666666666664,128
35.5,130
35.583333333333336,130
35.666666666666664,131
35.75,129
35.833333333333336,134
35.916666666666664,132
36,133
36.083333333333336,132
36.166666666666664,132
36.25,130
36.333333333333336,132
36.416666666666664,132
36.5,133
36.583333333333336,131
36.666666666666664,126
36.75,132
36.833333333333336,133
36.916666666666664,129
37,132
37.083333333333336,133
37.166666666666664,130
37.25,129
37.333333333333336,130
37.416666666666664,133
37.5,128
37.583333333333336,131
37.666666666666664,130
37.75,130
37.833333333333336,131
37.916666666666664,129
38,132
38.083333333333336,128
38.166666666666664,133
38.25,127
38.333333333333336,131
38.416666666666664,130
38.5,128
38.583333333333336,130
38.666666666666664,129
38.75,131
38.833333333333336,129
38.916666666666664,128
39,131
39.083333333333336,128
39.166666666666664,130
39.25,131
39.333333333333336,129
39.416666666666664,131
39.5,132
39.583333333333336,131
39.666666666666664,128
39.75,126
39.833333333333336,132
39.916666666666664,128
40,128
40.083333333333336,126
40.166666666666664,129
40.25,130
40.333333333333336,126
40.416666666666664,130
40.5,131
40.583333333333336,131
40.666666666666664,130
40.75,126
40.833333333333336,130
40.916666666666664,131
41,131
41.083333333333336,130
41.166666666666664,127
41.25,129
41.333333333333336,132
41.416666666666664,131
41.5,132
41.583333333333336,128
41.666666666666664,132
41.75,131
41.833333333333336,128
41.916666666666664,135
42,132
42.083333333333336,133
42.166666666666664,132
42.25,132
42.333333333333336,130
42.416666666666664,129
42.5,133
42.583333333333336,133
42.666666666666664,133
42.75,133
42.833333333333336,131
42.916666666666664,135
43,131
43.083333333333336,133
43.166666666666664,133
43.25,129
43.333333333333336,131
43.416666666666664,133
43.5,132
43.583333333333336,129
43.666666666666664,129
43.75,131
43.833333333333336,134
43.916666666666664,129
44,136
44.083333333333336,133
44.166666666666664,132
44.25,133
44.333333333333336,129
44.416666666666664,133
44.5,134
44.583333333333336,132
44.666666666666664,131
44.75,132
44.833333333333336,133
44.916666666666664,135
45,134
45.083333333333336,131
45.166666666666664,132
45.25,134
45.333333333333336,132
45.416666666666664,131
45.5,131
45.583333333333336,134
45.666666666666664,129
45.75,136
45.833333333333336,132
45.916666666666664,132
46,133
46.083333333333336,136
46.166666666666664,132
46.25,131
46.333333333333336,130
46.416666666666664,132
46.5,132
46.583333333333336,129
46.666666666666664,132
46.75,134
46.833333333333336,129
46.916666666666664,135
47,130
47.083333333333336,131
47.166666666666664,136
47.25,131
47.333333333333336,131
47.416666666666664,133
47.5,132
47.583333333333336,134
47.666666666666664,134
47.75,133
47.833333333333336,133
47.916666666666664,132
