"Hours since thread went live","Jujutsu Kaisen - Episode 20 discussion"
0,9
0,37
0.08333333333333333,79
0.16666666666666666,109
0.25,180
0.3333333333333333,273
0.4166666666666667,365
0.5,463
0.5833333333333334,595
0.6666666666666666,709
0.75,844
0.8333333333333334,977
0.9166666666666666,1145
1,1298
1.0833333333333333,1458
1.1666666666666667,1611
1.25,1749
1.3333333333333333,1887
1.4166666666666667,2023
1.5,2160
1.5833333333333333,2284
1.6666666666666667,2412
1.75,2540
1.8333333333333333,2664
1.9166666666666667,2763
2,2863
2.0833333333333335,2953
2.1666666666666665,3058
2.25,3168
2.3333333333333335,3278
2.4166666666666665,3388
2.5,3476
2.5833333333333335,3568
2.6666666666666665,3653
2.75,3738
2.8333333333333335,3826
2.9166666666666665,3921
3,4014
3.0833333333333335,4089
3.1666666666666665,4168
3.25,4257
3.3333333333333335,4330
3.4166666666666665,4415
3.5,4499
3.5833333333333335,4597
3.6666666666666665,4674
3.75,4752
3.8333333333333335,4840
3.9166666666666665,4924
4,5008
4.083333333333333,5083
4.166666666666667,5154
4.25,5235
4.333333333333333,5315
4.416666666666667,5381
4.5,5466
4.583333333333333,5527
4.666666666666667,5582
4.75,5660
4.833333333333333,5720
4.916666666666667,5778
5,5830
5.083333333333333,5899
5.166666666666667,5983
5.25,6045
5.333333333333333,6115
5.416666666666667,6191
5.5,6239
5.583333333333333,6300
5.666666666666667,6352
5.75,6412
5.833333333333333,6475
5.916666666666667,6531
6,6593
6.083333333333333,6662
6.166666666666667,6704
6.25,6754
6.333333333333333,6802
6.416666666666667,6855
6.5,6910
6.583333333333333,6959
6.666666666666667,7008
6.75,7051
6.833333333333333,7110
6.916666666666667,7158
7,7226
7.083333333333333,7269
7.166666666666667,7322
7.25,7379
7.333333333333333,7438
7.416666666666667,7476
7.5,7542
7.583333333333333,7590
7.666666666666667,7641
7.75,7707
7.833333333333333,7745
7.916666666666667,7792
8,7817
8.083333333333334,7870
8.166666666666666,7905
8.25,7939
8.333333333333334,7988
8.416666666666666,8037
8.5,8067
8.583333333333334,8119
8.666666666666666,8150
8.75,8194
8.833333333333334,8231
8.916666666666666,8268
9,8310
9.083333333333334,8353
9.166666666666666,8386
9.25,8429
9.333333333333334,8460
9.416666666666666,8489
9.5,8538
9.583333333333334,8579
9.666666666666666,8612
9.75,8647
9.833333333333334,8688
9.916666666666666,8729
10,8756
10.083333333333334,8789
10.166666666666666,8827
10.25,8860
10.333333333333334,8892
10.416666666666666,8928
10.5,8961
10.583333333333334,9010
10.666666666666666,9033
10.75,9069
10.833333333333334,9101
10.916666666666666,9121
11,9159
11.083333333333334,9206
11.166666666666666,9243
11.25,9265
11.333333333333334,9307
11.416666666666666,9335
11.5,9382
11.583333333333334,9413
11.666666666666666,9426
11.75,9465
11.833333333333334,9499
11.916666666666666,9517
12,9550
12.083333333333334,9574
12.166666666666666,9613
12.25,9641
12.333333333333334,9676
12.416666666666666,9701
12.5,9733
12.583333333333334,9769
12.666666666666666,9802
12.75,9823
12.833333333333334,9850
12.916666666666666,9882
13,9905
13.083333333333334,9931
13.166666666666666,9948
13.25,9979
13.333333333333334,10002
13.416666666666666,10026
13.5,10056
13.583333333333334,10093
13.666666666666666,10110
13.75,10139
13.833333333333334,10164
13.916666666666666,10204
14,10231
14.083333333333334,10265
14.166666666666666,10280
14.25,10310
14.333333333333334,10328
14.416666666666666,10346
14.5,10371
14.583333333333334,10374
14.666666666666666,10397
14.75,10423
14.833333333333334,10442
14.916666666666666,10466
15,10488
15.083333333333334,10503
15.166666666666666,10531
15.25,10567
15.333333333333334,10580
15.416666666666666,10593
15.5,10610
15.583333333333334,10626
15.666666666666666,10641
15.75,10650
15.833333333333334,10667
15.916666666666666,10672
16,10684
16.083333333333332,10701
16.166666666666668,10718
16.25,10731
16.333333333333332,10744
16.416666666666668,10758
16.5,10769
16.583333333333332,10772
16.666666666666668,10795
16.75,10800
16.833333333333332,10819
16.916666666666668,10827
17,10836
17.083333333333332,10857
17.166666666666668,10869
17.25,10878
17.333333333333332,10888
17.416666666666668,10906
17.5,10907
17.583333333333332,10919
17.666666666666668,10940
17.75,10947
17.833333333333332,10965
17.916666666666668,10976
18,10981
18.083333333333332,10986
18.166666666666668,10994
18.25,11010
18.333333333333332,11014
18.416666666666668,11020
18.5,11034
18.583333333333332,11040
18.666666666666668,11053
18.75,11065
18.833333333333332,11064
18.916666666666668,11077
19,11090
19.083333333333332,11097
19.166666666666668,11109
19.25,11114
19.333333333333332,11122
19.416666666666668,11137
19.5,11137
19.583333333333332,11146
19.666666666666668,11156
19.75,11174
19.833333333333332,11188
19.916666666666668,11192
20,11201
20.083333333333332,11201
20.166666666666668,11213
20.25,11221
20.333333333333332,11238
20.416666666666668,11244
20.5,11253
20.583333333333332,11257
20.666666666666668,11266
20.75,11282
20.833333333333332,11292
20.916666666666668,11290
21,11288
21.083333333333332,11300
21.166666666666668,11310
21.25,11322
21.333333333333332,11329
21.416666666666668,11329
21.5,11346
21.583333333333332,11354
21.666666666666668,11369
21.75,11375
21.833333333333332,11383
21.916666666666668,11393
22,11406
22.083333333333332,11404
22.166666666666668,11416
22.25,11424
22.333333333333332,11425
22.416666666666668,11432
22.5,11446
22.583333333333332,11452
22.666666666666668,11465
22.75,11470
22.833333333333332,11481
22.916666666666668,11490
23,11501
23.083333333333332,11508
23.166666666666668,11514
23.25,11519
23.333333333333332,11525
23.416666666666668,11537
23.5,11540
23.583333333333332,11553
23.666666666666668,11558
23.75,11571
23.833333333333332,11573
23.916666666666668,11592
24,11594
24.083333333333332,11604
24.166666666666668,11605
24.25,11621
24.333333333333332,11632
24.416666666666668,11636
24.5,11635
24.583333333333332,11647
24.666666666666668,11656
24.75,11671
24.833333333333332,11679
24.916666666666668,11687
25,11694
25.083333333333332,11696
25.166666666666668,11712
25.25,11713
25.333333333333332,11711
25.416666666666668,11727
25.5,11726
25.583333333333332,11741
25.666666666666668,11739
25.75,11748
25.833333333333332,11750
25.916666666666668,11745
26,11755
26.083333333333332,11760
26.166666666666668,11765
26.25,11767
26.333333333333332,11775
26.416666666666668,11785
26.5,11794
26.583333333333332,11796
26.666666666666668,11807
26.75,11813
26.833333333333332,11831
26.916666666666668,11838
27,11840
27.083333333333332,11842
27.166666666666668,11843
27.25,11847
27.333333333333332,11856
27.416666666666668,11862
27.5,11871
27.583333333333332,11875
27.666666666666668,11880
27.75,11885
27.833333333333332,11898
27.916666666666668,11902
28,11909
28.083333333333332,11905
28.166666666666668,11907
28.25,11917
28.333333333333332,11922
28.416666666666668,11924
28.5,11927
28.583333333333332,11940
28.666666666666668,11942
28.75,11939
28.833333333333332,11939
28.916666666666668,11942
29,11954
29.083333333333332,11961
29.166666666666668,11959
29.25,11974
29.333333333333332,11978
29.416666666666668,11986
29.5,11989
29.583333333333332,11993
29.666666666666668,12000
29.75,11993
29.833333333333332,12002
29.916666666666668,12001
30,12013
30.083333333333332,12005
30.166666666666668,12013
30.25,12021
30.333333333333332,12015
30.416666666666668,12028
30.5,12037
30.583333333333332,12038
30.666666666666668,12039
30.75,12047
30.833333333333332,12053
30.916666666666668,12060
31,12056
31.083333333333332,12062
31.166666666666668,12058
31.25,12062
31.333333333333332,12066
31.416666666666668,12067
31.5,12072
31.583333333333332,12085
31.666666666666668,12081
31.75,12082
31.833333333333332,12089
31.916666666666668,12092
32,12096
32.083333333333336,12105
32.166666666666664,12100
32.25,12106
32.333333333333336,12116
32.416666666666664,12116
32.5,12118
32.583333333333336,12111
32.666666666666664,12115
32.75,12121
32.833333333333336,12122
32.916666666666664,12130
33,12121
33.083333333333336,12129
33.166666666666664,12127
33.25,12141
33.333333333333336,12139
33.416666666666664,12151
33.5,12147
33.583333333333336,12150
33.666666666666664,12147
33.75,12148
33.833333333333336,12156
33.916666666666664,12167
34,12164
34.083333333333336,12173
34.166666666666664,12178
34.25,12182
34.333333333333336,12178
34.416666666666664,12188
34.5,12183
34.583333333333336,12185
34.666666666666664,12189
34.75,12188
34.833333333333336,12187
34.916666666666664,12192
35,12196
35.083333333333336,12201
35.166666666666664,12207
35.25,12215
35.333333333333336,12209
35.416666666666664,12215
35.5,12208
35.583333333333336,12222
35.666666666666664,12222
35.75,12221
35.833333333333336,12224
35.916666666666664,12222
36,12222
36.083333333333336,12230
36.166666666666664,12233
36.25,12237
36.333333333333336,12237
36.416666666666664,12236
36.5,12246
36.583333333333336,12242
36.666666666666664,12248
36.75,12249
36.833333333333336,12249
36.916666666666664,12250
37,12256
37.083333333333336,12258
37.166666666666664,12253
37.25,12260
37.333333333333336,12255
37.416666666666664,12272
37.5,12266
37.583333333333336,12273
37.666666666666664,12278
37.75,12277
37.833333333333336,12277
37.916666666666664,12279
38,12282
38.083333333333336,12283
38.166666666666664,12283
38.25,12284
38.333333333333336,12286
38.416666666666664,12292
38.5,12283
38.583333333333336,12287
38.666666666666664,12290
38.75,12297
38.833333333333336,12293
38.916666666666664,12291
39,12291
39.083333333333336,12308
39.166666666666664,12299
39.25,12305
39.333333333333336,12305
39.416666666666664,12308
39.5,12311
39.583333333333336,12312
39.666666666666664,12317
39.75,12321
39.833333333333336,12311
39.916666666666664,12320
40,12317
40.083333333333336,12325
40.166666666666664,12328
40.25,12327
40.333333333333336,12324
40.416666666666664,12324
40.5,12330
40.583333333333336,12325
40.666666666666664,12321
40.75,12331
40.833333333333336,12335
40.916666666666664,12333
41,12338
41.083333333333336,12331
41.166666666666664,12337
41.25,12344
41.333333333333336,12343
41.416666666666664,12341
41.5,12344
41.583333333333336,12350
41.666666666666664,12350
41.75,12349
41.833333333333336,12356
41.916666666666664,12354
42,12354
42.083333333333336,12362
42.166666666666664,12360
42.25,12359
42.333333333333336,12363
42.416666666666664,12366
42.5,12365
42.583333333333336,12367
42.666666666666664,12369
42.75,12372
42.833333333333336,12377
42.916666666666664,12372
43,12377
43.083333333333336,12376
43.166666666666664,12381
43.25,12376
43.333333333333336,12381
43.416666666666664,12381
43.5,12386
43.583333333333336,12382
43.666666666666664,12383
43.75,12376
43.833333333333336,12383
43.916666666666664,12385
44,12391
44.083333333333336,12387
44.166666666666664,12388
44.25,12400
44.333333333333336,12391
44.416666666666664,12400
44.5,12399
44.583333333333336,12402
44.666666666666664,12406
44.75,12404
44.833333333333336,12406
44.916666666666664,12410
45,12407
45.083333333333336,12413
45.166666666666664,12405
45.25,12412
45.333333333333336,12415
45.416666666666664,12421
45.5,12412
45.583333333333336,12419
45.666666666666664,12420
45.75,12419
45.833333333333336,12423
45.916666666666664,12420
46,12424
46.083333333333336,12422
46.166666666666664,12424
46.25,12430
46.333333333333336,12433
46.416666666666664,12437
46.5,12433
46.583333333333336,12438
46.666666666666664,12437
46.75,12429
46.833333333333336,12437
46.916666666666664,12441
47,12444
47.083333333333336,12443
47.166666666666664,12437
47.25,12446
47.333333333333336,12447
47.416666666666664,12443
47.5,12454
47.583333333333336,12446
47.666666666666664,12453
47.75,12460
47.833333333333336,12459
47.916666666666664,12454
