"Hours since thread went live","Jantama Kan!! • Mahjong Soul Kan!! - Episode 1 discussion"
33.583333333333336,29
33.666666666666664,30
33.75,29
33.833333333333336,30
33.916666666666664,29
34,29
34.083333333333336,29
34.166666666666664,27
34.25,30
34.333333333333336,32
34.416666666666664,29
34.5,30
34.583333333333336,30
34.666666666666664,33
34.75,32
34.833333333333336,32
34.916666666666664,31
35,30
35.083333333333336,30
35.166666666666664,32
35.25,28
35.333333333333336,30
35.416666666666664,30
35.5,28
35.583333333333336,29
35.666666666666664,27
35.75,33
35.833333333333336,32
35.916666666666664,30
36,29
36.083333333333336,29
36.166666666666664,29
36.25,29
36.333333333333336,33
36.416666666666664,27
36.5,29
36.583333333333336,31
36.666666666666664,30
36.75,29
36.833333333333336,30
36.916666666666664,31
37,28
37.083333333333336,31
37.166666666666664,30
37.25,28
37.333333333333336,31
37.416666666666664,29
37.5,30
37.583333333333336,30
37.666666666666664,31
37.75,30
37.833333333333336,29
37.916666666666664,30
38,31
38.083333333333336,33
38.166666666666664,29
38.25,30
38.333333333333336,31
38.416666666666664,29
38.5,31
38.583333333333336,33
38.666666666666664,34
38.75,31
38.833333333333336,31
38.916666666666664,30
39,30
39.083333333333336,33
39.166666666666664,29
39.25,32
39.333333333333336,31
39.416666666666664,33
39.5,34
39.583333333333336,33
39.666666666666664,33
39.75,33
39.833333333333336,30
39.916666666666664,31
40,29
40.083333333333336,30
40.166666666666664,32
40.25,30
40.333333333333336,30
40.416666666666664,31
40.5,29
40.583333333333336,28
40.666666666666664,34
40.75,31
40.833333333333336,30
40.916666666666664,31
41,29
41.083333333333336,32
41.166666666666664,30
41.25,32
41.333333333333336,30
41.416666666666664,29
41.5,28
41.583333333333336,31
41.666666666666664,28
41.75,32
41.833333333333336,31
41.916666666666664,29
42,31
42.083333333333336,31
42.166666666666664,34
42.25,30
42.333333333333336,33
42.416666666666664,31
42.5,29
42.583333333333336,30
42.666666666666664,31
42.75,31
42.833333333333336,34
42.916666666666664,29
