"Hours since thread went live","Kuroshitsuji: Kishuku Gakkou-hen • Black Butler: Public School Arc - Episode 7 discussion"
0,1
0,1
0.08333333333333333,2
0.16666666666666666,3
0.25,5
0.3333333333333333,5
0.4166666666666667,5
0.5,7
0.5833333333333334,9
0.6666666666666666,10
0.75,10
0.8333333333333334,12
0.9166666666666666,11
1,14
1.0833333333333333,13
1.1666666666666667,13
1.25,14
1.3333333333333333,14
1.4166666666666667,16
1.5,20
1.5833333333333333,22
1.6666666666666667,23
1.75,23
1.8333333333333333,21
1.9166666666666667,24
2,25
2.0833333333333335,25
2.1666666666666665,28
2.25,26
2.3333333333333335,26
2.4166666666666665,29
2.5,27
2.5833333333333335,30
2.6666666666666665,29
2.75,31
2.8333333333333335,32
2.9166666666666665,32
3,32
3.0833333333333335,31
3.1666666666666665,31
3.25,33
3.3333333333333335,36
3.4166666666666665,33
3.5,36
3.5833333333333335,32
3.6666666666666665,38
3.75,37
3.8333333333333335,37
3.9166666666666665,38
4,40
4.083333333333333,39
4.166666666666667,40
4.25,39
4.333333333333333,43
4.416666666666667,41
4.5,39
4.583333333333333,40
4.666666666666667,41
4.75,40
4.833333333333333,42
4.916666666666667,43
5,44
5.083333333333333,45
5.166666666666667,44
5.25,44
5.333333333333333,42
5.416666666666667,47
5.5,47
5.583333333333333,46
5.666666666666667,46
5.75,46
5.833333333333333,44
5.916666666666667,44
6,47
6.083333333333333,48
6.166666666666667,45
6.25,51
6.333333333333333,46
6.416666666666667,49
6.5,49
6.583333333333333,47
6.666666666666667,54
6.75,51
6.833333333333333,50
6.916666666666667,51
7,48
7.083333333333333,50
7.166666666666667,49
7.25,55
7.333333333333333,49
7.416666666666667,49
7.5,51
7.583333333333333,52
7.666666666666667,50
7.75,49
7.833333333333333,51
7.916666666666667,53
8,52
8.083333333333334,53
8.166666666666666,52
8.25,55
8.333333333333334,52
8.416666666666666,54
8.5,58
8.583333333333334,56
8.666666666666666,56
8.75,52
8.833333333333334,58
8.916666666666666,56
9,56
9.083333333333334,61
9.166666666666666,62
9.25,58
9.333333333333334,62
9.416666666666666,63
9.5,62
9.583333333333334,63
9.666666666666666,61
9.75,62
9.833333333333334,64
9.916666666666666,64
10,64
10.083333333333334,64
10.166666666666666,64
10.25,64
10.333333333333334,65
10.416666666666666,61
10.5,64
10.583333333333334,68
10.666666666666666,70
10.75,67
10.833333333333334,64
10.916666666666666,70
11,67
11.083333333333334,72
11.166666666666666,69
11.25,67
11.333333333333334,65
11.416666666666666,69
11.5,72
11.583333333333334,73
11.666666666666666,73
11.75,71
11.833333333333334,70
11.916666666666666,71
12,71
12.083333333333334,71
12.166666666666666,69
12.25,70
12.333333333333334,69
12.416666666666666,68
12.5,69
12.583333333333334,71
12.666666666666666,70
12.75,71
12.833333333333334,71
12.916666666666666,74
13,72
13.083333333333334,75
13.166666666666666,74
13.25,76
13.333333333333334,75
13.416666666666666,73
13.5,75
13.583333333333334,74
13.666666666666666,73
13.75,72
13.833333333333334,74
13.916666666666666,75
14,74
14.083333333333334,75
14.166666666666666,77
14.25,72
14.333333333333334,73
14.416666666666666,76
14.5,77
14.583333333333334,77
14.666666666666666,77
14.75,77
14.833333333333334,77
14.916666666666666,76
15,76
15.083333333333334,78
15.166666666666666,78
15.25,75
15.333333333333334,79
15.416666666666666,75
15.5,77
15.583333333333334,76
15.666666666666666,74
15.75,77
15.833333333333334,77
15.916666666666666,79
16,76
16.083333333333332,78
16.166666666666668,80
16.25,75
16.333333333333332,77
16.416666666666668,74
16.5,74
16.583333333333332,72
16.666666666666668,79
16.75,77
16.833333333333332,80
16.916666666666668,80
17,77
17.083333333333332,76
17.166666666666668,75
17.25,75
17.333333333333332,75
17.416666666666668,80
17.5,80
17.583333333333332,79
17.666666666666668,77
17.75,77
17.833333333333332,80
17.916666666666668,76
18,80
18.083333333333332,74
18.166666666666668,76
18.25,80
18.333333333333332,79
18.416666666666668,80
18.5,82
18.583333333333332,80
18.666666666666668,80
18.75,80
18.833333333333332,81
18.916666666666668,78
19,79
19.083333333333332,80
19.166666666666668,83
19.25,81
19.333333333333332,82
19.416666666666668,81
19.5,79
19.583333333333332,80
19.666666666666668,80
19.75,81
19.833333333333332,81
19.916666666666668,83
20,80
20.083333333333332,79
20.166666666666668,79
20.25,85
20.333333333333332,81
20.416666666666668,80
20.5,82
20.583333333333332,83
20.666666666666668,85
20.75,85
20.833333333333332,82
20.916666666666668,84
21,85
21.083333333333332,83
21.166666666666668,85
21.25,85
21.333333333333332,88
21.416666666666668,87
21.5,85
21.583333333333332,85
21.666666666666668,88
21.75,85
21.833333333333332,85
21.916666666666668,87
22,85
22.083333333333332,88
22.166666666666668,84
22.25,84
22.333333333333332,87
22.416666666666668,84
22.5,84
22.583333333333332,88
22.666666666666668,85
22.75,87
22.833333333333332,88
22.916666666666668,86
23,87
23.083333333333332,85
23.166666666666668,85
23.25,89
23.333333333333332,85
23.416666666666668,84
23.5,83
23.583333333333332,84
23.666666666666668,87
23.75,88
23.833333333333332,90
23.916666666666668,88
24,87
24.083333333333332,88
24.166666666666668,88
24.25,90
24.333333333333332,84
24.416666666666668,87
24.5,85
24.583333333333332,88
24.666666666666668,86
24.75,85
24.833333333333332,89
24.916666666666668,84
25,89
25.083333333333332,85
25.166666666666668,87
25.25,86
25.333333333333332,87
25.416666666666668,86
25.5,86
25.583333333333332,85
25.666666666666668,88
25.75,86
25.833333333333332,85
25.916666666666668,88
26,86
26.083333333333332,89
26.166666666666668,87
26.25,86
26.333333333333332,87
26.416666666666668,90
26.5,90
26.583333333333332,91
26.666666666666668,91
26.75,87
26.833333333333332,86
26.916666666666668,90
27,89
27.083333333333332,93
27.166666666666668,89
27.25,89
27.333333333333332,88
27.416666666666668,91
27.5,90
27.583333333333332,88
27.666666666666668,90
27.75,92
27.833333333333332,95
27.916666666666668,93
28,94
28.083333333333332,91
28.166666666666668,87
28.25,88
28.333333333333332,89
28.416666666666668,90
28.5,92
28.583333333333332,89
28.666666666666668,90
28.75,91
28.833333333333332,94
28.916666666666668,92
29,92
29.083333333333332,88
29.166666666666668,90
29.25,87
29.333333333333332,90
29.416666666666668,93
29.5,91
29.583333333333332,93
29.666666666666668,91
29.75,94
29.833333333333332,89
29.916666666666668,94
30,94
30.083333333333332,92
30.166666666666668,93
30.25,88
30.333333333333332,92
30.416666666666668,95
30.5,90
30.583333333333332,91
30.666666666666668,95
30.75,93
30.833333333333332,93
30.916666666666668,97
31,89
31.083333333333332,93
31.166666666666668,97
31.25,94
31.333333333333332,92
31.416666666666668,94
31.5,94
31.583333333333332,92
31.666666666666668,93
31.75,93
31.833333333333332,93
31.916666666666668,95
32,93
32.083333333333336,96
32.166666666666664,94
32.25,93
32.333333333333336,91
32.416666666666664,96
32.5,95
32.583333333333336,94
32.666666666666664,95
32.75,91
32.833333333333336,92
32.916666666666664,96
33,90
33.083333333333336,94
33.166666666666664,90
33.25,94
33.333333333333336,93
33.416666666666664,94
33.5,95
33.583333333333336,91
33.666666666666664,89
33.75,92
33.833333333333336,93
33.916666666666664,92
34,95
34.083333333333336,90
34.166666666666664,95
34.25,96
34.333333333333336,96
34.416666666666664,93
34.5,93
34.583333333333336,93
34.666666666666664,90
34.75,90
34.833333333333336,92
34.916666666666664,93
35,92
35.083333333333336,93
35.166666666666664,93
35.25,97
35.333333333333336,95
35.416666666666664,97
35.5,98
35.583333333333336,95
35.666666666666664,91
35.75,94
35.833333333333336,92
35.916666666666664,91
36,92
36.083333333333336,94
36.166666666666664,94
36.25,93
36.333333333333336,94
36.416666666666664,95
36.5,98
36.583333333333336,91
36.666666666666664,94
36.75,92
36.833333333333336,91
36.916666666666664,94
37,95
37.083333333333336,93
37.166666666666664,96
37.25,97
37.333333333333336,94
37.416666666666664,92
37.5,96
37.583333333333336,91
37.666666666666664,93
37.75,93
37.833333333333336,94
37.916666666666664,97
38,94
38.083333333333336,97
38.166666666666664,95
38.25,96
38.333333333333336,92
38.416666666666664,94
38.5,94
38.583333333333336,97
38.666666666666664,97
38.75,93
38.833333333333336,95
