"Hours since thread went live","Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita • The Banished Former Hero Lives as He Pleases - Episode 1 discussion"
38.5,65
38.583333333333336,64
38.666666666666664,66
38.75,63
38.833333333333336,61
38.916666666666664,63
39,61
39.083333333333336,67
39.166666666666664,68
39.25,62
39.333333333333336,66
39.416666666666664,65
39.5,64
39.583333333333336,64
39.666666666666664,65
39.75,67
39.833333333333336,63
39.916666666666664,66
40,67
40.083333333333336,64
40.166666666666664,67
40.25,64
40.333333333333336,62
40.416666666666664,65
40.5,61
40.583333333333336,67
40.666666666666664,63
40.75,68
40.833333333333336,66
40.916666666666664,63
41,65
41.083333333333336,66
41.166666666666664,64
41.25,68
41.333333333333336,62
41.416666666666664,67
41.5,65
41.583333333333336,64
41.666666666666664,66
41.75,64
41.833333333333336,62
41.916666666666664,65
42,63
42.083333333333336,64
42.166666666666664,63
42.25,67
42.333333333333336,61
42.416666666666664,65
42.5,65
42.583333333333336,65
42.666666666666664,69
42.75,67
42.833333333333336,66
42.916666666666664,69
43,65
43.083333333333336,63
43.166666666666664,63
43.25,65
43.333333333333336,65
43.416666666666664,67
43.5,65
43.666666666666664,64
43.75,64
43.833333333333336,68
43.916666666666664,68
44,69
44.083333333333336,64
44.166666666666664,70
44.25,67
44.333333333333336,67
44.416666666666664,66
44.5,67
44.583333333333336,68
44.666666666666664,66
44.75,65
44.833333333333336,65
44.916666666666664,68
45,67
45.083333333333336,69
45.166666666666664,66
45.25,65
45.333333333333336,69
45.416666666666664,69
45.5,69
45.583333333333336,65
45.666666666666664,70
45.75,70
45.833333333333336,65
45.916666666666664,68
46,66
46.083333333333336,69
46.166666666666664,64
46.25,64
46.333333333333336,70
46.416666666666664,65
46.5,68
46.583333333333336,67
46.666666666666664,65
46.75,67
46.833333333333336,64
46.916666666666664,66
47,65
47.083333333333336,66
47.166666666666664,65
47.25,65
47.333333333333336,66
47.416666666666664,67
47.5,69
47.583333333333336,66
47.666666666666664,69
47.75,66
47.833333333333336,66
47.916666666666664,69
