"Hours since thread went live","Dekisokonai to Yobareta Motoeiyuu wa Jikka kara Tsuihou sareta node Sukikatte ni Ikiru Koto ni Shita • The Banished Former Hero Lives as He Pleases - Episode 1 discussion"
0,1
0,1
0.08333333333333333,3
0.16666666666666666,3
0.25,4
0.3333333333333333,3
0.4166666666666667,4
0.5,5
0.5833333333333334,3
0.6666666666666666,5
0.75,6
0.8333333333333334,6
0.9166666666666666,8
1,10
1.0833333333333333,10
1.1666666666666667,14
1.25,15
1.3333333333333333,17
1.4166666666666667,18
1.5,19
1.5833333333333333,22
1.6666666666666667,23
1.75,24
1.8333333333333333,25
1.9166666666666667,25
2,25
2.0833333333333335,29
2.1666666666666665,24
2.25,29
2.3333333333333335,28
2.4166666666666665,28
2.5,30
2.5833333333333335,28
2.6666666666666665,31
2.75,29
2.8333333333333335,33
2.9166666666666665,31
3,36
3.0833333333333335,36
3.1666666666666665,34
3.25,37
3.3333333333333335,38
3.4166666666666665,37
3.5,37
3.5833333333333335,37
3.6666666666666665,37
3.75,36
3.8333333333333335,37
3.9166666666666665,35
4,39
4.083333333333333,35
4.166666666666667,34
4.25,42
4.333333333333333,36
4.416666666666667,45
4.5,44
4.583333333333333,40
4.666666666666667,40
4.75,40
4.833333333333333,44
4.916666666666667,42
5,43
5.083333333333333,45
5.166666666666667,46
5.25,42
5.333333333333333,44
5.416666666666667,44
5.5,45
5.583333333333333,43
5.666666666666667,46
5.75,44
5.833333333333333,46
5.916666666666667,45
6,45
6.083333333333333,45
6.166666666666667,44
6.25,48
6.333333333333333,46
6.416666666666667,48
6.5,47
6.583333333333333,45
6.666666666666667,43
6.75,45
6.833333333333333,45
6.916666666666667,46
7,44
7.083333333333333,46
7.166666666666667,45
7.25,45
7.333333333333333,46
7.416666666666667,49
7.5,47
7.583333333333333,44
7.666666666666667,47
7.75,42
7.833333333333333,46
7.916666666666667,44
8,47
8.083333333333334,49
8.166666666666666,48
8.25,50
8.333333333333334,47
8.416666666666666,47
8.5,47
8.583333333333334,47
8.666666666666666,48
8.75,47
8.833333333333334,48
8.916666666666666,49
9,50
9.083333333333334,49
9.166666666666666,46
9.25,48
9.333333333333334,48
9.416666666666666,49
9.5,45
9.583333333333334,52
9.666666666666666,45
9.75,47
9.833333333333334,49
9.916666666666666,54
10,52
10.083333333333334,49
10.166666666666666,52
10.25,51
10.333333333333334,54
10.416666666666666,50
10.5,51
10.583333333333334,47
10.666666666666666,52
10.75,46
10.833333333333334,51
10.916666666666666,50
11,47
11.083333333333334,50
11.166666666666666,48
11.25,51
11.333333333333334,49
11.416666666666666,51
11.5,49
11.583333333333334,52
11.666666666666666,51
11.75,51
11.833333333333334,52
11.916666666666666,51
12,48
12.083333333333334,52
12.166666666666666,52
12.25,50
12.333333333333334,53
12.416666666666666,50
12.5,54
12.583333333333334,55
12.666666666666666,51
12.75,56
12.833333333333334,52
12.916666666666666,52
13,54
13.083333333333334,52
13.166666666666666,55
13.25,53
13.333333333333334,50
13.416666666666666,53
13.5,53
13.583333333333334,50
13.666666666666666,51
13.75,53
13.833333333333334,50
13.916666666666666,48
14,54
14.083333333333334,48
14.166666666666666,54
14.25,56
14.333333333333334,52
14.416666666666666,52
14.5,57
14.583333333333334,52
14.666666666666666,57
14.75,57
14.833333333333334,53
14.916666666666666,57
15,58
15.083333333333334,58
15.166666666666666,54
15.25,55
15.333333333333334,55
15.416666666666666,56
15.5,55
15.583333333333334,54
15.666666666666666,57
15.75,57
15.833333333333334,56
15.916666666666666,55
16,57
16.083333333333332,57
16.166666666666668,58
16.25,54
16.333333333333332,55
16.416666666666668,56
16.5,52
16.583333333333332,56
16.666666666666668,55
16.75,56
16.833333333333332,52
16.916666666666668,53
17,56
17.083333333333332,55
17.166666666666668,55
17.25,57
17.333333333333332,56
17.416666666666668,59
17.5,57
17.583333333333332,57
17.666666666666668,58
17.75,54
17.833333333333332,53
17.916666666666668,59
18,57
18.083333333333332,57
18.166666666666668,59
18.25,54
18.333333333333332,56
18.416666666666668,57
18.5,59
18.583333333333332,57
18.666666666666668,61
18.75,57
18.833333333333332,60
18.916666666666668,58
19,59
19.083333333333332,55
19.166666666666668,54
19.25,56
19.333333333333332,60
19.416666666666668,59
19.5,55
19.583333333333332,52
19.666666666666668,52
19.75,58
19.833333333333332,59
19.916666666666668,55
20,56
20.083333333333332,56
20.166666666666668,56
20.25,53
20.333333333333332,59
20.416666666666668,53
20.5,57
20.583333333333332,58
20.666666666666668,55
20.75,56
20.833333333333332,55
20.916666666666668,60
21,61
21.083333333333332,61
21.166666666666668,56
21.25,57
21.333333333333332,62
21.416666666666668,57
21.5,58
21.583333333333332,55
21.666666666666668,57
21.75,55
21.833333333333332,57
21.916666666666668,59
22,59
22.083333333333332,56
22.166666666666668,62
22.25,58
22.333333333333332,58
22.416666666666668,57
22.5,57
22.583333333333332,58
22.666666666666668,60
22.75,56
22.833333333333332,58
22.916666666666668,58
23,59
23.083333333333332,59
23.166666666666668,61
23.25,60
23.333333333333332,55
23.416666666666668,59
23.5,57
23.583333333333332,61
23.666666666666668,63
23.75,63
23.833333333333332,58
23.916666666666668,56
24,63
24.083333333333332,61
24.166666666666668,56
24.25,61
24.333333333333332,59
24.416666666666668,60
24.5,60
24.583333333333332,59
24.666666666666668,59
24.75,61
24.833333333333332,58
24.916666666666668,59
25,61
25.083333333333332,62
25.166666666666668,60
25.25,61
25.333333333333332,57
25.416666666666668,64
25.5,60
25.583333333333332,58
25.666666666666668,59
25.75,61
25.833333333333332,61
25.916666666666668,61
26,61
26.083333333333332,60
26.166666666666668,57
26.25,61
26.333333333333332,61
26.416666666666668,61
26.5,64
26.583333333333332,60
26.666666666666668,57
26.75,60
26.833333333333332,62
26.916666666666668,63
27,62
27.083333333333332,61
27.166666666666668,60
27.25,63
27.333333333333332,64
27.416666666666668,64
27.5,60
27.583333333333332,62
27.666666666666668,61
27.75,63
27.833333333333332,61
27.916666666666668,60
28,62
28.083333333333332,60
28.166666666666668,64
28.25,67
28.333333333333332,64
28.416666666666668,59
28.5,63
28.583333333333332,63
28.666666666666668,63
28.75,64
28.833333333333332,64
28.916666666666668,64
29,62
29.083333333333332,64
29.166666666666668,63
29.25,63
29.333333333333332,60
29.416666666666668,66
29.5,63
29.583333333333332,62
29.666666666666668,65
29.75,63
29.833333333333332,64
29.916666666666668,64
30,65
30.083333333333332,64
30.166666666666668,65
30.25,63
30.333333333333332,66
30.416666666666668,64
30.5,66
30.583333333333332,62
30.666666666666668,62
30.75,64
30.833333333333332,64
30.916666666666668,61
31,66
31.083333333333332,67
31.166666666666668,62
31.25,64
31.333333333333332,66
31.416666666666668,66
31.5,61
31.583333333333332,63
31.666666666666668,63
31.75,63
31.833333333333332,64
31.916666666666668,65
32,68
32.083333333333336,64
32.166666666666664,61
32.25,64
32.333333333333336,61
32.416666666666664,64
32.5,63
32.583333333333336,64
32.666666666666664,61
32.75,64
32.833333333333336,64
32.916666666666664,66
33,61
33.083333333333336,61
33.166666666666664,65
33.25,66
33.333333333333336,62
33.416666666666664,66
33.5,65
33.583333333333336,66
33.666666666666664,61
33.75,62
33.833333333333336,67
33.916666666666664,61
34,65
34.083333333333336,64
34.166666666666664,65
34.25,60
34.333333333333336,62
34.416666666666664,65
34.5,66
34.583333333333336,61
34.666666666666664,65
34.75,65
34.833333333333336,68
34.916666666666664,64
35,63
35.083333333333336,62
35.166666666666664,61
35.25,66
35.333333333333336,68
35.416666666666664,62
35.5,67
35.583333333333336,63
35.666666666666664,66
35.75,62
35.833333333333336,64
35.916666666666664,66
36,63
36.083333333333336,64
36.166666666666664,66
36.25,65
36.333333333333336,65
36.416666666666664,64
36.5,65
36.583333333333336,62
36.666666666666664,65
36.75,63
36.833333333333336,63
36.916666666666664,60
37,61
37.083333333333336,60
37.166666666666664,64
37.25,66
37.333333333333336,68
37.416666666666664,65
37.5,66
37.583333333333336,64
37.666666666666664,65
37.75,67
37.833333333333336,64
37.916666666666664,62
38,64
38.083333333333336,66
38.166666666666664,64
38.25,66
38.333333333333336,67
38.416666666666664,64
