"Hours since thread went live","Highspeed Étoile - Episode 3 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,0
0.3333333333333333,0
0.4166666666666667,0
0.5,0
0.5833333333333334,0
0.6666666666666666,0
0.75,0
0.8333333333333334,1
0.9166666666666666,2
1,1
1.0833333333333333,1
1.1666666666666667,2
1.25,3
1.3333333333333333,6
1.4166666666666667,5
1.5,5
1.5833333333333333,6
1.6666666666666667,9
1.75,7
1.8333333333333333,7
1.9166666666666667,7
2,9
2.0833333333333335,8
2.1666666666666665,9
2.25,9
2.3333333333333335,9
2.4166666666666665,9
2.5,9
2.5833333333333335,11
2.6666666666666665,11
2.75,10
2.8333333333333335,9
2.9166666666666665,10
3,9
3.0833333333333335,10
3.1666666666666665,12
3.25,11
3.3333333333333335,14
3.4166666666666665,13
3.5,15
3.5833333333333335,15
3.6666666666666665,14
3.75,14
3.8333333333333335,15
3.9166666666666665,16
4,18
4.083333333333333,15
4.166666666666667,17
4.25,15
4.333333333333333,16
4.416666666666667,18
4.5,18
4.583333333333333,19
4.666666666666667,20
4.75,18
4.833333333333333,17
4.916666666666667,18
5,19
5.083333333333333,19
5.166666666666667,16
5.25,19
5.333333333333333,18
5.416666666666667,19
5.5,18
5.583333333333333,20
5.666666666666667,17
5.75,18
5.833333333333333,19
5.916666666666667,16
6,18
6.083333333333333,18
6.166666666666667,17
6.25,17
6.333333333333333,19
6.416666666666667,19
6.5,18
6.583333333333333,17
6.666666666666667,18
6.75,17
6.833333333333333,16
6.916666666666667,20
7,20
7.083333333333333,17
7.166666666666667,16
7.25,18
7.333333333333333,19
7.416666666666667,17
7.5,18
7.583333333333333,17
7.666666666666667,19
7.75,20
7.833333333333333,20
7.916666666666667,20
8,20
8.083333333333334,22
8.166666666666666,19
8.25,20
8.333333333333334,20
8.416666666666666,21
8.5,22
8.583333333333334,21
8.666666666666666,19
8.75,22
8.833333333333334,20
8.916666666666666,19
9,20
9.083333333333334,21
9.166666666666666,22
9.25,22
9.333333333333334,21
9.416666666666666,21
9.5,22
9.583333333333334,22
9.666666666666666,24
9.75,21
9.833333333333334,20
9.916666666666666,22
10,22
10.083333333333334,21
10.166666666666666,21
10.25,20
10.333333333333334,21
10.416666666666666,22
10.5,23
10.583333333333334,21
10.666666666666666,22
10.75,21
10.833333333333334,21
10.916666666666666,26
11,26
11.083333333333334,24
11.166666666666666,22
11.25,24
11.333333333333334,24
11.416666666666666,24
11.5,25
11.583333333333334,23
11.666666666666666,23
11.75,24
11.833333333333334,26
11.916666666666666,24
12,24
12.083333333333334,24
12.166666666666666,24
12.25,23
12.333333333333334,23
12.416666666666666,26
12.5,25
12.583333333333334,26
12.666666666666666,25
12.75,26
12.833333333333334,24
12.916666666666666,27
13,29
13.083333333333334,25
13.166666666666666,26
13.25,27
13.333333333333334,23
13.416666666666666,24
13.5,28
13.583333333333334,31
13.666666666666666,30
13.75,26
13.833333333333334,31
13.916666666666666,28
14,24
14.083333333333334,28
14.166666666666666,28
14.25,26
14.333333333333334,27
14.416666666666666,25
14.5,27
14.583333333333334,24
14.666666666666666,29
14.75,31
14.833333333333334,28
14.916666666666666,29
15,30
15.083333333333334,30
15.166666666666666,29
15.25,29
15.333333333333334,29
15.416666666666666,30
15.5,28
15.583333333333334,28
15.666666666666666,28
15.75,26
15.833333333333334,28
15.916666666666666,29
16,27
16.083333333333332,28
16.166666666666668,25
16.25,30
16.333333333333332,27
16.416666666666668,27
16.5,32
16.583333333333332,29
16.666666666666668,32
16.75,28
16.833333333333332,32
16.916666666666668,29
17,28
17.083333333333332,30
17.166666666666668,29
17.25,30
17.333333333333332,29
17.416666666666668,27
17.5,27
17.583333333333332,28
17.666666666666668,33
17.75,31
17.833333333333332,29
17.916666666666668,34
18,29
18.083333333333332,29
18.166666666666668,31
18.25,30
18.333333333333332,27
18.416666666666668,33
18.5,33
18.583333333333332,31
18.666666666666668,32
18.75,31
18.833333333333332,26
18.916666666666668,32
19,28
19.083333333333332,27
19.166666666666668,31
19.25,32
19.333333333333332,32
19.416666666666668,28
19.5,26
19.583333333333332,30
19.666666666666668,26
19.75,34
19.833333333333332,31
19.916666666666668,27
20,27
20.083333333333332,29
20.166666666666668,31
20.25,30
20.333333333333332,31
20.416666666666668,28
20.5,31
20.583333333333332,31
20.666666666666668,29
20.75,29
20.833333333333332,31
20.916666666666668,34
21,27
21.083333333333332,32
21.166666666666668,33
21.25,27
21.333333333333332,31
21.416666666666668,31
21.5,32
21.583333333333332,31
21.666666666666668,28
21.75,29
21.833333333333332,30
21.916666666666668,30
22,33
22.083333333333332,27
22.166666666666668,30
22.25,29
22.333333333333332,26
22.416666666666668,30
22.5,27
22.583333333333332,32
22.666666666666668,28
22.75,29
22.833333333333332,33
22.916666666666668,29
23,34
23.083333333333332,29
23.166666666666668,30
23.25,30
23.333333333333332,33
23.416666666666668,32
23.5,32
23.583333333333332,31
23.666666666666668,29
23.75,27
23.833333333333332,34
23.916666666666668,30
24,30
24.083333333333332,28
24.166666666666668,35
24.25,31
24.333333333333332,34
24.416666666666668,30
24.5,31
24.583333333333332,31
24.666666666666668,30
24.75,34
24.833333333333332,33
24.916666666666668,35
25,34
25.083333333333332,36
25.166666666666668,30
25.25,35
25.333333333333332,34
25.416666666666668,31
25.5,34
25.583333333333332,34
25.666666666666668,33
25.75,32
25.833333333333332,33
25.916666666666668,33
26,34
26.083333333333332,34
26.166666666666668,30
26.25,32
26.333333333333332,36
26.416666666666668,31
26.5,36
26.583333333333332,35
26.666666666666668,37
26.75,35
26.833333333333332,32
26.916666666666668,30
27,33
27.083333333333332,33
27.166666666666668,35
27.25,31
27.333333333333332,35
27.416666666666668,35
27.5,32
27.583333333333332,30
27.666666666666668,32
27.75,31
27.833333333333332,33
27.916666666666668,35
28,35
28.083333333333332,35
28.166666666666668,30
28.25,33
28.333333333333332,33
28.416666666666668,30
28.5,29
28.583333333333332,33
28.666666666666668,34
28.75,35
28.833333333333332,33
28.916666666666668,31
29,34
29.083333333333332,32
29.166666666666668,30
29.25,32
29.333333333333332,35
29.416666666666668,32
29.5,37
29.583333333333332,30
29.666666666666668,35
29.75,37
29.833333333333332,32
29.916666666666668,34
30,31
30.083333333333332,29
30.166666666666668,35
30.25,30
30.333333333333332,30
30.416666666666668,31
30.5,34
30.583333333333332,36
30.666666666666668,32
30.75,31
30.833333333333332,35
30.916666666666668,32
31,31
31.083333333333332,32
31.166666666666668,29
31.25,32
31.333333333333332,29
31.416666666666668,32
31.5,31
31.583333333333332,31
31.666666666666668,34
31.75,32
31.833333333333332,32
31.916666666666668,32
32,28
32.083333333333336,32
32.166666666666664,31
32.25,33
32.333333333333336,32
32.416666666666664,31
32.5,29
32.583333333333336,32
32.666666666666664,33
32.75,36
32.833333333333336,33
32.916666666666664,32
33,30
33.083333333333336,34
33.166666666666664,30
33.25,34
33.333333333333336,30
33.416666666666664,33
33.5,32
33.583333333333336,34
33.666666666666664,33
33.75,30
33.833333333333336,34
33.916666666666664,36
34,32
34.083333333333336,37
34.166666666666664,33
34.25,33
34.333333333333336,34
34.416666666666664,35
34.5,37
34.583333333333336,31
34.666666666666664,33
34.75,35
34.833333333333336,30
34.916666666666664,33
35,32
35.083333333333336,37
35.166666666666664,36
35.25,33
35.333333333333336,34
35.416666666666664,34
35.5,32
35.583333333333336,36
35.666666666666664,32
35.75,35
35.833333333333336,32
35.916666666666664,32
36,32
36.083333333333336,34
36.166666666666664,30
36.25,33
36.333333333333336,33
36.416666666666664,37
36.5,33
36.583333333333336,37
36.666666666666664,30
36.75,35
36.833333333333336,31
36.916666666666664,30
37,29
37.083333333333336,30
37.166666666666664,33
37.25,31
37.333333333333336,32
37.416666666666664,34
37.5,29
37.583333333333336,29
37.666666666666664,32
37.75,35
37.833333333333336,33
37.916666666666664,32
38,34
38.083333333333336,32
38.166666666666664,36
38.25,33
38.333333333333336,33
38.416666666666664,31
38.5,31
38.583333333333336,33
38.666666666666664,32
38.75,34
38.833333333333336,34
38.916666666666664,33
39,33
39.083333333333336,33
