"Hours since thread went live","Spy x Family - Episode 1 discussion"
0,14
0.08333333333333333,129
0.16666666666666666,283
0.25,428
0.3333333333333333,618
0.4166666666666667,774
0.5,951
0.5833333333333334,1102
0.6666666666666666,1253
0.75,1442
0.8333333333333334,1615
0.9166666666666666,1786
1,1923
1.0833333333333333,2085
1.1666666666666667,2248
1.25,2415
1.3333333333333333,2573
1.4166666666666667,2704
1.5,2872
1.5833333333333333,3020
1.6666666666666667,3166
1.75,3305
1.8333333333333333,3449
1.9166666666666667,3586
2,3724
2.0833333333333335,3843
2.1666666666666665,3980
2.25,4113
2.3333333333333335,4257
2.4166666666666665,4389
2.5,4481
2.5833333333333335,4602
2.6666666666666665,4720
2.75,4836
2.8333333333333335,4943
2.9166666666666665,5039
3,5175
3.0833333333333335,5276
3.1666666666666665,5384
3.25,5474
3.3333333333333335,5572
3.4166666666666665,5651
3.5,5758
3.5833333333333335,5848
3.6666666666666665,5933
3.75,6027
3.8333333333333335,6107
3.9166666666666665,6197
4,6294
4.083333333333333,6390
4.166666666666667,6475
4.25,6532
4.333333333333333,6606
4.416666666666667,6690
4.5,6764
4.583333333333333,6832
4.666666666666667,6902
4.75,6972
4.833333333333333,7070
4.916666666666667,7137
5,7202
5.083333333333333,7272
5.166666666666667,7355
5.25,7431
5.333333333333333,7488
5.416666666666667,7539
5.5,7616
5.583333333333333,7694
5.666666666666667,7767
5.75,7823
5.833333333333333,7892
5.916666666666667,7964
6,8029
6.083333333333333,8106
6.166666666666667,8166
6.25,8239
6.333333333333333,8334
6.416666666666667,8392
6.5,8448
6.583333333333333,8494
6.666666666666667,8563
6.75,8621
6.833333333333333,8675
6.916666666666667,8736
7,8806
7.083333333333333,8859
7.166666666666667,8915
7.25,8961
7.333333333333333,9029
7.416666666666667,9082
7.5,9130
7.583333333333333,9186
7.666666666666667,9240
7.75,9285
7.833333333333333,9342
7.916666666666667,9398
8,9451
8.083333333333334,9505
8.166666666666666,9563
8.25,9607
8.333333333333334,9648
8.416666666666666,9687
8.5,9740
8.583333333333334,9780
8.666666666666666,9826
8.75,9878
8.833333333333334,9917
8.916666666666666,9961
9,10015
9.083333333333334,10060
9.166666666666666,10108
9.25,10162
9.333333333333334,10207
9.416666666666666,10275
9.5,10323
9.583333333333334,10359
9.666666666666666,10398
9.75,10442
9.833333333333334,10486
9.916666666666666,10523
10,10568
10.083333333333334,10610
10.166666666666666,10660
10.25,10688
10.333333333333334,10739
10.416666666666666,10777
10.5,10836
10.583333333333334,10877
10.666666666666666,10911
10.75,10953
10.833333333333334,10991
10.916666666666666,11029
11,11054
